id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
1;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;62;ORANG;2021
2;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;84;ORANG;2021
3;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;62;ORANG;2021
4;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;47;ORANG;2021
5;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;52;ORANG;2021
6;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;55;ORANG;2021
7;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;41;ORANG;2021
8;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;35;ORANG;2021
9;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;43;ORANG;2021
10;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;79;ORANG;2021
11;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;14;ORANG;2021
12;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;61;ORANG;2022
13;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;83;ORANG;2022
14;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;60;ORANG;2022
15;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;47;ORANG;2022
16;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;51;ORANG;2022
17;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2022
18;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;42;ORANG;2022
19;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;35;ORANG;2022
