id;kode_provinsi;nama_provinsi;kode_rumah_sakit;nama_rumah_sakit;kode_diagnosa;deskripsi;kasus_baru_menurut_jenis_kelamin_laki_laki;kasus_baru_menurut_jenis_kelamin_perempuan;satuan;bulan;tahun
1;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.0;PANIC DISORDER [EPISODIC PAROXYSMAL ANXIETY];4;9;ORANG;JANUARY;2024
2;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F20;SCHIZOPHRENIA;45;20;ORANG;JANUARY;2024
3;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F80.9;DEVELOPMENTAL DISORDER OF SPEECH AND LANGUAGE, UNSPECIFIED;10;4;ORANG;JANUARY;2024
4;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;I10;ESSENTIAL (PRIMARY) HYPERTENSION;15;10;ORANG;JANUARY;2024
5;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.2;MIXED ANXIETY AND DEPRESSIVE DISORDER;11;9;ORANG;JANUARY;2024
6;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;I69.4;SEQUELAE OF STROKE, NOT SPECIFIED AS HAEMORRHAGE OR INFARCTION;10;6;ORANG;JANUARY;2024
7;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.1;GENERALIZED ANXIETY DISORDER;4;9;ORANG;JANUARY;2024
8;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F20.0;PARANOID SCHIZOPHRENIA;18;8;ORANG;JANUARY;2024
9;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F20.9;SCHIZOPHRENIA, UNSPECIFIED;74;37;ORANG;FEBRRUARI;2024
10;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.9;ANXIETY DISORDER, UNSPECIFIED;27;26;ORANG;FEBRRUARI;2024
11;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F80.9;DEVELOPMENTAL DISORDER OF SPEECH AND LANGUAGE, UNSPECIFIED;13;7;ORANG;FEBRRUARI;2024
12;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F20;SCHIZOPHRENIA;37;25;ORANG;FEBRRUARI;2024
13;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.0;PANIC DISORDER [EPISODIC PAROXYSMAL ANXIETY];2;3;ORANG;FEBRRUARI;2024
14;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F20.0;PARANOID SCHIZOPHRENIA;33;20;ORANG;FEBRRUARI;2024
15;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.2;MIXED ANXIETY AND DEPRESSIVE DISORDER;10;9;ORANG;FEBRRUARI;2024
16;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;I10;ESSENTIAL (PRIMARY) HYPERTENSION;10;3;ORANG;FEBRRUARI;2024
17;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.1;GENERALIZED ANXIETY DISORDER;6;18;ORANG;FEBRRUARI;2024
18;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;I69.4;SEQUELAE OF STROKE, NOT SPECIFIED AS HAEMORRHAGE OR INFARCTION;6;7;ORANG;FEBRRUARI;2024
19;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F20.9;SCHIZOPHRENIA, UNSPECIFIED;61;36;ORANG;MARET;2024
20;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.9;ANXIETY DISORDER, UNSPECIFIED;45;19;ORANG;MARET;2024
21;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F80.9;DEVELOPMENTAL DISORDER OF SPEECH AND LANGUAGE, UNSPECIFIED;4;1;ORANG;MARET;2024
22;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.0;PANIC DISORDER [EPISODIC PAROXYSMAL ANXIETY];1;0;ORANG;MARET;2024
23;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;I10;ESSENTIAL (PRIMARY) HYPERTENSION;3;7;ORANG;MARET;2024
24;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.1;GENERALIZED ANXIETY DISORDER;6;7;ORANG;MARET;2024
25;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;I69.4;SEQUELAE OF STROKE, NOT SPECIFIED AS HAEMORRHAGE OR INFARCTION;0;3;ORANG;MARET;2024
26;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.2;MIXED ANXIETY AND DEPRESSIVE DISORDER;1;4;ORANG;MARET;2024
27;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F20;SCHIZOPHRENIA;16;10;ORANG;MARET;2024
28;1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F20.0;PARANOID SCHIZOPHRENIA;19;3;ORANG;MARET;2024
