id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_pendapatan;tahun
1;15;JAMBI;1501;KERINCI; Rp313.513.374 ;2020
2;15;JAMBI;1501;KERINCI; Rp297.219.549 ;2021
3;15;JAMBI;1501;KERINCI; Rp305.028.351 ;2022
4;15;JAMBI;1501;KERINCI; Rp- ;2023
5;15;JAMBI;1501;KERINCI; Rp- ;2024
6;15;JAMBI;1502;MERANGIN; Rp275.038.304 ;2020
7;15;JAMBI;1502;MERANGIN; Rp273.060.716 ;2021
8;15;JAMBI;1502;MERANGIN; Rp258.280.930 ;2022
9;15;JAMBI;1502;MERANGIN; Rp- ;2023
10;15;JAMBI;1502;MERANGIN; Rp- ;2024
11;15;JAMBI;1503;SAROLANGUN; Rp231.713.798 ;2020
12;15;JAMBI;1503;SAROLANGUN; Rp229.803.384 ;2021
13;15;JAMBI;1503;SAROLANGUN; Rp224.344.691 ;2022
14;15;JAMBI;1503;SAROLANGUN; Rp- ;2023
15;15;JAMBI;1503;SAROLANGUN; Rp- ;2024
16;15;JAMBI;1504;BATANGHARI; Rp207.009.918 ;2020
17;15;JAMBI;1504;BATANGHARI; Rp228.620.392 ;2021
18;15;JAMBI;1504;BATANGHARI; Rp199.663.397 ;2022
19;15;JAMBI;1504;BATANGHARI; Rp- ;2023
20;15;JAMBI;1504;BATANGHARI; Rp- ;2024
21;15;JAMBI;1505;MUARO JAMBI; Rp250.176.004 ;2020
22;15;JAMBI;1505;MUARO JAMBI; Rp225.898.832 ;2021
23;15;JAMBI;1505;MUARO JAMBI; Rp221.295.602 ;2022
24;15;JAMBI;1505;MUARO JAMBI; Rp- ;2023
25;15;JAMBI;1505;MUARO JAMBI; Rp- ;2024
26;15;JAMBI;1507;TANJUNG JABUNG TIMUR; Rp187.408.982 ;2020
27;15;JAMBI;1507;TANJUNG JABUNG TIMUR; Rp147.759.564 ;2021
28;15;JAMBI;1507;TANJUNG JABUNG TIMUR; Rp142.205.957 ;2022
29;15;JAMBI;1507;TANJUNG JABUNG TIMUR; Rp- ;2023
30;15;JAMBI;1507;TANJUNG JABUNG TIMUR; Rp- ;2024
31;15;JAMBI;1506;TANJUNG JABUNG BARAT; Rp239.064.958 ;2020
32;15;JAMBI;1506;TANJUNG JABUNG BARAT; Rp205.042.421 ;2021
33;15;JAMBI;1506;TANJUNG JABUNG BARAT; Rp197.525.294 ;2022
34;15;JAMBI;1506;TANJUNG JABUNG BARAT; Rp- ;2023
35;15;JAMBI;1506;TANJUNG JABUNG BARAT; Rp- ;2024
36;15;JAMBI;1509;TEBO; Rp188.315.455 ;2020
37;15;JAMBI;1509;TEBO; Rp177.722.201 ;2021
38;15;JAMBI;1509;TEBO; Rp178.507.836 ;2022
39;15;JAMBI;1509;TEBO; Rp- ;2023
40;15;JAMBI;1509;TEBO; Rp- ;2024
41;15;JAMBI;1508;BUNGO; Rp240.516.012 ;2020
42;15;JAMBI;1508;BUNGO; Rp209.823.712 ;2021
43;15;JAMBI;1508;BUNGO; Rp207.387.250 ;2022
44;15;JAMBI;1508;BUNGO; Rp- ;2023
45;15;JAMBI;1508;BUNGO; Rp- ;2024
46;15;JAMBI;1571;KOTA JAMBI; – ;2020
47;15;JAMBI;1571;KOTA JAMBI; – ;2021
48;15;JAMBI;1571;KOTA JAMBI; – ;2022
49;15;JAMBI;1571;KOTA JAMBI; Rp- ;2023
50;15;JAMBI;1571;KOTA JAMBI; Rp- ;2024
51;15;JAMBI;1572;KOTA SUNGAI PENUH; Rp116.831.273 ;2020
52;15;JAMBI;1572;KOTA SUNGAI PENUH; Rp106.355.464 ;2021
53;15;JAMBI;1572;KOTA SUNGAI PENUH; Rp106.789.075 ;2022
54;15;JAMBI;1572;KOTA SUNGAI PENUH; Rp- ;2023
55;15;JAMBI;1572;KOTA SUNGAI PENUH; Rp- ;2024
