id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_belanja;tahun
1;15;JAMBI;1501;KERINCI; Rp283.762.961 ;2020
2;15;JAMBI;1501;KERINCI; Rp268.540.362 ;2021
3;15;JAMBI;1501;KERINCI; Rp296.814.765 ;2022
4;15;JAMBI;1501;KERINCI; Rp- ;2023
5;15;JAMBI;1501;KERINCI; Rp- ;2024
6;15;JAMBI;1502;MERANGIN; Rp282.311.678 ;2020
7;15;JAMBI;1502;MERANGIN; Rp271.643.678 ;2021
8;15;JAMBI;1502;MERANGIN; Rp259.647.909 ;2022
9;15;JAMBI;1502;MERANGIN; Rp- ;2023
10;15;JAMBI;1502;MERANGIN; Rp- ;2024
11;15;JAMBI;1503;SAROLANGUN; Rp226.577.708 ;2020
12;15;JAMBI;1503;SAROLANGUN; Rp227.532.795 ;2021
13;15;JAMBI;1503;SAROLANGUN; Rp222.371.268 ;2022
14;15;JAMBI;1503;SAROLANGUN; Rp- ;2023
15;15;JAMBI;1503;SAROLANGUN; Rp- ;2024
16;15;JAMBI;1504;BATANGHARI; Rp212.165.954 ;2020
17;15;JAMBI;1504;BATANGHARI; Rp223.855.787 ;2021
18;15;JAMBI;1504;BATANGHARI; Rp195.817.808 ;2022
19;15;JAMBI;1504;BATANGHARI; Rp- ;2023
20;15;JAMBI;1504;BATANGHARI; Rp- ;2024
21;15;JAMBI;1505;MUARO JAMBI; Rp238.142.246 ;2020
22;15;JAMBI;1505;MUARO JAMBI; Rp217.841.232 ;2021
23;15;JAMBI;1505;MUARO JAMBI; Rp222.865.554 ;2022
24;15;JAMBI;1505;MUARO JAMBI; Rp- ;2023
25;15;JAMBI;1505;MUARO JAMBI; Rp- ;2024
26;15;JAMBI;1507;TANJUNG JABUNG TIMUR; Rp190.469.991 ;2020
27;15;JAMBI;1507;TANJUNG JABUNG TIMUR; Rp134.215.784 ;2021
28;15;JAMBI;1507;TANJUNG JABUNG TIMUR; Rp148.238.119 ;2022
29;15;JAMBI;1507;TANJUNG JABUNG TIMUR; Rp- ;2023
30;15;JAMBI;1507;TANJUNG JABUNG TIMUR; Rp- ;2024
31;15;JAMBI;1506;TANJUNG JABUNG BARAT; Rp230.786.976 ;2020
32;15;JAMBI;1506;TANJUNG JABUNG BARAT; Rp205.194.514 ;2021
33;15;JAMBI;1506;TANJUNG JABUNG BARAT; Rp200.137.126 ;2022
34;15;JAMBI;1506;TANJUNG JABUNG BARAT; Rp- ;2023
35;15;JAMBI;1506;TANJUNG JABUNG BARAT; Rp- ;2024
36;15;JAMBI;1509;TEBO; Rp193.384.652 ;2020
37;15;JAMBI;1509;TEBO; Rp176.443.053 ;2021
38;15;JAMBI;1509;TEBO; Rp172.282.417 ;2022
39;15;JAMBI;1509;TEBO; Rp- ;2023
40;15;JAMBI;1509;TEBO; Rp- ;2024
41;15;JAMBI;1508;BUNGO; Rp237.898.486 ;2020
42;15;JAMBI;1508;BUNGO; Rp206.037.683 ;2021
43;15;JAMBI;1508;BUNGO; Rp207.993.266 ;2022
44;15;JAMBI;1508;BUNGO; Rp- ;2023
45;15;JAMBI;1508;BUNGO; Rp- ;2024
46;15;JAMBI;1571;KOTA JAMBI; Rp- ;2020
47;15;JAMBI;1571;KOTA JAMBI; Rp- ;2021
48;15;JAMBI;1571;KOTA JAMBI; Rp- ;2022
49;15;JAMBI;1571;KOTA JAMBI; Rp- ;2023
50;15;JAMBI;1571;KOTA JAMBI; Rp- ;2024
51;15;JAMBI;1572;KOTA SUNGAI PENUH; Rp115.238.147 ;2020
52;15;JAMBI;1572;KOTA SUNGAI PENUH; Rp100.055.353 ;2021
53;15;JAMBI;1572;KOTA SUNGAI PENUH; Rp105.405.232 ;2022
54;15;JAMBI;1572;KOTA SUNGAI PENUH; Rp- ;2023
55;15;JAMBI;1572;KOTA SUNGAI PENUH; Rp- ;2024
