id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_perairan;volume;satuan;tahun
1;15;JAMBI;1501;WADUK (RESERVOIR);0;TON;2022
2;15;JAMBI;1502;WADUK (RESERVOIR);0;TON;2022
3;15;JAMBI;1503;WADUK (RESERVOIR);0;TON;2022
4;15;JAMBI;1504;WADUK (RESERVOIR);0;TON;2022
5;15;JAMBI;1505;WADUK (RESERVOIR);0;TON;2022
6;15;JAMBI;1507;WADUK (RESERVOIR);0;TON;2022
7;15;JAMBI;1506;WADUK (RESERVOIR);0;TON;2022
8;15;JAMBI;1509;WADUK (RESERVOIR);0;TON;2022
9;15;JAMBI;1508;WADUK (RESERVOIR);0;TON;2022
10;15;JAMBI;1571;WADUK (RESERVOIR);0;TON;2022
11;15;JAMBI;1572;WADUK (RESERVOIR);0;TON;2022
12;15;JAMBI;1501;SUNGAI (RIVER);344;TON;2022
13;15;JAMBI;1502;SUNGAI (RIVER);338;TON;2022
14;15;JAMBI;1503;SUNGAI (RIVER);471;TON;2022
15;15;JAMBI;1504;SUNGAI (RIVER);538;TON;2022
16;15;JAMBI;1505;SUNGAI (RIVER);1,55;TON;2022
17;15;JAMBI;1507;SUNGAI (RIVER);349;TON;2022
18;15;JAMBI;1506;SUNGAI (RIVER);842;TON;2022
19;15;JAMBI;1509;SUNGAI (RIVER);320;TON;2022
20;15;JAMBI;1508;SUNGAI (RIVER);258;TON;2022
21;15;JAMBI;1571;SUNGAI (RIVER);66;TON;2022
22;15;JAMBI;1572;SUNGAI (RIVER);176;TON;2022
23;15;JAMBI;1501;DANAU (LAKE);1493;TON;2022
24;15;JAMBI;1502;DANAU (LAKE);296;TON;2022
25;15;JAMBI;1503;DANAU (LAKE);0;TON;2022
26;15;JAMBI;1504;DANAU (LAKE);586;TON;2022
27;15;JAMBI;1505;DANAU (LAKE);0;TON;2022
28;15;JAMBI;1507;DANAU (LAKE);0;TON;2022
29;15;JAMBI;1506;DANAU (LAKE);0;TON;2022
30;15;JAMBI;1509;DANAU (LAKE);40;TON;2022
31;15;JAMBI;1508;DANAU (LAKE);0;TON;2022
32;15;JAMBI;1571;DANAU (LAKE);388;TON;2022
33;15;JAMBI;1572;DANAU (LAKE);0;TON;2022
34;15;JAMBI;1501;RAWA (SWAMP);0;TON;2022
35;15;JAMBI;1502;RAWA (SWAMP);85;TON;2022
36;15;JAMBI;1503;RAWA (SWAMP);0;TON;2022
37;15;JAMBI;1504;RAWA (SWAMP);0;TON;2022
38;15;JAMBI;1505;RAWA (SWAMP);0;TON;2022
39;15;JAMBI;1507;RAWA (SWAMP);0;TON;2022
40;15;JAMBI;1506;RAWA (SWAMP);32;TON;2022
41;15;JAMBI;1509;RAWA (SWAMP);60;TON;2022
42;15;JAMBI;1508;RAWA (SWAMP);0;TON;2022
43;15;JAMBI;1571;RAWA (SWAMP);107;TON;2022
44;15;JAMBI;1572;RAWA (SWAMP);0;TON;2022
45;15;JAMBI;1501;GENANGAN AIR (PUDDLE);0;TON;2022
46;15;JAMBI;1502;GENANGAN AIR (PUDDLE);0;TON;2022
47;15;JAMBI;1503;GENANGAN AIR (PUDDLE);0;TON;2022
48;15;JAMBI;1504;GENANGAN AIR (PUDDLE);0;TON;2022
49;15;JAMBI;1505;GENANGAN AIR (PUDDLE);0;TON;2022
50;15;JAMBI;1507;GENANGAN AIR (PUDDLE);0;TON;2022
51;15;JAMBI;1506;GENANGAN AIR (PUDDLE);0;TON;2022
52;15;JAMBI;1509;GENANGAN AIR (PUDDLE);0;TON;2022
53;15;JAMBI;1508;GENANGAN AIR (PUDDLE);0;TON;2022
54;15;JAMBI;1571;GENANGAN AIR (PUDDLE);0;TON;2022
55;15;JAMBI;1572;GENANGAN AIR (PUDDLE);118;TON;2022
