id;kode_provinsi;nama_provinsi;hari_tanggal;waktu;lokasi;organisasi;tuntutan;pemecahan_masalah;instan_terkait;keterangan;;
1;15;JAMBI;"Sabtu 06 Januari
2023";"Jam 12.00
s/d selesai";Jembatan Gentala Arasy;"WALHI   dan   Mapala   Unbari   di jembatan Gentala Arasy
dengan masa ± 30 orang";Menyikapi   rusaknya   ekosistem   sungai batanghari jambi;"Karena   para   pengunjuk rasa       hanya       mem- bentangkan         spanduk yang              berbunyikan seruhan    tentang    mau bawak                  kemana
pengelolaan           sungai batanghari kedepannya.";Aspirasi para pengunjuk rasa tidak ada yang menerima.;Aman dan terkendali;;
2;15;JAMBI;"Senin
20    Februari
2023";"Jam 10.00
s/d selesai";"Kantor DPRD
Provinsi Jambi";LSM   Akomodasi   Rakyat   Miskin dengan masa + 13 orang;Petisi    sejuta    tanda    tangan    tentang keresahan  dan  akttifitas  angkutan  batu bara di Provinsi Jambi;-;-;Aman dan terkendali;;
3;15;JAMBI;"Rabu
18     Januari
2023";"Jam 13.00
s/d selesai";Kantor Gubernur;"- Forum   Seni  Mahasiswa  Jambi (FSMJ) Massa berjumlah + 1000 orang
- Komite       Pimpinan       Wilayah Serikat   Tani    Nelayan    (KPW- STN) Provinsi Jambi
Dengan Massa berjumlah + 100 orang";"-  meminta        pertanggung        jawaban pemerintah Provinsi Jambi terkai lilitan hutang  pada  kegiatan  temu  teman  19 Jambi
- akan   dilaksanakan   aksi   jalan   kaki perwakilan   petani   Muaro   Jambi   dari Provinsi Jambi menuju Jakarta";-;-;Para pengunjuk rasa    tidak jadi datang;;
4;15;JAMBI;"Rabu
25     Januari
2023";"Jam 10.00
s/d selesai";Kantor Gubernur;"Gerakan Masyarakat Jambi (GMJ- JAMBI)  dengan  Massa  berjumlah
+ 35 orang";"-  Mendesak  Aparat  Hukum  panggil  dan periksa  Sekda  Provinsi  Jambi,  Pansel lelang  terkait  jabatan  Direktur  RSUD Mataher
-  Menyikapi     status     Direktur     RSUD Raden Mataher Jambi yang melanggar aturan yang berlaku";Akan ditindak lanjuti;"Diterima oleh : -
- Sekda Provinsi Jambi";Aman dan terkendali;;
5;15;JAMBI;"Kamis
16    Februari
2023";"Jam 11.00
s/d selesai";Kantor Gubernur;Aliansi        Masyarakat        Jambi Menggugat    (AMJM)   Di    Kantor Gubernur Jambi;Petisi    sejuta    tanda    tangan    tentang keresahan  dan  akttifitas  angkutan  batu bara di Provinsi Jambi;"Para     pengunjuk     rasa tidak    jadi    datang    ke Kantor  Gubernur  namun para     pengunjuk     rasa hanya       konvoi       dari Jerambah             Bolong, Terminal    Alam    Barajo
dan Simpang BI Jambi -";-;Aman dan terkendali;;
6;15;JAMBI;"Senin
20    Februari
2023";"Jam 10.00
s/d selesai";"Kantor DPRD
Provinsi Jambi";LSM   Akomodasi   Rakyat   Miskin dengan masa + 13 orang;Petisi    sejuta    tanda    tangan    tentang keresahan  dan  akttifitas  angkutan  batu bara di Provinsi Jambi;-;-;Aman dan terkendali;;
7;15;JAMBI;"Rabu
22    Februari
2023";"Jam 111.00
s/d selesai";Kantor Gubernur Jambi;Aksi      Mimbar      Bebas      PMII Komisariat Jambi dengan masa + 30 orang;Agar   pemangku   kebijakan   di   Provinsi Jambi     terhadap     ketidak     seriusanya mengenai masalah Angkutan batu bara;;-;Aman dan terkendali;;
8;15;JAMBI;"Selasa
28    Februari
2023";"Jam 10.00
s/d selesai";Komplek Perkantoran Gubernur Jambi;Komunitas Sopir + 300 orang.;Menyikapi    berbagai    regulasi    yang keliru   dan   meresahkan   masyarakat, khususnya  pengguna  jalan  umum  dan masyarakat umum.;"Perwakilan Aksi Demo 10 orang   hering   di   ruang Asisten    1    dan    akan disampaikan                 ke Gubernur         tuntutanya
supaya                     Mobil
Pengangkut       Batubara tidak     beroperasi     dulu sebelum                      ada
kesepakatan   dari   sopir perorangan              untuk
sementara                akan
dipelajari  dulu  dan  akan mencari solusi.";Diterima oleh : - Asisten I Setda Provinsi Jambi;Aman dan terkendali;;
9;15;JAMBI;"Senin
6          Maret
2023";"Jam 10.30
s/d selesai";Kantor Gubernur;Aliansi    Pergerakkan    Intelektual Peduli   Jambi   (APIP-   JAMBI)   di Kantor Gubernur Jambi.;-;Berdasarkan      informasi dari kanit RESERSE dan kanit   polsek   telanaipura kota  jambi  bahwa  unjuk rasa          tidak          jadi dilaksanakan    kemudian petugas pengendali unjuk rasa       atas       perintah pimpinan              kembali ketempat semula;-;Aman dan terkendali;;
10;15;JAMBI;"Senin
13        Maret
2023";"Jam 11.00
s/d selesai";"Kantor Gubernur dan    DPRD
Provinsi Jambi";Komite    Exekutif    Partai    Buruh Provinsi Jambi di Kantor Gubernur Jambi dan  DPRD Provinsi Jambi. dengan masa ± 40 orang;Tolak UU cipta kerja;Akan ditindak lanjuti;Diterima oleh : asisten    III    kepala Kesbangpol       dan Kadis Naskentral;Aman dan terkendali;;
