NO;kabupaten-kota;tingkat_x;tingkat_xi;tingkat_xii;jumlah;status
1;Kab. Batang Hari;0;0;0;0;Negeri
2;Kab. Bungo;0;0;0;0;Negeri
3;Kab. Sarolangun;0;0;0;0;Negeri
4;Kab. Tanjung Jabung Barat;0;0;0;0;Negeri
5;Kab. Kerinci;0;0;0;0;Negeri
6;Kab. Tebo;0;0;0;0;Negeri
7;Kab. Muaro Jambi;0;0;0;0;Negeri
8;Kab. Tanjung Jabung Timur;0;0;0;0;Negeri
9;Kab. Merangin;0;0;0;0;Negeri
10;Kota Jambi;0;0;0;0;Negeri
11;Kota Sungai Penuh;0;0;0;0;Negeri
12;Kab. Batang Hari;0;0;0;0;Swasta
13;Kab. Bungo;0;0;0;0;Swasta
14;Kab. Sarolangun;0;0;0;0;Swasta
15;Kab. Tanjung Jabung Barat;0;0;0;0;Swasta
16;Kab. Tebo;0;0;0;0;Swasta
17;Kab. Muaro Jambi;0;0;0;0;Swasta
18;Kab. Tanjung Jabung Timur;0;0;0;0;Swasta
19;Kab. Merangin;0;0;0;0;Swasta
20;Kota Jambi;0;0;0;0;Swasta
