NO;kabupaten_-_kota;tingkat_x_-_jml;tingkat_x_-_%;tingkat_xi_-_jml;tingkat_xi_-_%;tingkat_xii_-_jml;tingkat_xii_-_%;jumlah;status
1;Kab. Batang Hari;946;33,42;948;33,49;937;33,1;2.831;Negeri
2;Kab. Bungo;1.066;33,74;1.094;34,63;999;31,62;3.159;Negeri
3;Kab. Sarolangun;834;36,06;807;34,89;672;29,05;2.313;Negeri
4;Kab. Tanjung Jabung Barat;873;33,98;821;31,96;875;34,06;2.569;Negeri
5;Kab. Kerinci;867;37,37;797;34,35;656;28,28;2.320;Negeri
6;Kab. Tebo;1.052;36,74;984;34,37;827;28,89;2.863;Negeri
7;Kab. Muaro Jambi;1.266;36,8;1.164;33,84;1.010;29,36;3.440;Negeri
8;Kab. Tanjung Jabung Timur;603;33,57;644;35,86;549;30,57;1.796;Negeri
9;Kab. Merangin;1.184;35,11;1.123;33,3;1.065;31,58;3.372;Negeri
10;Kota Jambi;2.192;35,89;2.057;33,68;1.859;30,44;6.108;Negeri
11;Kota Sungai Penuh;600;35,11;581;34;528;30,9;1.709;Negeri
12;Kab. Batang Hari;171;32,82;198;38;152;29,17;521;Swasta
13;Kab. Bungo;5;27,78;5;27,78;8;44,44;18;Swasta
14;Kab. Sarolangun;133;33,67;134;33,92;128;32,41;395;Swasta
15;Kab. Tanjung Jabung Barat;157;36,18;127;29,26;150;34,56;434;Swasta
16;Kab. Tebo;38;39,18;42;43,3;17;17,53;97;Swasta
17;Kab. Muaro Jambi;207;37,7;156;28,42;186;33,88;549;Swasta
18;Kab. Tanjung Jabung Timur;68;38,86;60;34,29;47;26,86;175;Swasta
19;Kab. Merangin;35;36,46;22;22,92;39;40,63;96;Swasta
20;Kota Jambi;951;34,87;887;32,53;889;32,6;2.727;Swasta
