Kabupaten - Kota,Tingkat X - Jml,Tingkat X - %,Tingkat XI - Jml,Tingkat XI - %,Tingkat XII - Jml,Tingkat XII - %,Jumlah,Status
Kab. Batang Hari,1075,36.09,970,32.56,934,31.35,2979,Negeri
Kab. Bungo,1256,33.52,1306,34.85,1185,31.63,3747,Negeri
Kab. Sarolangun,1014,36.06,949,33.75,849,30.19,2812,Negeri
Kab. Tanjung Jabung Barat,1070,35.42,1014,33.57,937,31.02,3021,Negeri
Kab. Kerinci,1017,37.42,868,31.94,833,30.65,2718,Negeri
Kab. Tebo,1281,34.82,1203,32.7,1195,32.48,3679,Negeri
Kab. Muaro Jambi,1475,36.13,1332,32.62,1276,31.25,4083,Negeri
Kab. Tanjung Jabung Timur,784,34.03,783,33.98,737,31.99,2304,Negeri
Kab. Merangin,1273,33.68,1294,34.23,1213,32.09,3780,Negeri
Kota Jambi,2526,34.95,2470,34.18,2231,30.87,7227,Negeri
Kota Sungai Penuh,691,31.84,729,33.59,750,34.56,2170,Negeri
Kab. Batang Hari,213,34.13,221,35.42,190,30.45,624,Swasta
Kab. Bungo,11,52.38,3,14.29,7,33.33,21,Swasta
Kab. Sarolangun,133,33.33,133,33.33,133,33.33,399,Swasta
Kab. Tanjung Jabung Barat,151,31.13,178,36.7,156,32.16,485,Swasta
Kab. Tebo,66,44.3,56,37.58,27,18.12,149,Swasta
Kab. Muaro Jambi,225,34.78,197,30.45,225,34.78,647,Swasta
Kab. Tanjung Jabung Timur,68,34.52,60,30.46,69,35.03,197,Swasta
Kab. Merangin,50,39.06,38,29.69,40,31.25,128,Swasta
Kota Jambi,990,35.78,934,33.75,843,30.47,2767,Swasta
