NO;kabupaten_-_kota;tingkat_x_-_jml;tingkat_x_-_%;tingkat_xi_-_jml;tingkat_xi_-_%;tingkat_xii_-_jml;tingkat_xii_-_%;jumlah;status
1;Kab. Batang Hari;1.075;36,09;970;32,56;934;31,35;2.979;Negeri
2;Kab. Bungo;1.256;33,52;1.306;34,85;1.185;31,63;3.747;Negeri
3;Kab. Sarolangun;1.014;36,06;949;33,75;849;30,19;2.812;Negeri
4;Kab. Tanjung Jabung Barat;1.070;35,42;1.014;33,57;937;31,02;3.021;Negeri
5;Kab. Kerinci;1.017;37,42;868;31,94;833;30,65;2.718;Negeri
6;Kab. Tebo;1.281;34,82;1.203;32,7;1.195;32,48;3.679;Negeri
7;Kab. Muaro Jambi;1.475;36,13;1.332;32,62;1.276;31,25;4.083;Negeri
8;Kab. Tanjung Jabung Timur;784;34,03;783;33,98;737;31,99;2.304;Negeri
9;Kab. Merangin;1.273;33,68;1.294;34,23;1.213;32,09;3.780;Negeri
10;Kota Jambi;2.526;34,95;2.470;34,18;2.231;30,87;7.227;Negeri
11;Kota Sungai Penuh;691;31,84;729;33,59;750;34,56;2.170;Negeri
12;Kab. Batang Hari;213;34,13;221;35,42;190;30,45;624;Swasta
13;Kab. Bungo;11;52,38;3;14,29;7;33,33;21;Swasta
14;Kab. Sarolangun;133;33,33;133;33,33;133;33,33;399;Swasta
15;Kab. Tanjung Jabung Barat;151;31,13;178;36,7;156;32,16;485;Swasta
16;Kab. Tebo;66;44,3;56;37,58;27;18,12;149;Swasta
17;Kab. Muaro Jambi;225;34,78;197;30,45;225;34,78;647;Swasta
18;Kab. Tanjung Jabung Timur;68;34,52;60;30,46;69;35,03;197;Swasta
19;Kab. Merangin;50;39,06;38;29,69;40;31,25;128;Swasta
20;Kota Jambi;990;35,78;934;33,75;843;30,47;2.767;Swasta
