NO;kabupaten_-_kota;laki-laki_(l)_-_tingkat_-_x;laki-laki_(l)_-_tingkat_-_xi;laki-laki_(l)_-_tingkat_-_xii;laki-laki_(l)_-_subjml;perempuan_(p)_-_tingkat_-_x;perempuan_(p)_-_tingkat_-_xi;perempuan_(p)_-_tingkat_-_xii;perempuan_(p)_-_subjml;laki-laki_dan_perempuan_-_tingkat_-_x;laki-laki_dan_perempuan_-_tingkat_-_xi;laki-laki_dan_perempuan_-_tingkat_-_xii;laki-laki_dan_perempuan_-_jumlah
1;Kab. Batang Hari;11;2;0;13;1;0;0;1;12;2;0;14
2;Kab. Bungo;25;5;0;30;2;0;0;2;27;5;0;32
3;Kab. Sarolangun;5;5;0;10;0;1;0;1;5;6;0;11
4;Kab. Tanjung Jabung Barat;2;6;0;8;3;1;0;4;5;7;0;12
5;Kab. Kerinci;10;5;12;27;7;3;14;24;17;8;26;51
6;Kab. Tebo;19;4;0;23;5;0;0;5;24;4;0;28
7;Kab. Muaro Jambi;4;0;0;4;1;0;0;1;5;0;0;5
8;Kab. Tanjung Jabung Timur;6;5;0;11;1;0;0;1;7;5;0;12
9;Kab. Merangin;6;4;0;10;2;4;0;6;8;8;0;16
10;Kota Jambi;12;7;0;19;1;2;0;3;13;9;0;22
11;Kota Sungai Penuh;0;0;0;0;0;0;0;0;0;0;0;0
