NO;kode_provinsi;nama_provinsi;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan_atau_tanaman_rusak;satuan;tahun
1;15;JAMBI;KARET / Rubber;149.457;372.249;92.787;HEKTAR;2022
2;15;JAMBI;KELAPA SAWIT / Oil Palm;116.504;418.977;102.466;HEKTAR;2022
3;15;JAMBI;KELAPA DALAM / Tall Coconut;5.316;94.065;15.909;HEKTAR;2022
4;15;JAMBI;KELAPA HYBRIDA / Hybrid Coconut;3;216;78;HEKTAR;2022
5;15;JAMBI;KOPI ROBUSTA/Robusta Coffee;5.401;14.029;1.39;HEKTAR;2022
6;15;JAMBI;KOPI ARABICA/Arabica Coffee;1.796;1.582;436;HEKTAR;2022
7;15;JAMBI;KOPI LIBERIKA/Liberica Coffe;1.007;4.267;1.078;HEKTAR;2022
8;15;JAMBI;CASSIAVERA / Cinnamon;30.802;14.975;566;HEKTAR;2022
9;15;JAMBI;LADA / Pepper;2;42;4;HEKTAR;2022
10;15;JAMBI;CENGKEH / Clove;72;70;75;HEKTAR;2022
11;15;JAMBI;KAKAO / Cocoa;585;1.51;422;HEKTAR;2022
12;15;JAMBI;PINANG / Areca;5.539;18.753;802;HEKTAR;2022
13;15;JAMBI;KEMIRI / Candle Nut;103;434;166;HEKTAR;2022
14;15;JAMBI;AREN / Sugar Palm;69;158;48;HEKTAR;2022
15;15;JAMBI;PANILI / Vanili;0;0;0;HEKTAR;2022
16;15;JAMBI;KAPUK / Kapuk;0;0;0;HEKTAR;2022
17;15;JAMBI;PALA / Pals;0;0;0;HEKTAR;2022
18;15;JAMBI;KARET / Rubber;140.174;370.959;93.172;HEKTAR;2023
19;15;JAMBI;KELAPA SAWIT / Oil Palm;119.727;431.577;94.661;HEKTAR;2023
20;15;JAMBI;KELAPA DALAM / Tall Coconut;4.892;94.137;16.087;HEKTAR;2023
21;15;JAMBI;KELAPA HYBRIDA / Hybrid Coconut;2;191;71;HEKTAR;2023
22;15;JAMBI;KOPI ROBUSTA/Robusta Coffee;5.164;14.231;1511;HEKTAR;2023
23;15;JAMBI;KOPI ARABICA/Arabica Coffee;1.539;1.904;191;HEKTAR;2023
24;15;JAMBI;KOPI LIBERIKA/Liberica Coffe;829;4.296;1.183;HEKTAR;2023
25;15;JAMBI;CASSIAVERA / Cinnamon;29.377;16.678;200;HEKTAR;2023
26;15;JAMBI;LADA / Pepper;2;37;4;HEKTAR;2023
27;15;JAMBI;CENGKEH / Clove;47;87;79;HEKTAR;2023
28;15;JAMBI;KAKAO / Cocoa;471;1341;361;HEKTAR;2023
29;15;JAMBI;PINANG / Areca;5.752;18.729;828;HEKTAR;2023
30;15;JAMBI;KEMIRI / Candle Nut;103;434;142;HEKTAR;2023
31;15;JAMBI;AREN / Sugar Palm;67;137;42;HEKTAR;2023
32;15;JAMBI;PANILI / Vanili;0;0;0;HEKTAR;2023
33;15;JAMBI;KAPUK / Kapuk;0;0;0;HEKTAR;2023
34;15;JAMBI;PALA / Pals;0;0;0;HEKTAR;2023
