NO;kode_provinsi;nama_provinsi;komoditi;produksi;satuan_produksi;tahun
1;15;JAMBI;KARET / Rubber;339.604;TON;2022
2;15;JAMBI;KELAPA SAWIT / Oil Palm;1.246.078;TON;2022
3;15;JAMBI;KELAPA DALAM / Tall Coconut;114.137;TON;2022
4;15;JAMBI;KELAPA HYBRIDA / Hybrid Coconut;124;TON;2022
5;15;JAMBI;KOPI ROBUSTA/Robusta Coffee;15.570;TON;2022
6;15;JAMBI;KOPI ARABICA/Arabica Coffee;1.019;TON;2022
7;15;JAMBI;KOPI LIBERIKA/Liberica Coffe;2.381;TON;2022
8;15;JAMBI;CASSIAVERA / Cinnamon;30.282;TON;2022
9;15;JAMBI;LADA / Pepper;12;TON;2022
10;15;JAMBI;CENGKEH / Clove;29;TON;2022
11;15;JAMBI;KAKAO / Cocoa;936;TON;2022
12;15;JAMBI;PINANG / Areca;34.070;TON;2022
13;15;JAMBI;KEMIRI / Candle Nut;211;TON;2022
14;15;JAMBI;AREN / Sugar Palm;123;TON;2022
15;15;JAMBI;PANILI / Vanili;-;TON;2022
16;15;JAMBI;KAPUK / Kapuk;-;TON;2022
17;15;JAMBI;PALA / Pals;-;TON;2022
18;15;JAMBI;KARET / Rubber;326.659;TON;2023
19;15;JAMBI;KELAPA SAWIT / Oil Palm;1.307.304;TON;2023
20;15;JAMBI;KELAPA DALAM / Tall Coconut;114.347;TON;2023
21;15;JAMBI;KELAPA HYBRIDA / Hybrid Coconut;110;TON;2023
22;15;JAMBI;KOPI ROBUSTA/Robusta Coffee;15.875;TON;2023
23;15;JAMBI;KOPI ARABICA/Arabica Coffee;1.173;TON;2023
24;15;JAMBI;KOPI LIBERIKA/Liberica Coffe;2.377;TON;2023
25;15;JAMBI;CASSIAVERA / Cinnamon;30.407;TON;2023
26;15;JAMBI;LADA / Pepper;11;TON;2023
27;15;JAMBI;CENGKEH / Clove;33;TON;2023
28;15;JAMBI;KAKAO / Cocoa;723;TON;2023
29;15;JAMBI;PINANG / Areca;32.107;TON;2023
30;15;JAMBI;KEMIRI / Candle Nut;208;TON;2023
31;15;JAMBI;AREN / Sugar Palm;101;TON;2023
32;15;JAMBI;PANILI / Vanili;-;TON;2023
33;15;JAMBI;KAPUK / Kapuk;-;TON;2023
34;15;JAMBI;PALA / Pals;-;TON;2023
