NO;kode_provinsi;nama_provinsi;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;KARET / Rubber;233.090;KEPALA KELUARGA;2022
2;15;JAMBI;KELAPA SAWIT / Oil Palm;269.482;KEPALA KELUARGA;2022
3;15;JAMBI;KELAPA DALAM / Tall Coconut;83.954;KEPALA KELUARGA;2022
4;15;JAMBI;KELAPA HYBRIDA / Hybrid Coconut;851;KEPALA KELUARGA;2022
5;15;JAMBI;KOPI ROBUSTA/Robusta Coffee;15.132;KEPALA KELUARGA;2022
6;15;JAMBI;KOPI ARABICA/Arabica Coffee;4.474;KEPALA KELUARGA;2022
7;15;JAMBI;KOPI LIBERIKA/Liberica Coffe;5.203;KEPALA KELUARGA;2022
8;15;JAMBI;CASSIAVERA / Cinnamon;16.295;KEPALA KELUARGA;2022
9;15;JAMBI;LADA / Pepper;763;KEPALA KELUARGA;2022
10;15;JAMBI;CENGKEH / Clove;314;KEPALA KELUARGA;2022
11;15;JAMBI;KAKAO / Cocoa;5.861;KEPALA KELUARGA;2022
12;15;JAMBI;PINANG / Areca;28.644;KEPALA KELUARGA;2022
13;15;JAMBI;KEMIRI / Candle Nut;2.275;KEPALA KELUARGA;2022
14;15;JAMBI;AREN / Sugar Palm;934;KEPALA KELUARGA;2022
15;15;JAMBI;KARET / Rubber;224.551;KEPALA KELUARGA;2023
16;15;JAMBI;KELAPA SAWIT / Oil Palm;292.236;KEPALA KELUARGA;2023
17;15;JAMBI;KELAPA DALAM / Tall Coconut;83.822;KEPALA KELUARGA;2023
18;15;JAMBI;KELAPA HYBRIDA / Hybrid Coconut;709;KEPALA KELUARGA;2023
19;15;JAMBI;KOPI ROBUSTA/Robusta Coffee;20.210;KEPALA KELUARGA;2023
20;15;JAMBI;KOPI ARABICA/Arabica Coffee;4.322;KEPALA KELUARGA;2023
21;15;JAMBI;KOPI LIBERIKA/Liberica Coffe;5.129;KEPALA KELUARGA;2023
22;15;JAMBI;CASSIAVERA / Cinnamon;16.302;KEPALA KELUARGA;2023
23;15;JAMBI;LADA / Pepper;717;KEPALA KELUARGA;2023
24;15;JAMBI;CENGKEH / Clove;276;KEPALA KELUARGA;2023
25;15;JAMBI;KAKAO / Cocoa;5.511;KEPALA KELUARGA;2023
26;15;JAMBI;PINANG / Areca;28.673;KEPALA KELUARGA;2023
27;15;JAMBI;KEMIRI / Candle Nut;2.227;KEPALA KELUARGA;2023
28;15;JAMBI;AREN / Sugar Palm;606;KEPALA KELUARGA;2023
