NO;kode_provinsi;nama_provinsi;komoditi;produktivitas;satuan_produktivitas;tahun
1;15;JAMBI;KARET / Rubber;912;KG/HEKTAR;2022
2;15;JAMBI;KELAPA SAWIT / Oil Palm;2.974;KG/HEKTAR;2022
3;15;JAMBI;KELAPA DALAM / Tall Coconut;1.213;KG/HEKTAR;2022
4;15;JAMBI;KELAPA HYBRIDA / Hybrid Coconut;574;KG/HEKTAR;2022
5;15;JAMBI;KOPI ROBUSTA/Robusta Coffee;1.110;KG/HEKTAR;2022
6;15;JAMBI;KOPI ARABICA/Arabica Coffee;644;KG/HEKTAR;2022
7;15;JAMBI;KOPI LIBERIKA/Liberica Coffe;558;KG/HEKTAR;2022
8;15;JAMBI;CASSIAVERA / Cinnamon;2.022;KG/HEKTAR;2022
9;15;JAMBI;LADA / Pepper;286;KG/HEKTAR;2022
10;15;JAMBI;CENGKEH / Clove;412;KG/HEKTAR;2022
11;15;JAMBI;KAKAO / Cocoa;620;KG/HEKTAR;2022
12;15;JAMBI;PINANG / Areca;1.817;KG/HEKTAR;2022
13;15;JAMBI;KEMIRI / Candle Nut;486;KG/HEKTAR;2022
14;15;JAMBI;AREN / Sugar Palm;778;KG/HEKTAR;2022
15;15;JAMBI;PANILI / Vanili;-;KG/HEKTAR;2022
16;15;JAMBI;KAPUK / Kapuk;-;KG/HEKTAR;2022
17;15;JAMBI;PALA / Pals;-;KG/HEKTAR;2022
18;15;JAMBI;KARET / Rubber;881;KG/HEKTAR;2023
19;15;JAMBI;KELAPA SAWIT / Oil Palm;3.029;KG/HEKTAR;2023
20;15;JAMBI;KELAPA DALAM / Tall Coconut;1.215;KG/HEKTAR;2023
21;15;JAMBI;KELAPA HYBRIDA / Hybrid Coconut;573;KG/HEKTAR;2023
22;15;JAMBI;KOPI ROBUSTA/Robusta Coffee;1.116;KG/HEKTAR;2023
23;15;JAMBI;KOPI ARABICA/Arabica Coffee;616;KG/HEKTAR;2023
24;15;JAMBI;KOPI LIBERIKA/Liberica Coffe;553;KG/HEKTAR;2023
25;15;JAMBI;CASSIAVERA / Cinnamon;1.823;KG/HEKTAR;2023
26;15;JAMBI;LADA / Pepper;284;KG/HEKTAR;2023
27;15;JAMBI;CENGKEH / Clove;379;KG/HEKTAR;2023
28;15;JAMBI;KAKAO / Cocoa;539;KG/HEKTAR;2023
29;15;JAMBI;PINANG / Areca;1.714;KG/HEKTAR;2023
30;15;JAMBI;KEMIRI / Candle Nut;479;KG/HEKTAR;2023
31;15;JAMBI;AREN / Sugar Palm;737;KG/HEKTAR;2023
32;15;JAMBI;PANILI / Vanili;-;KG/HEKTAR;2023
33;15;JAMBI;KAPUK / Kapuk;-;KG/HEKTAR;2023
34;15;JAMBI;PALA / Pals;-;KG/HEKTAR;2023
