NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KARET;20672;KEPALA KELUARGA;2022
2;15;JAMBI;1505;MUARO JAMBI;KARET;15211;KEPALA KELUARGA;2022
3;15;JAMBI;1508;BUNGO;KARET;47480;KEPALA KELUARGA;2022
4;15;JAMBI;1509;TEBO;KARET;53738;KEPALA KELUARGA;2022
5;15;JAMBI;1502;MERANGIN;KARET;52123;KEPALA KELUARGA;2022
6;15;JAMBI;1503;SAROLANGUN;KARET;34488;KEPALA KELUARGA;2022
7;15;JAMBI;1506;TANJAB BARAT;KARET;3704;KEPALA KELUARGA;2022
8;15;JAMBI;1507;TANJAB TIMUR;KARET;5271;KEPALA KELUARGA;2022
9;15;JAMBI;1501;KERINCI;KARET;1368;KEPALA KELUARGA;2022
10;15;JAMBI;1504;BATANGHARI;KARET;20452;KEPALA KELUARGA;2023
11;15;JAMBI;1505;MUARO JAMBI;KARET;8610;KEPALA KELUARGA;2023
12;15;JAMBI;1508;BUNGO;KARET;47295;KEPALA KELUARGA;2023
13;15;JAMBI;1509;TEBO;KARET;53518;KEPALA KELUARGA;2023
14;15;JAMBI;1502;MERANGIN;KARET;51978;KEPALA KELUARGA;2023
15;15;JAMBI;1503;SAROLANGUN;KARET;34008;KEPALA KELUARGA;2023
16;15;JAMBI;1506;TANJAB BARAT;KARET;3512;KEPALA KELUARGA;2023
17;15;JAMBI;1507;TANJAB TIMUR;KARET;4259;KEPALA KELUARGA;2023
18;15;JAMBI;1501;KERINCI;KARET;1244;KEPALA KELUARGA;2023
