NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1504;KELAPA SAWIT;3422;KG/HA;2022
2;15;JAMBI;1505;KELAPA SAWIT;2594;KG/HA;2022
3;15;JAMBI;1508;KELAPA SAWIT;3541;KG/HA;2022
4;15;JAMBI;1509;KELAPA SAWIT;2814;KG/HA;2022
5;15;JAMBI;1502;KELAPA SAWIT;4176;KG/HA;2022
6;15;JAMBI;1503;KELAPA SAWIT;2598;KG/HA;2022
7;15;JAMBI;1506;KELAPA SAWIT;2497;KG/HA;2022
8;15;JAMBI;1507;KELAPA SAWIT;2422;KG/HA;2022
9;15;JAMBI;1501;KELAPA SAWIT;727;KG/HA;2022
10;15;JAMBI;1504;KELAPA SAWIT;3610;KG/HA;2023
11;15;JAMBI;1505;KELAPA SAWIT;2573;KG/HA;2023
12;15;JAMBI;1508;KELAPA SAWIT;3833;KG/HA;2023
13;15;JAMBI;1509;KELAPA SAWIT;2820;KG/HA;2023
14;15;JAMBI;1502;KELAPA SAWIT;3365;KG/HA;2023
15;15;JAMBI;1503;KELAPA SAWIT;3118;KG/HA;2023
16;15;JAMBI;1506;KELAPA SAWIT;2870;KG/HA;2023
17;15;JAMBI;1507;KELAPA SAWIT;4716;KG/HA;2023
18;15;JAMBI;1501;KELAPA SAWIT;727;KG/HA;2023
