NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KELAPA SAWIT;64966;KEPALA KELUARGA;2022
2;15;JAMBI;1505;MUARO JAMBI;KELAPA SAWIT;62450;KEPALA KELUARGA;2022
3;15;JAMBI;1508;BUNGO;KELAPA SAWIT;26820;KEPALA KELUARGA;2022
4;15;JAMBI;1509;TEBO;KELAPA SAWIT;21624;KEPALA KELUARGA;2022
5;15;JAMBI;1502;MERANGIN;KELAPA SAWIT;43010;KEPALA KELUARGA;2022
6;15;JAMBI;1503;SAROLANGUN;KELAPA SAWIT;26848;KEPALA KELUARGA;2022
7;15;JAMBI;1506;TANJAB BARAT;KELAPA SAWIT;32199;KEPALA KELUARGA;2022
8;15;JAMBI;1507;TANJAB TIMUR;KELAPA SAWIT;11638;KEPALA KELUARGA;2022
9;15;JAMBI;1501;KERINCI;KELAPA SAWIT;40;KEPALA KELUARGA;2022
10;15;JAMBI;1504;BATANGHARI;KELAPA SAWIT;72316;KEPALA KELUARGA;2023
11;15;JAMBI;1505;MUARO JAMBI;KELAPA SAWIT;74958;KEPALA KELUARGA;2023
12;15;JAMBI;1508;BUNGO;KELAPA SAWIT;32934;KEPALA KELUARGA;2023
13;15;JAMBI;1509;TEBO;KELAPA SAWIT;27520;KEPALA KELUARGA;2023
14;15;JAMBI;1502;MERANGIN;KELAPA SAWIT;58515;KEPALA KELUARGA;2023
15;15;JAMBI;1503;SAROLANGUN;KELAPA SAWIT;28454;KEPALA KELUARGA;2023
16;15;JAMBI;1506;TANJAB BARAT;KELAPA SAWIT;37960;KEPALA KELUARGA;2023
17;15;JAMBI;1507;TANJAB TIMUR;KELAPA SAWIT;14238;KEPALA KELUARGA;2023
18;15;JAMBI;1501;KERINCI;KELAPA SAWIT;40;KEPALA KELUARGA;2023
