NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1504;KELAPA DALAM;1010;KG/HA;2022
2;15;JAMBI;1505;KELAPA DALAM;928;KG/HA;2022
3;15;JAMBI;1508;KELAPA DALAM;840;KG/HA;2022
4;15;JAMBI;1509;KELAPA DALAM;657;KG/HA;2022
5;15;JAMBI;1502;KELAPA DALAM;702;KG/HA;2022
6;15;JAMBI;1503;KELAPA DALAM;795;KG/HA;2022
7;15;JAMBI;1506;KELAPA DALAM;1345;KG/HA;2022
8;15;JAMBI;1507;KELAPA DALAM;1138;KG/HA;2022
9;15;JAMBI;1501;KELAPA DALAM;481;KG/HA;2022
10;15;JAMBI;1572;KELAPA DALAM;1000;KG/HA;2022
11;15;JAMBI;1504;KELAPA DALAM;1010;KG/HA;2023
12;15;JAMBI;1505;KELAPA DALAM;923;KG/HA;2023
13;15;JAMBI;1508;KELAPA DALAM;856;KG/HA;2023
14;15;JAMBI;1509;KELAPA DALAM;660;KG/HA;2023
15;15;JAMBI;1502;KELAPA DALAM;702;KG/HA;2023
16;15;JAMBI;1503;KELAPA DALAM;795;KG/HA;2023
17;15;JAMBI;1506;KELAPA DALAM;1347;KG/HA;2023
18;15;JAMBI;1507;KELAPA DALAM;1138;KG/HA;2023
19;15;JAMBI;1501;KELAPA DALAM;462;KG/HA;2023
20;15;JAMBI;1572;KELAPA DALAM;1000;KG/HA;2023
