NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan_atau_tanaman_rusak;jumlah;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KOPI ROBUSTA;-;5;-;5;HEKTAR;2022
2;15;JAMBI;1505;MUARO JAMBI;KOPI ROBUSTA;-;49;45;94;HEKTAR;2022
3;15;JAMBI;1508;BUNGO;KOPI ROBUSTA;308;517;106;931;HEKTAR;2022
4;15;JAMBI;1509;TEBO;KOPI ROBUSTA;81;86;124;291;HEKTAR;2022
5;15;JAMBI;1502;MERANGIN;KOPI ROBUSTA;3.512;8.096;10;11.618;HEKTAR;2022
6;15;JAMBI;1503;SAROLANGUN;KOPI ROBUSTA;307;439;24;770;HEKTAR;2022
7;15;JAMBI;1501;KERINCI;KOPI ROBUSTA;1.193;4.614;936;6.743;HEKTAR;2022
8;15;JAMBI;1572;SUNGAI PENUH;KOPI ROBUSTA;-;223;145;368;HEKTAR;2022
9;15;JAMBI;1504;BATANGHARI;KOPI ROBUSTA;-;-;-;0;HEKTAR;2023
10;15;JAMBI;1505;MUARO JAMBI;KOPI ROBUSTA;-;49;14;63;HEKTAR;2023
11;15;JAMBI;1508;BUNGO;KOPI ROBUSTA;110;503;311;924;HEKTAR;2023
12;15;JAMBI;1509;TEBO;KOPI ROBUSTA;76;92;106;274;HEKTAR;2023
13;15;JAMBI;1502;MERANGIN;KOPI ROBUSTA;3.537;8.104;5;11646;HEKTAR;2023
14;15;JAMBI;1503;SAROLANGUN;KOPI ROBUSTA;333;531;24;888;HEKTAR;2023
15;15;JAMBI;1501;KERINCI;KOPI ROBUSTA;1.108;4.729;906;6743;HEKTAR;2023
16;15;JAMBI;1572;SUNGAI PENUH;KOPI ROBUSTA;-;223;145;368;HEKTAR;2023
