NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1504;KAKAO;199;KEPALA KELUARGA;2022
2;15;JAMBI;1505;KAKAO;1187;KEPALA KELUARGA;2022
3;15;JAMBI;1508;KAKAO;116;KEPALA KELUARGA;2022
4;15;JAMBI;1509;KAKAO;657;KEPALA KELUARGA;2022
5;15;JAMBI;1502;KAKAO;2094;KEPALA KELUARGA;2022
6;15;JAMBI;1503;KAKAO;55;KEPALA KELUARGA;2022
7;15;JAMBI;1506;KAKAO;113;KEPALA KELUARGA;2022
8;15;JAMBI;1507;KAKAO;752;KEPALA KELUARGA;2022
9;15;JAMBI;1501;KAKAO;424;KEPALA KELUARGA;2022
10;15;JAMBI;1572;KAKAO;264;KEPALA KELUARGA;2022
11;15;JAMBI;1504;KAKAO;19;KEPALA KELUARGA;2023
12;15;JAMBI;1505;KAKAO;1007;KEPALA KELUARGA;2023
13;15;JAMBI;1508;KAKAO;118;KEPALA KELUARGA;2023
14;15;JAMBI;1509;KAKAO;523;KEPALA KELUARGA;2023
15;15;JAMBI;1502;KAKAO;2069;KEPALA KELUARGA;2023
16;15;JAMBI;1503;KAKAO;55;KEPALA KELUARGA;2023
17;15;JAMBI;1506;KAKAO;113;KEPALA KELUARGA;2023
18;15;JAMBI;1507;KAKAO;752;KEPALA KELUARGA;2023
19;15;JAMBI;1501;KAKAO;424;KEPALA KELUARGA;2023
20;15;JAMBI;1572;KAKAO;251;KEPALA KELUARGA;2023
