NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan_atau_tanaman_rusak;jumlah;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;PINANG;13;37;-;50;HEKTAR;2022
2;15;JAMBI;1505;MUARO JAMBI;PINANG;142;138;15;295;HEKTAR;2022
3;15;JAMBI;1508;BUNGO;PINANG;58;81;15;154;HEKTAR;2022
4;15;JAMBI;1509;TEBO;PINANG;94;181;103;378;HEKTAR;2022
5;15;JAMBI;1502;MERANGIN;PINANG;208;169;5;382;HEKTAR;2022
6;15;JAMBI;1503;SAROLANGUN;PINANG;33;89;26;148;HEKTAR;2022
7;15;JAMBI;1506;TANJAB BARAT;PINANG;3.824;9.617;204;13.645;HEKTAR;2022
8;15;JAMBI;1507;TANJAB TIMUR;PINANG;1.151;8.310;407;9.868;HEKTAR;2022
9;15;JAMBI;1501;KERINCI;PINANG;16;67;24;107;HEKTAR;2022
10;15;JAMBI;1572;SUNGAI PENUH;PINANG;-;64;3;67;HEKTAR;2022
11;15;JAMBI;1504;BATANGHARI;PINANG;28;37;-;64;HEKTAR;2023
12;15;JAMBI;1505;MUARO JAMBI;PINANG;217;138;15;370;HEKTAR;2023
13;15;JAMBI;1508;BUNGO;PINANG;65;80;15;160;HEKTAR;2023
14;15;JAMBI;1509;TEBO;PINANG;74;141;132;347;HEKTAR;2023
15;15;JAMBI;1502;MERANGIN;PINANG;196;173;3;372;HEKTAR;2023
16;15;JAMBI;1503;SAROLANGUN;PINANG;33;89;26;148;HEKTAR;2023
17;15;JAMBI;1506;TANJAB BARAT;PINANG;3.970;9.644;237;13.851;HEKTAR;2023
18;15;JAMBI;1507;TANJAB TIMUR;PINANG;1.151;8.296;395;9.842;HEKTAR;2023
19;15;JAMBI;1501;KERINCI;PINANG;18;67;0;85;HEKTAR;2023
20;15;JAMBI;1572;SUNGAI PENUH;PINANG;-;64;3;67;HEKTAR;2023
