NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produksi;satuan;tahun
1;15;JAMBI;1504;PINANG;15;TON;2022
2;15;JAMBI;1505;PINANG;32;TON;2022
3;15;JAMBI;1508;PINANG;51;TON;2022
4;15;JAMBI;1509;PINANG;40;TON;2022
5;15;JAMBI;1502;PINANG;50;TON;2022
6;15;JAMBI;1503;PINANG;21;TON;2022
7;15;JAMBI;1506;PINANG;13876;TON;2022
8;15;JAMBI;1507;PINANG;19933;TON;2022
9;15;JAMBI;1501;PINANG;31;TON;2022
10;15;JAMBI;1572;PINANG;21;TON;2022
11;15;JAMBI;1504;PINANG;17;TON;2023
12;15;JAMBI;1505;PINANG;32;TON;2023
13;15;JAMBI;1508;PINANG;49;TON;2023
14;15;JAMBI;1509;PINANG;34;TON;2023
15;15;JAMBI;1502;PINANG;49;TON;2023
16;15;JAMBI;1503;PINANG;21;TON;2023
17;15;JAMBI;1506;PINANG;13933;TON;2023
18;15;JAMBI;1507;PINANG;17919;TON;2023
19;15;JAMBI;1501;PINANG;32;TON;2023
20;15;JAMBI;1572;PINANG;21;TON;2023
