NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1504;PINANG;405;KG/HA;2022
2;15;JAMBI;1505;PINANG;232;KG/HA;2022
3;15;JAMBI;1508;PINANG;630;KG/HA;2022
4;15;JAMBI;1509;PINANG;221;KG/HA;2022
5;15;JAMBI;1502;PINANG;296;KG/HA;2022
6;15;JAMBI;1503;PINANG;236;KG/HA;2022
7;15;JAMBI;1506;PINANG;1443;KG/HA;2022
8;15;JAMBI;1507;PINANG;2399;KG/HA;2022
9;15;JAMBI;1501;PINANG;463;KG/HA;2022
10;15;JAMBI;1572;PINANG;328;KG/HA;2022
11;15;JAMBI;1504;PINANG;466;KG/HA;2023
12;15;JAMBI;1505;PINANG;232;KG/HA;2023
13;15;JAMBI;1508;PINANG;613;KG/HA;2023
14;15;JAMBI;1509;PINANG;242;KG/HA;2023
15;15;JAMBI;1502;PINANG;283;KG/HA;2023
16;15;JAMBI;1503;PINANG;236;KG/HA;2023
17;15;JAMBI;1506;PINANG;1445;KG/HA;2023
18;15;JAMBI;1507;PINANG;2160;KG/HA;2023
19;15;JAMBI;1501;PINANG;481;KG/HA;2023
20;15;JAMBI;1572;PINANG;328;KG/HA;2023
