NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan_atau_tanaman_rusak;jumlah;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KARET;664;67.996;3.805;72.465;HEKTAR;2022
2;15;JAMBI;1505;MUARO JAMBI;KARET;13.675;35.172;7.041;55.888;HEKTAR;2022
3;15;JAMBI;1508;BUNGO;KARET;29.012;48.863;13.888;91.763;HEKTAR;2022
4;15;JAMBI;1509;TEBO;KARET;33.134;63.026;17.859;114.019;HEKTAR;2022
5;15;JAMBI;1502;MERANGIN;KARET;36.507;82.462;18.706;137.675;HEKTAR;2022
6;15;JAMBI;1503;SAROLANGUN;KARET;32.965;63.352;29.412;125.729;HEKTAR;2022
7;15;JAMBI;1506;TANJAB BARAT;KARET;1.265;5.909;214;7.388;HEKTAR;2022
8;15;JAMBI;1507;TANJAB TIMUR;KARET;1.212;4.708;1.836;7.756;HEKTAR;2022
9;15;JAMBI;1501;KERINCI;KARET;1.023;761;87;1.871;HEKTAR;2022
10;15;JAMBI;1504;BATANGHARI;KARET;0;68.660;3.256;71.916;HEKTAR;2023
11;15;JAMBI;1505;MUARO JAMBI;KARET;9.248;34.632;6.333;50.213;HEKTAR;2023
12;15;JAMBI;1508;BUNGO;KARET;28.028;48.911;14.485;91.424;HEKTAR;2023
13;15;JAMBI;1509;TEBO;KARET;32.736;62.604;18.351;113.691;HEKTAR;2023
14;15;JAMBI;1502;MERANGIN;KARET;36.433;82.496;18.641;137.570;HEKTAR;2023
15;15;JAMBI;1503;SAROLANGUN;KARET;32.656;62.595;28.728;123.979;HEKTAR;2023
16;15;JAMBI;1506;TANJAB BARAT;KARET;1.073;5.740;263;7.076;HEKTAR;2023
17;15;JAMBI;1507;TANJAB TIMUR;KARET;0;3.716;3.028;6.744;HEKTAR;2023
18;15;JAMBI;1501;KERINCI;KARET;0;1605;87;1.692;HEKTAR;2023
