NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1504;KARET;893;KG/HA;2022
2;15;JAMBI;1505;KARET;975;KG/HA;2022
3;15;JAMBI;1508;KARET;1032;KG/HA;2022
4;15;JAMBI;1509;KARET;798;KG/HA;2022
5;15;JAMBI;1502;KARET;945;KG/HA;2022
6;15;JAMBI;1503;KARET;916;KG/HA;2022
7;15;JAMBI;1506;KARET;526;KG/HA;2022
8;15;JAMBI;1507;KARET;957;KG/HA;2022
9;15;JAMBI;1501;KARET;688;KG/HA;2022
10;15;JAMBI;1504;KARET;891;KG/HA;2023
11;15;JAMBI;1505;KARET;708;KG/HA;2023
12;15;JAMBI;1508;KARET;1024;KG/HA;2023
13;15;JAMBI;1509;KARET;800;KG/HA;2023
14;15;JAMBI;1502;KARET;945;KG/HA;2023
15;15;JAMBI;1503;KARET;906;KG/HA;2023
16;15;JAMBI;1506;KARET;528;KG/HA;2023
17;15;JAMBI;1507;KARET;677;KG/HA;2023
18;15;JAMBI;1501;KARET;340;KG/HA;2023
