kode_provinsi ;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
15;JAMBI;1504;Kab. Batanghari;150407;Bajubang;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;Kab. Batanghari;150407;Bajubang;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1504;Kab. Batanghari;150407;Bajubang;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1504;Kab. Batanghari;150407;Bajubang;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1504;Kab. Batanghari;150407;Bajubang;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;Kab. Batanghari;150407;Bajubang;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1504;Kab. Batanghari;150404;Batin XXIV;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;Kab. Batanghari;150404;Batin XXIV;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1504;Kab. Batanghari;150404;Batin XXIV;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1504;Kab. Batanghari;150404;Batin XXIV;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;3
15;JAMBI;1504;Kab. Batanghari;150404;Batin XXIV;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;Kab. Batanghari;150404;Batin XXIV;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1504;Kab. Batanghari;150408;Maro Sebo Ilir;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;Kab. Batanghari;150408;Maro Sebo Ilir;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1504;Kab. Batanghari;150408;Maro Sebo Ilir;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1504;Kab. Batanghari;150408;Maro Sebo Ilir;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
15;JAMBI;1504;Kab. Batanghari;150408;Maro Sebo Ilir;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;Kab. Batanghari;150408;Maro Sebo Ilir;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1504;Kab. Batanghari;150406;Maro Sebo Ulu;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;Kab. Batanghari;150406;Maro Sebo Ulu;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1504;Kab. Batanghari;150406;Maro Sebo Ulu;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
