kode_provinsi ;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;3
15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;3
15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;2
15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;1
15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;5
15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;9
15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;3
15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;2
15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;3
15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
