id;kode_provinsi ;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
1;15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
2;15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
3;15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
4;15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
5;15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
6;15;JAMBI;1504;150407;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
7;15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
8;15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
9;15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
10;15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;3
11;15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
12;15;JAMBI;1504;150404;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
13;15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
14;15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
16;15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
17;15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
18;15;JAMBI;1504;150408;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
19;15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
20;15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
21;15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
22;15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;3
23;15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
24;15;JAMBI;1504;150406;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
25;15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
26;15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
27;15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
28;15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;2
29;15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
30;15;JAMBI;1504;150401;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
31;15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;1
32;15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
33;15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;5
34;15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;9
35;15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;3
36;15;JAMBI;1504;150403;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;2
37;15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
38;15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
39;15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;3
40;15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
41;15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
42;15;JAMBI;1504;150402;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
43;15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
44;15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
45;15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
46;15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;6
47;15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
48;15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
49;15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
50;15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
51;15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
52;15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
53;15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
54;15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
55;15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
56;15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
57;15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
58;15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;2
59;15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
60;15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
61;15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
62;15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
63;15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
64;15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
65;15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
66;15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
67;15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
68;15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
69;15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
70;15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
71;15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
72;15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
73;15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
74;15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
75;15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
76;15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
77;15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
78;15;JAMBI;1508;150812;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;1
79;15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
80;15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
