NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
1;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;WANITA PEMIMPIN KESEJAHTERAAN SOSIAL;1;ORANG;2021
2;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;WANITA PEMIMPIN KESEJAHTERAAN SOSIAL;25;ORANG;2022
3;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;WANITA PEMIMPIN KESEJAHTERAAN SOSIAL;25;ORANG;2023
4;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;WANITA PEMIMPIN KESEJAHTERAAN SOSIAL;3;ORANG;2023
5;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;WAHANA KESEJAHTERAAN SOSIAL BERBASIS MASYARAKAT;4;ORANG;2021
6;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;WAHANA KESEJAHTERAAN SOSIAL BERBASIS MASYARAKAT;4;ORANG;2022
7;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;WAHANA KESEJAHTERAAN SOSIAL BERBASIS MASYARAKAT;6;ORANG;2022
8;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;WAHANA KESEJAHTERAAN SOSIAL BERBASIS MASYARAKAT;6;ORANG;2023
9;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;WAHANA KESEJAHTERAAN SOSIAL BERBASIS MASYARAKAT;242;ORANG;2023
10;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;18;ORANG;2021
11;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;24;ORANG;2021
12;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;10;ORANG;2021
13;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;8;ORANG;2021
14;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2021
15;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;13;ORANG;2021
16;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2021
