NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produksi;satuan;tahun
1;15;JAMBI;1508;BUNGO;CASSIAVERA;12;TON;2022
2;15;JAMBI;1502;MERANGIN;CASSIAVERA;3560;TON;2022
3;15;JAMBI;1503;SAROLANGUN;CASSIAVERA;100;TON;2022
4;15;JAMBI;1501;KERINCI;CASSIAVERA;26439;TON;2022
5;15;JAMBI;1572;SUNGAI PENUH;CASSIAVERA;171;TON;2022
6;15;JAMBI;1508;BUNGO;CASSIAVERA;14;TON;2023
7;15;JAMBI;1502;MERANGIN;CASSIAVERA;3554;TON;2023
8;15;JAMBI;1503;SAROLANGUN;CASSIAVERA;59;TON;2023
9;15;JAMBI;1501;KERINCI;CASSIAVERA;26609;TON;2023
10;15;JAMBI;1572;SUNGAI PENUH;CASSIAVERA;171;TON;2023
