NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1508;CASSIAVERA;632;KG/HA;2022
2;15;JAMBI;1502;CASSIAVERA;1679;KG/HA;2022
3;15;JAMBI;1503;CASSIAVERA;500;KG/HA;2022
4;15;JAMBI;1501;CASSIAVERA;2118;KG/HA;2022
5;15;JAMBI;1572;CASSIAVERA;1096;KG/HA;2022
6;15;JAMBI;1508;CASSIAVERA;737;KG/HA;2023
7;15;JAMBI;1502;CASSIAVERA;1661;KG/HA;2023
8;15;JAMBI;1503;CASSIAVERA;295;KG/HA;2023
9;15;JAMBI;1501;CASSIAVERA;1879;KG/HA;2023
10;15;JAMBI;1572;CASSIAVERA;1096;KG/HA;2023
