id;kode_provinsi;nama_provinsi;opd;nama_lhp;jumlah_temuan;jumlah_rekomendasi
1;15;JAMBI;"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN PENGENDALIAN
PENDUDUK";LKPD PROVINSI JAMBI TA 2022;2;2
2;15;JAMBI;"DINAS TANAMAN
PANGAN, HOLTIKULTURA DAN PERKEBUNAN";LKPD PROVINSI JAMBI TA 2022;3;4
3;15;JAMBI;DINAS LINGKUNGAN HIDUP;LKPD PROVINSI JAMBI TA 2022;2;2
4;15;JAMBI;RSUD RADEN MATTAHER;LKPD PROVINSI JAMBI TA 2022;3;3
5;15;JAMBI;"DINAS SOSIAL KEPENDUDUKAN DAN
CATATAN SIPIL";LKPD PROVINSI JAMBI TA 2022;5;5
6;15;JAMBI;DINAS PUPR;LKPD PROVINSI JAMBI TA 2022;8;14
7;15;JAMBI;DINAS PENDIDIKAN;LKPD PROVINSI JAMBI TA 2022;4;6
8;15;JAMBI;BAPPEDA;LKPD PROVINSI JAMBI TA 2022;2;2
9;15;JAMBI;SETWAN;LKPD PROVINSI JAMBI TA 2022;2;3
10;15;JAMBI;DINAS BUDAYA DAN PARIWISATA;LKPD PROVINSI JAMBI TA 2022;3;3
11;15;JAMBI;DINAS KESEHATAN;LKPD PROVINSI JAMBI TA 2022;2;2
12;15;JAMBI;DINAS KELAUTAN DAN PERIKANAN;LKPD PROVINSI JAMBI TA 2022;2;2
13;15;JAMBI;BADAN PENANGGULANGAN BENCANA DAERAH;LKPD PROVINSI JAMBI TA 2022;4;4
14;15;JAMBI;INSPEKTORAT;LKPD PROVINSI JAMBI TA 2022;4;5
15;15;JAMBI;"BADAN PENGELOLAAN KEUANGAN DAN
PENDAPAN DAERAH";LKPD PROVINSI JAMBI TA 2022;6;9
16;15;JAMBI;"DINAS PENANAMAN MODAL DAN PELAYANAN
TERPADU SATU PINTU";LKPD PROVINSI JAMBI TA 2022;2;3
17;15;JAMBI;DINAS PERHUBUNGAN;LKPD PROVINSI JAMBI TA 2022;2;2
18;15;JAMBI;BIRO EKONOMI;LKPD PROVINSI JAMBI TA 2022;3;3
19;15;JAMBI;BIRO KESEJAHTERAAN RAKYAT;LKPD PROVINSI JAMBI TA 2022;3;3
20;15;JAMBI;RUMAH SAKIT JIWA DAERAH;LKPD PROVINSI JAMBI TA 2022;3;3
21;15;JAMBI;SATPOL PP DAN DAMKAR;LKPD PROVINSI JAMBI TA 2022;1;1
22;15;JAMBI;BIRO HUKUM;LKPD PROVINSI JAMBI TA 2022;2;2
23;15;JAMBI;BADAN PENELITIAN DAN PENGEMBANGAN DAERAH;LKPD PROVINSI JAMBI TA 2022;1;1
24;15;JAMBI;BADAN PENGEMBANGAN SUMBER DAYA MANUSIA;LKPD PROVINSI JAMBI TA 2022;2;2
25;15;JAMBI;BADAN KESATUAN BANGSA DAN POLITIK;LKPD PROVINSI JAMBI TA 2022;2;2
26;15;JAMBI;BADAN PENGHUBUNG DAERAH;LKPD PROVINSI JAMBI TA 2022;1;1
27;15;JAMBI;DINAS KEPEMUDAAN DAN OLAH RAGA;LKPD PROVINSI JAMBI TA 2022;4;5
28;15;JAMBI;BIRO UMUM;LKPD PROVINSI JAMBI TA 2022;3;3
29;15;JAMBI;DINAS ENERGI DAN SUMBER DAYA MINERAL;LKPD PROVINSI JAMBI TA 2022;1;1
30;15;JAMBI;BIRO ADMINISTRASI PIMPINAN;LKPD PROVINSI JAMBI TA 2022;2;2
31;15;JAMBI;DINAS KETAHANAN PANGAN;LKPD PROVINSI JAMBI TA 2022;1;1
32;15;JAMBI;DINAS PERPUSTAKAAN DAN ARSIP DAERAH;LKPD PROVINSI JAMBI TA 2022;1;1
33;15;JAMBI;BIRO ADMINISTRASI PEMBANGUNAN;LKPD PROVINSI JAMBI TA 2022;1;2
34;15;JAMBI;DINAS KEHUTANAN;LKPD PROVINSI JAMBI TA 2022;2;2
35;15;JAMBI;DINAS KOPERASI;LKPD PROVINSI JAMBI TA 2022;1;1
36;15;JAMBI;DINAS TENAGA KERJA DAN TRANSMIGRASI;LKPD PROVINSI JAMBI TA 2022;1;1
37;15;JAMBI;DINAS KOMUNIKASI DAN INFORMATIKA;LKPD PROVINSI JAMBI TA 2022;1;1
38;15;JAMBI;BADAN KEPEGAWAIAN DAERAH;LKPD PROVINSI JAMBI TA 2022;2;2
39;15;JAMBI;DINAS PERHUBUNGAN;LKPD PROVINSI JAMBI TA 2022;2;2
40;15;JAMBI;DINAS PERINDUSTRIAN DAN PERDAGANGAN;LKPD PROVINSI JAMBI TA 2022;1;1
