id;kode_provinsi;nama_provinsi;hari_tanggal;waktu;lokasi;organisasi;tuntutan;pemecahan_masalah;instan_terkait;keterangan
1;15;JAMBI;KAMIS 04 JANUARI 2024;"JAM 08.00
S/D SELESAI";RUMAH   DINAS GUBERNUR JAMBI;JARINGAN      PEMERHATI LINGKUNGAN  DI  KANTOR GUBERNUR   JAMBI  DAN DPRD PROVINSI JAMBI.;-;DEMO TIDAK JADI DATANG;-;TERLAYANI
2;15;JAMBI;SENIN 05 JANUARI 2024;"JAM 09.00
S/D SELESAI";RUMAH   DINAS GUBERNUR JAMBI;JARINGAN   PEMERHATI LINGKUNGAN JAMBI;" PEMBERITAHUAN    ADANYA PERUSAHAAN      PELAKSANAAN PEMBANGUNAN  IPAL    DIOTA
JAMBI,          YANG          TIDAK MEMBERIKAN      GANTI      RUGI TERHADAP  MASYARAKAT  YANG TERDAMPAK     PEMBANGUNAN IPAL DIKOTA JAMBI";PENDEMO TIDAK JADI DATANG;-;TERLAYANI
3;15;JAMBI;SABTU 06 JANUARI 2024;"JAM 09.00
S/D SELESAI";"KANTOR GUBERNUR JAMBI         DAN DPRD
PROVINSI JAMBI";"SOPIR                  BATU
BARA/JARINGAN PEMERHATI LINGKUNGAN.   DENGAN MASSA       BERJUMLAH
+100ORANG";- TOLAK                     RENCANA PEMBANGUNAN    STOCK   FLE OLEH  PT.  SAS  YANG  AKAN DIBANGUN    DI    KELURAHAN ASAM  KENALI  KEC.  TALANAI PURA;-;"DITERIMA OLEH:
JOHANSYAH ASISTEN II KANTOR GUB, ENDANG RUKMANA ANGGOTA DEWAN KOMISI II
DPRD PROVINSI JAMBI";"TERLAYANI
AMAN DAN TERKENDALI"
4;15;JAMBI;SENIN 08 JANUARI 2024;"JAM 07.00
S/D SELESAI";RUMAH   DINAS GUBERNUR JAMBI;LSM  KS  BARA,  DENGAN MASA ±500 ORANG;"BATALKAN    SURAT    KESEPAKATAN PENUTUTPAN BVATU BARA DARAT
- PENUTUPAN    TAMBANG    BATU BARA APABILA DIPERLUKAN YAITU JALUR SUNGAI DANA DARAT DITUTP UNTUK SEMUA ANGUKUTAN";"KARENA   PARA   PENGUNJUK RASAHANYA                  MEM-
BENTANGKAN          SPANDUK YANG                BERBUNYIKAN SERUHAN     TENTANG     MAU BAWAK                      KEMANA
PENGELOLAAN             SUNGAI BATANGHARI KEDEPANNYA.";"DITERIMA OLEH : - AISTEN II (JOHANSYAH)
DIDAMPINGI OLEH
SATPOL PP PROVINSI, DIHUB, KEPOLIAN";"TERLAYANI
AMAN DAN TERKENDALI"
5;15;JAMBI;SENIN 08 JANUARI 2024;"JAM 09.00
S/D SELESAI";"DPRD
PROVINSI JAMBI";LSM   LPPA   DENGAN MASA ±06 ORANG;-;KESEPAKATAN/KEPUTUSAN YANG                       DIPROLEH: MEMBATALAKAN DEMONSTRASI;"DITERIMA OLEH : -
SATUAN KEAMANAN DPRD PROVINSI JAMBI, YAITU BAPAK
IWANSURAHMAN SH, FIRDAUS SE";"TERLAYANI
AMAN DAN TERKENDALI"
6;15;JAMBI;SELASA 09 ANUARI 2024;"JAM 09.00
S/D SELESAI";RUMAH   DINAS GUBERNUR JAMBI;LSM KS BARA,;-;"IMFORMASI              TERBARU KEGIATAN   DIRUMAH  DINAS SEBAGAI   PAM   ANTISIPASI DIKARNAKAN  PEMBATALKAN PERMINTAAN           BANTUAN
PERSESONIL                     OLEH KEPOLISIAN  SUBU  TADI,  DI IMFORMASIKAN OLEH KABID TIBUM    MASSA    JAM    10 TADI                            MALAM
MEMBUBARKAN DIRI";-;TERLAYANI
7;15;JAMBI;SENIN 22 JANUARI 2024;"JAM 09.00
S/D SELESAI";KANTOR GUBERNUR JAMBI;KOMUNITAS    SUPIR    BATU BARA;MEMINTAK              KEJELASAN MENGENAI  PENUTTUPAN  JALUR BATU    BARA    DAN    APABILA DIPERLUKAN TUTUP SEKALIAN IZIN JALUR BATU BARA TERSEBUT YAITU JALUR AIR DAN JALUR BARAT;-;"DITERIMA OLEH : - GUBERNUR          HARIS, KANIT    INTEL    POLDA JAMBI,                KADIS
PERTAHANAN          DAN KADIS  PERHUBUNGAN DAN                   SISTEM
GUBERNUR";TERLAYANI
8;15;JAMBI;SELASA 23 JANUARI 2024;"JAM 07.00
S/D SELESAI";KANTOR GUBERNUR JAMBI;KOMUNITAS    SUPIR    BATU BARA  (  KS  BARA),  DENGAN MASA ±300 ORANG;SAMA DENGAN TANGGAL 22 YAITU MEMINTAK DIBUKA KEMBALI JALUR ARUS  TRANSPORTASI  BATU  BARA  DI DARAT DAN DI AIR, DAN BILA PERLU DITUTUP SEKALIAN JALUR ARUS BATU BARADI AIR DAN DIDARAT TERSEBUT.;-;"DITERIMA OLEH : -
DEMONSTRASI      YANG BERTAHAN          DAN
MENGINAP           DI KANTOR   GUBERNUR JAMBI        DIAWASI OLEH      KEPOLISIAN TNI DAN SATPOL PP PROV              JAMBI
SECARA BERGANTIAN";TERLAYANI
9;15;JAMBI;RABU 24 JANUARI 2024;"JAM 07.00
S/D SELESAI";"DPRD
PROVINSI JAMBI";KOMUNITAS    SUPIR    BATU BARA  (   KS  BARA)DENGAN MASA ±1000 ORANG;TUTUP   EKSPLOITASI   TAMBANG BATU  BARA  DI  PROVINSI  JAMBI KARNA BELUM SIAP;-;"DITERIMA OLEH : -
ASISTEN        GUBERNUR JAMBI,  KEPOLISIAN,
POL       PP       PROV JAMBI,  TNI";TERLAYANI
10;15;JAMBI;KAMIS 25 JANUARI 2024;"JAM 10.00
S/D SELESAI";RUMAH   DINAS GUBERNUR JAMBI;LSM                 SOLIDARITAS MASYARAKAT  ANTI  MALING (SISKAMLING)DENGAN MASA ± 6 ORANG;"-MASYARAKAT AKTOR INTELEKTUAL YANG MEYEBABKAN KERUSAKAN DIKANTOR GUBERNUR JAMBI PADA AKSI MASSA KS. BATU
BARA";TIDAK ADA KESEPAKATAN;"DITERIMA OLEH : -
KEPOLISIAN, POL PP PROV JAMBI,";TERLAYANI
11;15;JAMBI;RABU 28 FEBRUARI 2024;"JAM 09.00
S/D SELESAI";KANTOR GUBERNUR JAMBI;"LSM                    GEMA
MASYARAKAT";MENYIKAPI ADANYA DUGAAN KASUS PENGATURAN PELAKSAAN ULANG TENDER 4 PAKET PEKERJAAN JALAN TAHUN 2023;DEMO TIDAK JADI DATANG;-;TERLAYANI
12;15;JAMBI;SELASA 05 MARET 2024;"JAM 10.00
S/D SELESAI";"KANTOR GUBERNUR JAMBI         DAN DPRD
PROVINSI JAMBI";LSM BARKOMPI;"PENEGAKKAN HUKUM TERHADAP PENYIMPANGAN OLEH SEKWAN DPRD PROVINSI JAMBI YAITU: MENYIKAPI ADANYA DUGAAN PENYIMPANGAN DANA SWAKELOLA OLEH SEKWAN DPRD PROVINSI
JAMBI";DEMONTRASI TIDAK TERLIHAT;-;TERLAYANI
13;15;JAMBI;KAMIS 07 MARET 2024;"JAM 10.00
S/D SELESAI";KANTOR GUBERNUR JAMBI;SOLIDARITAS MASYARAKAT           ANTI MALING       SISKAMLING. DENGAN    MASA    ±    8 ORANG;"MENDESAK KEJATI JAMBI UNTUK SEGERA PANGGIL DAN PERIKSA KEPALA BIRO KESRA PROVINSI JAMBI, BAGIAN KESRA PROVINSI JAMBI, PEMENANG LELANG YAKNI PT.LION MENTARI AIRNES,
KAMENAG PROVINSI JAMBI";-;DITERIMA OLEH : - KEPOLISIAN RI, POL PP PROV JAMBI,;"TERLAYANI
AMAN DAN TERKENDALI"
14;15;JAMBI;RABU 27 MARET 2024;"JAM 13.00
S/D SELESAI";KANTOR GUBERNUR JAMBI;"ALIANSI       MAHASISWA
JAMBI        MEMANGGIL. DENGAN  MASA  ±  250 ORANG";"SEHUBUNGAN DENGA EVALUASI KERJA GUBERNUR JAMBI BAPAK ALHARIS DAN JAJARANNYA DENGAN KETIDAK TUNTASAN DAN KETIDAK JELASAN MENGAI RTH, SPORT CENTER, ISLAMC CENTERE DAN
BATU BARA";TIDAK ADA KEPUTUSAN;DITERIMA OLEH : - ARIF MUNANDAR (ASISTEN GUBERNUR JAMBI);TERLAYANI
15;15;JAMBI;KAMIS 04 APRIL 2024;"JAM 09.00
S/D SELESAI";KANTOR GUBERNUR JAMBI,    DPRD PROVINSI JAMBI DAN       RUMAH DINAS GUBERNUR JAMBI;"ALIANSI         MSYARAKAT PEMERHATI  PENDIDIKAN DI    KANTOR    GUBERNUR JAMBI   DENGAN   MASA
±100 ORANG";"-     COPOT    KADIS    PENDIDIKAN PROV        JAMBI        DIDUGA MELINDUNGI  OKNUM  KEPSEK SMA    4    MERANGIN    ATAS PERBUATAN ASUSILA
-     PANGGIL       DAN       PERIKSA KEPSEK SMA 4 DISDIK PROV JAMBI
-     COPOT OKNUM KEPSEK SMA 4 MERANGIN
-     MEMINTA   GUBERNUR   JAMBI SERIUS    DALAM    MENYIKAPI MASALAH INI
-     MEMINTA DPRD PROV JAMBI MENJALANKAN              FUNGSI PENGAWASAN";-;-;TERLAYANI
