id;kode_provinsi;nama_provinsi;bulan;pengawasan;non_yustisi;kordinasi;sosialisasi;pembinaan;pelanggar;temuan_hasil;sanksi;;
1;15;JAMBI;JANUARI;13 KALI;4 KALI;1 KALI;-;1 KALI;6 ORANG;PEDAGANG     YANG     MEMBUKA     LAPAK DIKAWASAN RSUD RADEN MATTAHER;TEGURAN LISAN DAN DI DATA;;
2;15;JAMBI;FEBRUARI;5 KALI;3 KALI;9 KALI;-;1 KALI;3 ORANG.;PEDAGANG     YANG     MEMBUKA     LAPAK DIDEPAN SEKRETARIAT PKK PROVINSI JAMBI DAN    DIATAS   JEMBATAN    BATANGHARI    2 JAMBI;TEGURAN LISAN DAN DI DATA;;
3;15;JAMBI;MARET;2 KALI;8 KALI;2 KALI;-;1 KALI;14 ORANG;PEDAGANG   DI   KAWASAN   RTH   TAMAN PINANG     MASAK,     JEMBATAN     GENTALA ARASY, TUGU JUANG, ARENA EX STQ DAN SEKRETARIAT PKK PROVINSI JAMBI.;TEGURAN LISAN DAN DI DATA;;
4;15;JAMBI;APRIL;3 KALI;2 KALI;3 KALI;1 KALI;1 KALI;14 ORANG;"PEDAGANG   DI   KAWASAN   RTH   TAMAN PINANG     MASAK,     JEMBATAN     GENTALA ARASY,  TAMAN  TUGU  JUANG,    ARENA  EX
STQ    DAN    SEKRETARIAT   PKK    PROVINSI JAMBI.";TEGURAN LISAN DAN DI DATA;;
5;15;JAMBI;MEI;6 KALI;3 KALI;3 KALI;2 KALI;1 KALI;19 ORANG;PEDAGANG DI DEPAN SEKRETARIAT PKK DAN JEMBATAN GENTALA ARASY.;TEGURAN LISAN DAN DI DATA;;
6;15;JAMBI;JUNI;2 KALI;1 KALI;1 KALI;1 KALI;-;-;-;-;;
7;15;JAMBI;JULI;1 KALI;1 KALI;2 KALI;-;1 KALI;-;-;-;;
8;15;JAMBI;AGUSTUS;1 KALI;1 KALI;3 KALI;1 KALI;1 KALI;1 ORANG;PEDAGANG DI KAWASAN JLN. JEND. AHMAD YANI TELANAIPURA.;TEGURAN LISAN DAN DI DATA;;
9;15;JAMBI;SEPTEMBER;4 KALI;2 KALI;2 KALI;1 KALI;1 KALI;-;-;-;;
10;15;JAMBI;OKTOBER;2 KALI;2 KALI;2 KALI;1 KALI;1 KALI;4 ORANG;PEDAGANG DI KAWASAN JL. JEND. AHMAD YANI DAN INSPEKTORAT PROVINSI JAMBI;TEGURAN LISAN DAN DI DATA;;
11;15;JAMBI;NOVEMBER;1 KALI;2 KAII;2 KAII;1 KALI;1 KAII;3 ORANG;PEDAGANG DI KAWASAN JL. JEND. YANI, DEPAN INSPEKTORAT DAN RTH TAMAN PINANG MASAK.;TEGURAN LISAN DAN DI DATA;;
12;15;JAMBI;DESEMBER;2 KALI;1 KALI;1 KALI;1 KALI;1 KALI;7 ORANG;PEDAGANG DI KAWASAN JL. JEND. AHMAD YANI DAN ISPEKTORAT PROVINSI.;TEGURAN LISAN DAN DI DATA;;
13;15;JAMBI;JUMLAH;42 KALI;30 KALI;31 KALI;9 KALI;12 KALI;71 ORANG;DILAKUKAN PENINDAKAN DENGAN CARA DILAKUKAN TEGURAN DAN DI DATA AGAR TIDAK MENGULANGI.;DILAKUKAN PENINDAKAN DENGAN CARA DILAKUKAN TEGURAN DAN DI DATA AGAR TIDAK MENGULANGI.;;
