id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;satuan;tahun_ajaran;status;bidang_pendidikan;jumlah
1;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;TK;0
2;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;KB;0
3;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;TPA;0
4;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;SPS;0
5;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;PKBM;10
6;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;SKB;3
7;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;SD;30
8;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;SMP;10
9;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;SMA;0
10;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;SMK;0
11;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;L;SLB;0
12;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;TK;18
13;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;KB;24
14;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;TPA;0
15;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;SPS;4
16;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;PKBM;14
17;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;SKB;7
18;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;SD;72
19;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;SMP;35
20;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;SMA;0
21;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;SMK;0
22;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GENAP;P;SLB;0
23;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;TK;0
24;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;KB;0
25;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;TPA;0
26;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;SPS;0
27;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;PKBM;12
28;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;SKB;3
29;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;SD;28
30;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;SMP;10
31;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;SMA;0
32;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;SMK;0
33;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;L;SLB;0
34;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;TK;18
35;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;KB;23
36;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;TPA;0
37;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;SPS;4
38;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;PKBM;17
39;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;SKB;7
40;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;SD;72
41;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;SMP;34
42;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;SMA;0
43;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;SMK;0
44;15;JAMBI;1501;150105;GURU;JIWA;2022/2023 GANJIL;P;SLB;0
45;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;TK;0
46;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;KB;0
47;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;TPA;0
48;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;SPS;0
49;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;PKBM;0
50;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;SKB;0
51;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;SD;25
52;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;SMP;37
53;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;SMA;34
54;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;SMK;6
55;15;JAMBI;1501;150121;GURU;JIWA;2022/2023 GENAP;L;SLB;0
