id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;satuan;tahun_ajaran;status;bidang_pendidikan;jumlah
1;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;TK;0
2;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;KB;0
3;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;TPA;0
4;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;SPS;0
5;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;PKBM;10
6;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;SKB;3
7;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;SD;26
8;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;SMP;11
9;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;SMA;0
10;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;SMK;0
11;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;L;SLB;0
12;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;TK;20
13;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;KB;24
14;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;TPA;0
15;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;SPS;4
16;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;PKBM;14
17;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;SKB;6
18;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;SD;86
19;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;SMP;33
20;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;SMA;0
21;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;SMK;0
22;15;JAMBI;1501;150105;GURU;JIWA;2023/2024 GANJIL;P;SLB;0
23;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;TK;0
24;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;KB;0
25;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;TPA;0
26;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;SPS;0
27;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;PKBM;0
28;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;SKB;0
29;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;SD;28
30;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;SMP;34
31;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;SMA;30
32;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;SMK;5
33;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;L;SLB;0
34;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;TK;9
35;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;KB;26
36;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;TPA;0
37;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;SPS;6
38;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;PKBM;0
39;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;SKB;0
40;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;SD;84
41;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;SMP;72
42;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;SMA;39
43;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;SMK;6
44;15;JAMBI;1501;150121;GURU;JIWA;2023/2024 GANJIL;P;SLB;0
45;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;TK;0
46;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;KB;0
47;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;TPA;0
48;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;SPS;0
49;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;PKBM;2
50;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;SKB;0
51;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;SD;62
52;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;SMP;43
53;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;SMA;14
54;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;SMK;0
55;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;L;SLB;3
56;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;TK;21
57;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;KB;27
58;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;TPA;0
59;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;SPS;9
60;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;PKBM;2
61;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;SKB;0
62;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;SD;131
63;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;SMP;63
64;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;SMA;27
65;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;SMK;0
66;15;JAMBI;1501;150111;GURU;JIWA;2023/2024 GANJIL;P;SLB;12
67;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;TK;0
68;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;KB;0
69;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;TPA;0
70;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;SPS;0
71;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;PKBM;4
72;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;SKB;0
73;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;SD;56
74;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;SMP;19
75;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;SMA;12
76;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;SMK;23
77;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;L;SLB;0
78;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;TK;19
79;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;KB;30
80;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;TPA;0
81;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;SPS;0
82;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;PKBM;3
83;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;SKB;0
84;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;SD;116
85;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;SMP;38
86;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;SMA;10
87;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;SMK;28
88;15;JAMBI;1503;150307;GURU;JIWA;2023/2024 GANJIL;P;SLB;0
