id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;satuan;tahun_ajaran;status;bidang_pendidikan;jumlah
1;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;TK;120
2;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;KB;216
3;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;TPA;0
4;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SPS;30
5;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;PKBM;101
6;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SKB;9
7;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SD;400
8;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SMP;36
9;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SMA;0
10;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SMK;0
11;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SLB;0
12;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;TK;84
13;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;KB;177
14;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;TPA;0
15;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SPS;34
16;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;PKBM;52
17;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SKB;2
18;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SD;398
19;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SMP;22
20;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SMA;0
21;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SMK;0
22;15;JAMBI;1501;150105;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SLB;0
23;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;TK;48
24;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;KB;274
25;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;TPA;0
26;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SPS;32
27;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;PKBM;0
28;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SKB;0
29;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SD;466
30;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SMP;520
31;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SMA;371
32;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SMK;49
33;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;L;SLB;0
34;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;TK;46
35;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;KB;224
36;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;TPA;0
37;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SPS;50
38;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;PKBM;0
39;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SKB;0
40;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SD;417
41;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SMP;480
42;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SMA;439
43;15;JAMBI;1501;150121;PESERTA DIDIK;JIWA;2023/2024 GANJIL;P;SMK;7
