id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;indeks_kualitas_udara;indeks_kualitas_air;indeks_kualitas_lahan;iklh;satuan;tahun
1;15;JAMBI;1501;76,34;0;74,46;47,23;POIN;2021
2;15;JAMBI;1502;92,38;0;55,62;49,59;POIN;2021
3;15;JAMBI;1503;90,3;45;53,98;65,31;POIN;2021
4;15;JAMBI;1504;80,43;60;47,6;65,56;POIN;2021
5;15;JAMBI;1505;77,97;52,67;47,22;61,72;POIN;2021
6;15;JAMBI;1506;85,17;46,67;50,07;63;POIN;2021
7;15;JAMBI;1507;94,37;0;54,61;50,18;POIN;2021
8;15;JAMBI;1508;92,03;67,78;47,83;73,23;POIN;2021
9;15;JAMBI;1509;89,22;60;42,04;67,9;POIN;2021
10;15;JAMBI;1571;87,54;44,31;24,52;57,48;POIN;2021
11;15;JAMBI;1572;92,17;51,35;82,36;74,67;POIN;2021
12;15;JAMBI;1501;92,55;60;74,46;76,35;POIN;2022
13;15;JAMBI;1502;93,5;53,33;55,62;70,1;POIN;2022
14;15;JAMBI;1503;91,25;53,33;53,97;68,83;POIN;2022
15;15;JAMBI;1504;82,92;60;47,6;66,57;POIN;2022
16;15;JAMBI;1505;81,7;52,22;48,7;63,39;POIN;2022
17;15;JAMBI;1506;87,56;51,78;51,23;66,15;POIN;2022
18;15;JAMBI;1507;94,46;50;57,32;69,61;POIN;2022
19;15;JAMBI;1508;93,42;70;47,83;74,63;POIN;2022
20;15;JAMBI;1509;90,48;61,76;42,09;69,09;POIN;2022
21;15;JAMBI;1571;88,09;42,5;24,41;54,18;POIN;2022
22;15;JAMBI;1572;92,41;45,2;82,41;72,47;POIN;2022
23;15;JAMBI;1501;90,02;43,33;74,54;69,08;POIN;2023
24;15;JAMBI;1502;93,26;0;55,67;49,96;POIN;2023
25;15;JAMBI;1503;91,89;58,33;51,91;70,52;POIN;2023
26;15;JAMBI;1504;83,64;54,44;47,29;64,7;POIN;2023
27;15;JAMBI;1505;86,55;53,33;40,75;64,03;POIN;2023
28;15;JAMBI;1506;90,67;53,33;55,45;68,92;POIN;2023
29;15;JAMBI;1507;94,47;60;54,18;72,69;POIN;2023
30;15;JAMBI;1508;92,72;55;42,86;67,62;POIN;2023
31;15;JAMBI;1509;90,91;60;42,43;68,67;POIN;2023
32;15;JAMBI;1571;88,52;29,81;23,09;52,12;POIN;2023
