id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;satuan;tahun_ajaran;status;bidang_pendidikan;jumlah
1;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TK;1
2;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;KB;0
3;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TPA;0
4;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SPS;0
5;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;PKBM;0
6;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SKB;0
7;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SD;28
8;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMP;7
9;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMA;1
10;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMK;1
11;15;JAMBI;1504;150407;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SLB;0
12;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TK;4
13;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;KB;0
14;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TPA;0
15;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SPS;0
16;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;PKBM;0
17;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SKB;0
18;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SD;31
19;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMP;8
20;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMA;2
21;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMK;1
22;15;JAMBI;1504;150404;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SLB;0
23;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TK;1
24;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;KB;0
25;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TPA;0
26;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SPS;0
27;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;PKBM;0
28;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SKB;0
29;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SD;10
30;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMP;5
31;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMA;1
32;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMK;1
33;15;JAMBI;1504;150408;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SLB;0
34;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TK;1
35;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;KB;0
36;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TPA;0
37;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SPS;0
38;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;PKBM;0
39;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SKB;0
40;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SD;24
41;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMP;6
42;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMA;1
43;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMK;1
44;15;JAMBI;1504;150406;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SLB;0
45;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TK;1
46;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;KB;0
47;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TPA;0
48;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SPS;0
49;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;PKBM;0
50;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SKB;0
51;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SD;23
52;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMP;3
53;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMA;1
54;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SMK;1
55;15;JAMBI;1504;150401;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SLB;0
56;15;JAMBI;1504;150403;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TK;3
57;15;JAMBI;1504;150403;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;KB;0
58;15;JAMBI;1504;150403;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;TPA;0
59;15;JAMBI;1504;150403;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SPS;0
60;15;JAMBI;1504;150403;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;PKBM;0
61;15;JAMBI;1504;150403;DATA SEKOLAH;UNIT;2023/2024 GENAP;NEGERI;SKB;1
