id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_ruas_jalan;kondisi;panjang_jalan;satuan;tahun
1;15;JAMBI;1506;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;BAIK;30,16;KILOMETER;2022
2;15;JAMBI;1506;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;BAIK;0;KILOMETER;2022
3;15;JAMBI;1507;SUAK KANDIS 0 DESA SIMPANG/BERBAK;BAIK;0;KILOMETER;2022
4;15;JAMBI;1507;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;BAIK;15,2;KILOMETER;2022
5;15;JAMBI;1507;SP. LAGAN - SP. PELABI/ ZONA V;BAIK;14,4;KILOMETER;2022
6;15;JAMBI;1505;SIMPANG TALANG PUDAK - SUAK KANDIS;BAIK;17;KILOMETER;2022
7;15;JAMBI;1505;SUNGAI DUREN - SUNGAI BULUH;BAIK;23,2;KILOMETER;2022
8;15;JAMBI;1505;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;BAIK;1,6;KILOMETER;2022
9;15;JAMBI;1505;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;BAIK;8,8;KILOMETER;2022
10;15;JAMBI;1509;MUARA TEBO - SIMP. LOGPON;BAIK;32,708;KILOMETER;2022
11;15;JAMBI;1509;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;BAIK;34,4;KILOMETER;2022
12;15;JAMBI;1509;SIMP. SAWMIL - SIMP. LOGPON ;BAIK;24,476;KILOMETER;2022
13;15;JAMBI;1508;MA. BUNGO - PENINJAUAN - JUNCTION;BAIK;27,129;KILOMETER;2022
14;15;JAMBI;1508;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );BAIK;18,175;KILOMETER;2022
15;15;JAMBI;1508;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);BAIK;10,2;KILOMETER;2022
16;15;JAMBI;1504;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;BAIK;8,2;KILOMETER;2022
17;15;JAMBI;1504;JL. SUDIRMAN (MA.BULIAN);BAIK;5;KILOMETER;2022
18;15;JAMBI;1504;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;BAIK;16,4;KILOMETER;2022
19;15;JAMBI;1501;SANGGARAN AGUNG - JUJUN;BAIK;6,555;KILOMETER;2022
20;15;JAMBI;1501;JUJUN - LEMPUR;BAIK;13,422;KILOMETER;2022
21;15;JAMBI;1501;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;BAIK;14,345;KILOMETER;2022
22;15;JAMBI;1572;JALAN DEPATI PARBO (SUNGAI PENUH);BAIK;4,85;KILOMETER;2022
23;15;JAMBI;1572;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;BAIK;3,7;KILOMETER;2022
24;15;JAMBI;1502;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;BAIK;42,21;KILOMETER;2022
25;15;JAMBI;1502;SIMP. PULAU. RENGAS -  MUARA SIAU;BAIK;22,793;KILOMETER;2022
26;15;JAMBI;1502;MUARA SIAU - DUSUN TUO ;BAIK;19,4;KILOMETER;2022
27;15;JAMBI;1502;DUSUN TUO - JANGKAT ;BAIK;61,057;KILOMETER;2022
28;15;JAMBI;1503;SIMP. PELAWAN - SEI. SALAK ;BAIK;20;KILOMETER;2022
29;15;JAMBI;1503;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;BAIK;2;KILOMETER;2022
30;15;JAMBI;1503;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;BAIK;1,6;KILOMETER;2022
31;15;JAMBI;1503;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;BAIK;7,2;KILOMETER;2022
32;15;JAMBI;1571;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;BAIK;0;KILOMETER;2022
33;15;JAMBI;1571;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;BAIK;0,8;KILOMETER;2022
34;15;JAMBI;1571;JLN. DR. SUTOMO;BAIK;0;KILOMETER;2022
35;15;JAMBI;1571;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;BAIK;1,716;KILOMETER;2022
36;15;JAMBI;1571;JLN. GAJAH MADA - JLN. HAYAM WURUK;BAIK;1;KILOMETER;2022
37;15;JAMBI;1571;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;BAIK;2,4;KILOMETER;2022
38;15;JAMBI;1571;JLN. HOS COKRO AMINOTO;BAIK;1,6;KILOMETER;2022
39;15;JAMBI;1571;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;BAIK;3,017;KILOMETER;2022
40;15;JAMBI;1571;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;BAIK;1,4;KILOMETER;2022
41;15;JAMBI;1571;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;BAIK;0,4;KILOMETER;2022
42;15;JAMBI;1571;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;BAIK;1,6;KILOMETER;2022
43;15;JAMBI;1571;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;BAIK;3,206;KILOMETER;2022
44;15;JAMBI;1571;JLN.ABDUL RAHMAN SALEH;BAIK;2,101;KILOMETER;2022
45;15;JAMBI;1571;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;BAIK;4,5;KILOMETER;2022
46;15;JAMBI;1571;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;BAIK;1,8;KILOMETER;2022
47;15;JAMBI;1571;JL. R. SIAGIAN;BAIK;2,818;KILOMETER;2022
48;15;JAMBI;1571;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;BAIK;2;KILOMETER;2022
49;15;JAMBI;1506;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;SEDANG;0,52;KILOMETER;2022
50;15;JAMBI;1506;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;SEDANG;4,4;KILOMETER;2022
51;15;JAMBI;1507;SUAK KANDIS 0 DESA SIMPANG/BERBAK;SEDANG;9,2;KILOMETER;2022
52;15;JAMBI;1507;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;SEDANG;8,641;KILOMETER;2022
53;15;JAMBI;1507;SP. LAGAN - SP. PELABI/ ZONA V;SEDANG;6,6;KILOMETER;2022
54;15;JAMBI;1505;SIMPANG TALANG PUDAK - SUAK KANDIS;SEDANG;4,6;KILOMETER;2022
55;15;JAMBI;1505;SUNGAI DUREN - SUNGAI BULUH;SEDANG;7,3;KILOMETER;2022
56;15;JAMBI;1505;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;SEDANG;6,2;KILOMETER;2022
57;15;JAMBI;1505;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;SEDANG;1,9;KILOMETER;2022
58;15;JAMBI;1509;MUARA TEBO - SIMP. LOGPON;SEDANG;6,2;KILOMETER;2022
59;15;JAMBI;1509;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;SEDANG;10,2;KILOMETER;2022
60;15;JAMBI;1509;SIMP. SAWMIL - SIMP. LOGPON ;SEDANG;3,6;KILOMETER;2022
61;15;JAMBI;1508;MA. BUNGO - PENINJAUAN - JUNCTION;SEDANG;14;KILOMETER;2022
62;15;JAMBI;1508;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );SEDANG;21,709;KILOMETER;2022
63;15;JAMBI;1508;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);SEDANG;10,95;KILOMETER;2022
64;15;JAMBI;1504;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;SEDANG;8,122;KILOMETER;2022
65;15;JAMBI;1504;JL. SUDIRMAN (MA.BULIAN);SEDANG;1;KILOMETER;2022
66;15;JAMBI;1504;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;SEDANG;5,8;KILOMETER;2022
67;15;JAMBI;1501;SANGGARAN AGUNG - JUJUN;SEDANG;2,2;KILOMETER;2022
68;15;JAMBI;1501;JUJUN - LEMPUR;SEDANG;0,4;KILOMETER;2022
69;15;JAMBI;1501;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;SEDANG;0,2;KILOMETER;2022
70;15;JAMBI;1572;JALAN DEPATI PARBO (SUNGAI PENUH);SEDANG;0;KILOMETER;2022
71;15;JAMBI;1572;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;SEDANG;0,6;KILOMETER;2022
72;15;JAMBI;1502;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;SEDANG;9,396;KILOMETER;2022
73;15;JAMBI;1502;SIMP. PULAU. RENGAS -  MUARA SIAU;SEDANG;8,2;KILOMETER;2022
74;15;JAMBI;1502;MUARA SIAU - DUSUN TUO ;SEDANG;9,982;KILOMETER;2022
75;15;JAMBI;1502;DUSUN TUO - JANGKAT ;SEDANG;11,968;KILOMETER;2022
76;15;JAMBI;1503;SIMP. PELAWAN - SEI. SALAK ;SEDANG;12,6;KILOMETER;2022
77;15;JAMBI;1503;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;SEDANG;15,6;KILOMETER;2022
78;15;JAMBI;1503;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;SEDANG;30,7;KILOMETER;2022
79;15;JAMBI;1503;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;SEDANG;5,2;KILOMETER;2022
80;15;JAMBI;1571;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;SEDANG;1,038;KILOMETER;2022
81;15;JAMBI;1571;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;SEDANG;2,342;KILOMETER;2022
82;15;JAMBI;1571;JLN. DR. SUTOMO;SEDANG;0,367;KILOMETER;2022
83;15;JAMBI;1571;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;SEDANG;0,8;KILOMETER;2022
84;15;JAMBI;1571;JLN. GAJAH MADA - JLN. HAYAM WURUK;SEDANG;2,123;KILOMETER;2022
85;15;JAMBI;1571;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;SEDANG;0,2;KILOMETER;2022
86;15;JAMBI;1571;JLN. HOS COKRO AMINOTO;SEDANG;0,048;KILOMETER;2022
87;15;JAMBI;1571;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;SEDANG;0,2;KILOMETER;2022
88;15;JAMBI;1571;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;SEDANG;2,25;KILOMETER;2022
89;15;JAMBI;1571;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;SEDANG;1,38;KILOMETER;2022
90;15;JAMBI;1571;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;SEDANG;1,821;KILOMETER;2022
