no ;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_desa;mandiri;maju;berkembang;tertinggal;sangat_tertinggal
1;15;JAMBI;1501;KERINCI;285;33;120;128;4;0
2;15;JAMBI;1502;MERANGIN;205;66;95;42;2;0
3;15;JAMBI;1503;SAROLANGUN;149;26;38;72;13;0
4;15;JAMBI;1504;BATANGHARI;110;91;17;2;0;0
5;15;JAMBI;1505;MUARO JAMBI;150;49;52;49;0;0
6;15;JAMBI;1506;TANJUNG JABUNG BARAT;114;14;28;72;0;0
7;15;JAMBI;1507;TANJUNG JABUNG TIMUR;73;6;21;37;9;0
8;15;JAMBI;1508;BUNGO;141;22;50;68;1;0
9;15;JAMBI;1509;TEBO;122;20;54;48;0;0
10;15;JAMBI;1572;SUNGAI PENUH;65;64;1;0;0;0
