id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
1;15;JAMBI;1505;150504;06/05/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
2;15;JAMBI;1505;150504;06/05/2024;HILANG;JIWA;0; Rp-   ;2024
3;15;JAMBI;1505;150504;06/05/2024;LUKA;JIWA;0; Rp-   ;2024
4;15;JAMBI;1505;150504;06/05/2024;MENDERITA;JIWA;0; Rp-   ;2024
5;15;JAMBI;1505;150504;06/05/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
6;15;JAMBI;1505;150504;06/05/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
7;15;JAMBI;1505;150504;06/05/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
8;15;JAMBI;1505;150504;06/05/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
9;15;JAMBI;1505;150504;06/05/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
10;15;JAMBI;1505;150504;06/05/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
11;15;JAMBI;1505;150504;06/05/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
12;15;JAMBI;1505;150504;06/05/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
13;15;JAMBI;1505;150504;06/05/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
14;15;JAMBI;1505;150504;06/05/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
15;15;JAMBI;1505;150504;06/05/2024;JEMBATAN;UNIT;0; Rp-   ;2024
16;15;JAMBI;1505;150504;06/05/2024;JALAN;KM;0; Rp-   ;2024
17;15;JAMBI;1505;150504;06/05/2024;SAWAH;HA;0; Rp-   ;2024
18;15;JAMBI;1505;150504;06/05/2024;KEBUN/HUTAN;HA;0; Rp-   ;2024
19;15;JAMBI;1505;150504;06/05/2024;KOLAM;HA;0; Rp-   ;2024
20;15;JAMBI;1505;150504;06/05/2024;IRIGASI;HA;0; Rp-   ;2024
21;15;JAMBI;1505;150503;31/05/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
22;15;JAMBI;1505;150503;31/05/2024;HILANG;JIWA;0; Rp-   ;2024
23;15;JAMBI;1505;150503;31/05/2024;LUKA;JIWA;0; Rp-   ;2024
24;15;JAMBI;1505;150503;31/05/2024;MENDERITA;JIWA;0; Rp-   ;2024
25;15;JAMBI;1505;150503;31/05/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
26;15;JAMBI;1505;150503;31/05/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
27;15;JAMBI;1505;150503;31/05/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
28;15;JAMBI;1505;150503;31/05/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
29;15;JAMBI;1505;150503;31/05/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
30;15;JAMBI;1505;150503;31/05/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
31;15;JAMBI;1505;150503;31/05/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
32;15;JAMBI;1505;150503;31/05/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
33;15;JAMBI;1505;150503;31/05/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
34;15;JAMBI;1505;150503;31/05/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
35;15;JAMBI;1505;150503;31/05/2024;JEMBATAN;UNIT;0; Rp-   ;2024
36;15;JAMBI;1505;150503;31/05/2024;JALAN;KM;0; Rp-   ;2024
37;15;JAMBI;1505;150503;31/05/2024;SAWAH;HA;0; Rp-   ;2024
38;15;JAMBI;1505;150503;31/05/2024;KEBUN/HUTAN;HA;10; Rp-   ;2024
39;15;JAMBI;1505;150503;31/05/2024;KOLAM;HA;0; Rp-   ;2024
40;15;JAMBI;1505;150503;31/05/2024;IRIGASI;HA;0; Rp-   ;2024
41;15;JAMBI;1506;150604;15/05/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
42;15;JAMBI;1506;150604;15/05/2024;HILANG;JIWA;0; Rp-   ;2024
43;15;JAMBI;1506;150604;15/05/2024;LUKA;JIWA;0; Rp-   ;2024
44;15;JAMBI;1506;150604;15/05/2024;MENDERITA;JIWA;0; Rp-   ;2024
45;15;JAMBI;1506;150604;15/05/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
46;15;JAMBI;1506;150604;15/05/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
47;15;JAMBI;1506;150604;15/05/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
48;15;JAMBI;1506;150604;15/05/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
49;15;JAMBI;1506;150604;15/05/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
50;15;JAMBI;1506;150604;15/05/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
51;15;JAMBI;1506;150604;15/05/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
52;15;JAMBI;1506;150604;15/05/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
53;15;JAMBI;1506;150604;15/05/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
54;15;JAMBI;1506;150604;15/05/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
55;15;JAMBI;1506;150604;15/05/2024;JEMBATAN;UNIT;0; Rp-   ;2024
56;15;JAMBI;1506;150604;15/05/2024;JALAN;KM;0; Rp-   ;2024
57;15;JAMBI;1506;150604;15/05/2024;SAWAH;HA;0; Rp-   ;2024
58;15;JAMBI;1506;150604;15/05/2024;KEBUN/HUTAN;HA;15; Rp-   ;2024
59;15;JAMBI;1506;150604;15/05/2024;KOLAM;HA;0; Rp-   ;2024
60;15;JAMBI;1506;150604;15/05/2024;IRIGASI;HA;0; Rp-   ;2024
61;15;JAMBI;1507;150708;05/06/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
62;15;JAMBI;1507;150708;05/06/2024;HILANG ;JIWA;0; Rp-   ;2024
63;15;JAMBI;1507;150708;05/06/2024;LUKA;JIWA;0; Rp-   ;2024
64;15;JAMBI;1507;150708;05/06/2024;MENDERITA;JIWA;0; Rp-   ;2024
65;15;JAMBI;1507;150708;05/06/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
66;15;JAMBI;1507;150708;05/06/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
67;15;JAMBI;1507;150708;05/06/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
68;15;JAMBI;1507;150708;05/06/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
69;15;JAMBI;1507;150708;05/06/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
70;15;JAMBI;1507;150708;05/06/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
71;15;JAMBI;1507;150708;05/06/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
72;15;JAMBI;1507;150708;05/06/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
73;15;JAMBI;1507;150708;05/06/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
74;15;JAMBI;1507;150708;05/06/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
75;15;JAMBI;1507;150708;05/06/2024;JEMBATAN;UNIT;0; Rp-   ;2024
76;15;JAMBI;1507;150708;05/06/2024;JALAN;KM;0; Rp-   ;2024
77;15;JAMBI;1507;150708;05/06/2024;SAWAH;HA;0; Rp-   ;2024
78;15;JAMBI;1507;150708;05/06/2024;KEBUN/HUTAN;HA;0; Rp-   ;2024
79;15;JAMBI;1507;150708;05/06/2024;KOLAM;HA;0; Rp-   ;2024
80;15;JAMBI;1507;150708;05/06/2024;IRIGASI;HA;0; Rp-   ;2024
81;15;JAMBI;1507;150709;07/06/2024;MENINGGAL DUNIA;JIWA;0;Rp15,000,000;2024
82;15;JAMBI;1507;150709;07/06/2024;HILANG;JIWA;0;Rp15,000,000;2024
83;15;JAMBI;1507;150709;07/06/2024;LUKA;JIWA;0;Rp15,000,000;2024
84;15;JAMBI;1507;150709;07/06/2024;MENDERITA;JIWA;0;Rp15,000,000;2024
85;15;JAMBI;1507;150709;07/06/2024;MENGUNGSI;JIWA;0;Rp15,000,000;2024
86;15;JAMBI;1507;150709;07/06/2024;RUMAH RUSAK BERAT;UNIT;0;Rp15,000,000;2024
87;15;JAMBI;1507;150709;07/06/2024;RUMAH RUSAK SEDANG;UNIT;0;Rp15,000,000;2024
88;15;JAMBI;1507;150709;07/06/2024;RUMAH RUSAK RINGAN;UNIT;0;Rp15,000,000;2024
89;15;JAMBI;1507;150709;07/06/2024;RUMAH TERENDAM;UNIT;0;Rp15,000,000;2024
