id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kategori_terdampak_bencana;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
1;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENINGGAL DUNIA;JIWA;0; Rp- ;2024
2;15;JAMBI;1504;150401;23/01/2024;KORBAN;HILANG;JIWA;0; Rp- ;2024
3;15;JAMBI;1504;150401;23/01/2024;KORBAN;LUKA;JIWA;0; Rp- ;2024
4;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENDERITA;JIWA;0; Rp- ;2024
5;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENGUNGSI;JIWA;0; Rp- ;2024
6;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
7;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;1; Rp- ;2024
8;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
9;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
10;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
11;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
12;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
13;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;PERKANTORAN;UNIT;0; Rp- ;2024
14;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;BANGUNAN LAIN;UNIT;0; Rp- ;2024
15;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JEMBATAN;UNIT;0; Rp- ;2024
16;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JALAN;KM;0; Rp- ;2024
17;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SAWAH;HA;0; Rp- ;2024
18;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KEBUN;HEKTAR;0; Rp- ;2024
19;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KOLAM;HA;0; Rp- ;2024
20;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;IRIGASI;HA;0; Rp- ;2024
21;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENINGGAL DUNIA;JIWA;0; Rp- ;2024
22;15;JAMBI;1504;150401;23/01/2024;KORBAN;HILANG;JIWA;0; Rp- ;2024
23;15;JAMBI;1504;150401;23/01/2024;KORBAN;LUKA;JIWA;0; Rp- ;2024
24;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENDERITA;JIWA;0; Rp- ;2024
25;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENGUNGSI;JIWA;3; Rp- ;2024
26;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
27;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;1; Rp- ;2024
28;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
29;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
30;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
31;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
32;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
33;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;PERKANTORAN;UNIT;0; Rp- ;2024
34;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;BANGUNAN LAIN;UNIT;0; Rp- ;2024
35;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JEMBATAN;UNIT;0; Rp- ;2024
36;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JALAN;KM;0; Rp- ;2024
37;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SAWAH;HA;0; Rp- ;2024
38;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KEBUN;HEKTAR;0; Rp- ;2024
39;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KOLAM;HA;0; Rp- ;2024
40;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;IRIGASI;HA;0; Rp- ;2024
41;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENINGGAL DUNIA;JIWA;0; Rp- ;2024
42;15;JAMBI;1504;150401;23/01/2024;KORBAN;HILANG;JIWA;0; Rp- ;2024
43;15;JAMBI;1504;150401;23/01/2024;KORBAN;LUKA;JIWA;0; Rp- ;2024
44;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENDERITA;JIWA;0; Rp- ;2024
45;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENGUNGSI;JIWA;0; Rp- ;2024
46;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
47;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
48;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;1; Rp- ;2024
49;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
50;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
51;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
52;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
53;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;PERKANTORAN;UNIT;0; Rp- ;2024
54;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;BANGUNAN LAIN;UNIT;0; Rp- ;2024
55;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JEMBATAN;UNIT;0; Rp- ;2024
56;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JALAN;KM;0; Rp- ;2024
57;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SAWAH;HA;0; Rp- ;2024
58;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KEBUN;HEKTAR;0; Rp- ;2024
59;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KOLAM;HA;0; Rp- ;2024
60;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;IRIGASI;HA;0; Rp- ;2024
61;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENINGGAL DUNIA;JIWA;0; Rp- ;2024
62;15;JAMBI;1504;150401;23/01/2024;KORBAN;HILANG;JIWA;0; Rp- ;2024
63;15;JAMBI;1504;150401;23/01/2024;KORBAN;LUKA;JIWA;0; Rp- ;2024
64;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENDERITA;JIWA;0; Rp- ;2024
65;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENGUNGSI;JIWA;0; Rp- ;2024
66;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
67;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;1; Rp- ;2024
68;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
69;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
70;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
71;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
72;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
73;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;PERKANTORAN;UNIT;0; Rp- ;2024
74;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;BANGUNAN LAIN;UNIT;0; Rp- ;2024
75;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JEMBATAN;UNIT;0; Rp- ;2024
76;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JALAN;KM;0; Rp- ;2024
77;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SAWAH;HA;0; Rp- ;2024
78;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KEBUN;HEKTAR;0; Rp- ;2024
79;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KOLAM;HA;0; Rp- ;2024
80;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;IRIGASI;HA;0; Rp- ;2024
81;15;JAMBI;1504;150406;23/01/2024;KORBAN;MENINGGAL DUNIA;JIWA;0; Rp- ;2024
82;15;JAMBI;1504;150406;23/01/2024;KORBAN;HILANG;JIWA;0; Rp- ;2024
83;15;JAMBI;1504;150406;23/01/2024;KORBAN;LUKA;JIWA;0; Rp- ;2024
84;15;JAMBI;1504;150406;23/01/2024;KORBAN;MENDERITA;JIWA;0; Rp- ;2024
85;15;JAMBI;1504;150406;23/01/2024;KORBAN;MENGUNGSI;JIWA;2; Rp- ;2024
86;15;JAMBI;1504;150406;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
87;15;JAMBI;1504;150406;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;1; Rp- ;2024
88;15;JAMBI;1504;150406;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
89;15;JAMBI;1504;150406;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- ;2024
90;15;JAMBI;1504;150406;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- ;2024
