id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;luas_panen;satuan;tahun
;15;JAMBI;1501;ALPUKAT;268,55;HEKTAR;2022
;15;JAMBI;1501;DUKU;32,55;HEKTAR;2022
;15;JAMBI;1501;DURIAN;104,29;HEKTAR;2022
;15;JAMBI;1501;JENGKOL;53,05;HEKTAR;2022
;15;JAMBI;1501;JERUK;1295,99;HEKTAR;2022
;15;JAMBI;1501;MANGGIS;254,76;HEKTAR;2022
;15;JAMBI;1501;NANAS;0,02;HEKTAR;2022
;15;JAMBI;1501;PISANG;44,64;HEKTAR;2022
;15;JAMBI;1502;ALPUKAT;66,96;HEKTAR;2022
;15;JAMBI;1502;DUKU;749,09;HEKTAR;2022
;15;JAMBI;1502;DURIAN;407,67;HEKTAR;2022
;15;JAMBI;1502;JENGKOL;183,29;HEKTAR;2022
;15;JAMBI;1502;JERUK;39,76;HEKTAR;2022
;15;JAMBI;1502;MANGGIS;262,61;HEKTAR;2022
;15;JAMBI;1502;NANAS;76,44;HEKTAR;2022
;15;JAMBI;1502;PISANG;46,63;HEKTAR;2022
;15;JAMBI;1503;ALPUKAT;9,14;HEKTAR;2022
;15;JAMBI;1503;DUKU;112,8;HEKTAR;2022
;15;JAMBI;1503;DURIAN;162,29;HEKTAR;2022
;15;JAMBI;1503;JENGKOL;72,01;HEKTAR;2022
;15;JAMBI;1503;JERUK;57,67;HEKTAR;2022
;15;JAMBI;1503;MANGGIS;17,74;HEKTAR;2022
;15;JAMBI;1503;NANAS;0,14;HEKTAR;2022
;15;JAMBI;1503;PISANG;201,7;HEKTAR;2022
;15;JAMBI;1504;ALPUKAT;1,7;HEKTAR;2022
;15;JAMBI;1504;DUKU;43,44;HEKTAR;2022
;15;JAMBI;1504;DURIAN;55,88;HEKTAR;2022
;15;JAMBI;1504;JENGKOL;37,6;HEKTAR;2022
;15;JAMBI;1504;JERUK;13,91;HEKTAR;2022
;15;JAMBI;1504;MANGGIS;17,16;HEKTAR;2022
