id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;jumlah_produksi;satuan;tahun
;15;JAMBI;1501;ALPUKAT;99529,5;KUINTAL;2022
;15;JAMBI;1501;DUKU;14971;KUINTAL;2022
;15;JAMBI;1501;DURIAN;52639;KUINTAL;2022
;15;JAMBI;1501;JENGKOL;13791;KUINTAL;2022
;15;JAMBI;1501;JERUK;685752;KUINTAL;2022
;15;JAMBI;1501;MANGGIS;118255;KUINTAL;2022
;15;JAMBI;1501;NANAS;45;KUINTAL;2022
;15;JAMBI;1501;PISANG;74479,33;KUINTAL;2022
;15;JAMBI;1502;ALPUKAT;15653;KUINTAL;2022
;15;JAMBI;1502;DUKU;54016,2;KUINTAL;2022
;15;JAMBI;1502;DURIAN;70180,76;KUINTAL;2022
;15;JAMBI;1502;JENGKOL;19598,9;KUINTAL;2022
;15;JAMBI;1502;JERUK;20847,5;KUINTAL;2022
;15;JAMBI;1502;MANGGIS;27791,4;KUINTAL;2022
;15;JAMBI;1502;NANAS;195943,76;KUINTAL;2022
;15;JAMBI;1502;PISANG;30805,23;KUINTAL;2022
;15;JAMBI;1503;ALPUKAT;386,3;KUINTAL;2022
;15;JAMBI;1503;DUKU;3516;KUINTAL;2022
;15;JAMBI;1503;DURIAN;39476;KUINTAL;2022
;15;JAMBI;1503;JENGKOL;4135,7;KUINTAL;2022
;15;JAMBI;1503;JERUK;10176,2;KUINTAL;2022
;15;JAMBI;1503;MANGGIS;1937;KUINTAL;2022
;15;JAMBI;1503;NANAS;327;KUINTAL;2022
;15;JAMBI;1503;PISANG;77015,9;KUINTAL;2022
;15;JAMBI;1504;ALPUKAT;81,95;KUINTAL;2022
;15;JAMBI;1504;DUKU;1983,95;KUINTAL;2022
;15;JAMBI;1504;DURIAN;3991,85;KUINTAL;2022
;15;JAMBI;1504;JENGKOL;3434,02;KUINTAL;2022
;15;JAMBI;1504;JERUK;4454,47;KUINTAL;2022
;15;JAMBI;1504;MANGGIS;2406,17;KUINTAL;2022
;15;JAMBI;1504;NANAS;1876,34;KUINTAL;2022
;15;JAMBI;1504;PISANG;32039,72;KUINTAL;2022
