id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_produktivitas;satuan;tahun;
;15;JAMBI;1501;ALPUKAT;370,62;KUINTAL/HEKTAR;2022;
;15;JAMBI;1501;DUKU;459,94;KUINTAL/HEKTAR;2022;
;15;JAMBI;1501;DURIAN;504,74;KUINTAL/HEKTAR;2022;
;15;JAMBI;1501;JENGKOL;259,96;KUINTAL/HEKTAR;2022;
;15;JAMBI;1501;JERUK;529,13;KUINTAL/HEKTAR;2022;
;15;JAMBI;1501;MANGGIS;529,13;KUINTAL/HEKTAR;2022;
;15;JAMBI;1501;NANAS;2083,33;KUINTAL/HEKTAR;2022;
;15;JAMBI;1501;PISANG;1668,59;KUINTAL/HEKTAR;2022;
;15;JAMBI;1502;ALPUKAT;233,77;KUINTAL/HEKTAR;2022;
;15;JAMBI;1502;DUKU;72,11;KUINTAL/HEKTAR;2022;
;15;JAMBI;1502;DURIAN;172,15;KUINTAL/HEKTAR;2022;
;15;JAMBI;1502;JENGKOL;106,93;KUINTAL/HEKTAR;2022;
;15;JAMBI;1502;JERUK;524,3;KUINTAL/HEKTAR;2022;
;15;JAMBI;1502;MANGGIS;524,3;KUINTAL/HEKTAR;2022;
;15;JAMBI;1502;NANAS;2563,4;KUINTAL/HEKTAR;2022;
;15;JAMBI;1502;PISANG;660,59;KUINTAL/HEKTAR;2022;
;15;JAMBI;1503;ALPUKAT;42,26;KUINTAL/HEKTAR;2022;
;15;JAMBI;1503;DUKU;31,17;KUINTAL/HEKTAR;2022;
;15;JAMBI;1503;DURIAN;243,24;KUINTAL/HEKTAR;2022;
;15;JAMBI;1503;JENGKOL;57,43;KUINTAL/HEKTAR;2022;
;15;JAMBI;1503;JERUK;176,45;KUINTAL/HEKTAR;2022;
;15;JAMBI;1503;MANGGIS;176,45;KUINTAL/HEKTAR;2022;
;15;JAMBI;1503;NANAS;2357,95;KUINTAL/HEKTAR;2022;
;15;JAMBI;1503;PISANG;381,84;KUINTAL/HEKTAR;2022;
;15;JAMBI;1504;ALPUKAT;48,21;KUINTAL/HEKTAR;2022;
;15;JAMBI;1504;DUKU;45,67;KUINTAL/HEKTAR;2022;
;15;JAMBI;1504;DURIAN;71,44;KUINTAL/HEKTAR;2022;
;15;JAMBI;1504;JENGKOL;91,33;KUINTAL/HEKTAR;2022;
;15;JAMBI;1504;JERUK;320,18;KUINTAL/HEKTAR;2022;
;15;JAMBI;1504;MANGGIS;320,18;KUINTAL/HEKTAR;2022;
;15;JAMBI;1504;NANAS;2304,97;KUINTAL/HEKTAR;2022;
;15;JAMBI;1504;PISANG;956,44;KUINTAL/HEKTAR;2022;
;15;JAMBI;1505;ALPUKAT;227,18;KUINTAL/HEKTAR;2022;
;15;JAMBI;1505;DUKU;97,82;KUINTAL/HEKTAR;2022;
;15;JAMBI;1505;DURIAN;125,24;KUINTAL/HEKTAR;2022;
;15;JAMBI;1505;JENGKOL;174,37;KUINTAL/HEKTAR;2022;
;15;JAMBI;1505;JERUK;742,33;KUINTAL/HEKTAR;2022;
;15;JAMBI;1505;MANGGIS;742,33;KUINTAL/HEKTAR;2022;
;15;JAMBI;1505;NANAS;2499,79;KUINTAL/HEKTAR;2022;
;15;JAMBI;1505;PISANG;441,48;KUINTAL/HEKTAR;2022;
;15;JAMBI;1506;ALPUKAT;254,95;KUINTAL/HEKTAR;2022;
;15;JAMBI;1506;DUKU;39,22;KUINTAL/HEKTAR;2022;
;15;JAMBI;1506;DURIAN;193,43;KUINTAL/HEKTAR;2022;
;15;JAMBI;1506;JENGKOL;200,4;KUINTAL/HEKTAR;2022;
;15;JAMBI;1506;JERUK;289,56;KUINTAL/HEKTAR;2022;
;15;JAMBI;1506;MANGGIS;289,56;KUINTAL/HEKTAR;2022;
;15;JAMBI;1506;NANAS;2137,64;KUINTAL/HEKTAR;2022;
;15;JAMBI;1506;PISANG;408,13;KUINTAL/HEKTAR;2022;
;15;JAMBI;1507;ALPUKAT;105,47;KUINTAL/HEKTAR;2022;
;15;JAMBI;1507;DUKU;176,8;KUINTAL/HEKTAR;2022;
;15;JAMBI;1507;DURIAN;256,55;KUINTAL/HEKTAR;2022;
;15;JAMBI;1507;JENGKOL;72,52;KUINTAL/HEKTAR;2022;
;15;JAMBI;1507;JERUK;1274,52;KUINTAL/HEKTAR;2022;
;15;JAMBI;1507;MANGGIS;1274,52;KUINTAL/HEKTAR;2022;
;15;JAMBI;1507;NANAS;2890,58;KUINTAL/HEKTAR;2022;
;15;JAMBI;1507;PISANG;856,94;KUINTAL/HEKTAR;2022;
;15;JAMBI;1508;ALPUKAT;521,75;KUINTAL/HEKTAR;2022;
;15;JAMBI;1508;DUKU;178,29;KUINTAL/HEKTAR;2022;
;15;JAMBI;1508;DURIAN;224,45;KUINTAL/HEKTAR;2022;
;15;JAMBI;1508;JENGKOL;57,94;KUINTAL/HEKTAR;2022;
;15;JAMBI;1508;JERUK;222,99;KUINTAL/HEKTAR;2022;
;15;JAMBI;1508;MANGGIS;222,99;KUINTAL/HEKTAR;2022;
;15;JAMBI;1508;NANAS;3931,07;KUINTAL/HEKTAR;2022;
