id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;jumlah;bulan;tahun
1;15;JAMBI;1571;LAKI-LAKI;90;JANUARI;2024
2;15;JAMBI;1504;LAKI-LAKI;147;JANUARI;2024
3;15;JAMBI;1509;LAKI-LAKI;7;JANUARI;2024
4;15;JAMBI;1508;LAKI-LAKI;7;JANUARI;2024
5;15;JAMBI;1502;LAKI-LAKI;9;JANUARI;2024
6;15;JAMBI;1503;LAKI-LAKI;180;JANUARI;2024
7;15;JAMBI;1501;LAKI-LAKI;13;JANUARI;2024
8;15;JAMBI;1572;LAKI-LAKI;6;JANUARI;2024
9;15;JAMBI;1505;LAKI-LAKI;103;JANUARI;2024
10;15;JAMBI;1506;LAKI-LAKI;133;JANUARI;2024
11;15;JAMBI;1507;LAKI-LAKI;101;JANUARI;2024
12;15;JAMBI;1571;LAKI-LAKI;48;FEBRUARI;2024
13;15;JAMBI;1504;LAKI-LAKI;42;FEBRUARI;2024
14;15;JAMBI;1509;LAKI-LAKI;5;FEBRUARI;2024
15;15;JAMBI;1508;LAKI-LAKI;10;FEBRUARI;2024
16;15;JAMBI;1502;LAKI-LAKI;10;FEBRUARI;2024
17;15;JAMBI;1503;LAKI-LAKI;22;FEBRUARI;2024
18;15;JAMBI;1501;LAKI-LAKI;14;FEBRUARI;2024
19;15;JAMBI;1572;LAKI-LAKI;0;FEBRUARI;2024
20;15;JAMBI;1505;LAKI-LAKI;18;FEBRUARI;2024
21;15;JAMBI;1506;LAKI-LAKI;69;FEBRUARI;2024
22;15;JAMBI;1507;LAKI-LAKI;13;FEBRUARI;2024
23;15;JAMBI;1571;LAKI-LAKI;25;MARET;2024
24;15;JAMBI;1504;LAKI-LAKI;40;MARET;2024
25;15;JAMBI;1509;LAKI-LAKI;1;MARET;2024
26;15;JAMBI;1508;LAKI-LAKI;3;MARET;2024
27;15;JAMBI;1502;LAKI-LAKI;3;MARET;2024
28;15;JAMBI;1503;LAKI-LAKI;5;MARET;2024
29;15;JAMBI;1501;LAKI-LAKI;4;MARET;2024
30;15;JAMBI;1572;LAKI-LAKI;0;MARET;2024
31;15;JAMBI;1505;LAKI-LAKI;8;MARET;2024
32;15;JAMBI;1506;LAKI-LAKI;87;MARET;2024
33;15;JAMBI;1507;LAKI-LAKI;26;MARET;2024
34;15;JAMBI;1571;LAKI-LAKI;43;APRIL;2024
35;15;JAMBI;1504;LAKI-LAKI;41;APRIL;2024
36;15;JAMBI;1509;LAKI-LAKI;7;APRIL;2024
37;15;JAMBI;1508;LAKI-LAKI;2;APRIL;2024
38;15;JAMBI;1502;LAKI-LAKI;7;APRIL;2024
39;15;JAMBI;1503;LAKI-LAKI;13;APRIL;2024
40;15;JAMBI;1501;LAKI-LAKI;3;APRIL;2024
41;15;JAMBI;1572;LAKI-LAKI;4;APRIL;2024
42;15;JAMBI;1505;LAKI-LAKI;21;APRIL;2024
43;15;JAMBI;1506;LAKI-LAKI;149;APRIL;2024
44;15;JAMBI;1507;LAKI-LAKI;8;APRIL;2024
45;15;JAMBI;1571;LAKI-LAKI;139;MEI;2024
46;15;JAMBI;1504;LAKI-LAKI;103;MEI;2024
47;15;JAMBI;1509;LAKI-LAKI;8;MEI;2024
48;15;JAMBI;1508;LAKI-LAKI;12;MEI;2024
49;15;JAMBI;1502;LAKI-LAKI;10;MEI;2024
50;15;JAMBI;1503;LAKI-LAKI;19;MEI;2024
51;15;JAMBI;1501;LAKI-LAKI;7;MEI;2024
52;15;JAMBI;1572;LAKI-LAKI;7;MEI;2024
53;15;JAMBI;1505;LAKI-LAKI;29;MEI;2024
54;15;JAMBI;1506;LAKI-LAKI;76;MEI;2024
55;15;JAMBI;1507;LAKI-LAKI;6;MEI;2024
56;15;JAMBI;1571;LAKI-LAKI;63;JUNI;2024
57;15;JAMBI;1504;LAKI-LAKI;78;JUNI;2024
58;15;JAMBI;1509;LAKI-LAKI;11;JUNI;2024
59;15;JAMBI;1508;LAKI-LAKI;17;JUNI;2024
60;15;JAMBI;1502;LAKI-LAKI;15;JUNI;2024
61;15;JAMBI;1503;LAKI-LAKI;22;JUNI;2024
62;15;JAMBI;1501;LAKI-LAKI;8;JUNI;2024
63;15;JAMBI;1572;LAKI-LAKI;2;JUNI;2024
64;15;JAMBI;1505;LAKI-LAKI;32;JUNI;2024
65;15;JAMBI;1506;LAKI-LAKI;31;JUNI;2024
66;15;JAMBI;1507;LAKI-LAKI;18;JUNI;2024
67;15;JAMBI;1571;LAKI-LAKI;68;JULI;2024
68;15;JAMBI;1504;LAKI-LAKI;141;JULI;2024
69;15;JAMBI;1509;LAKI-LAKI;13;JULI;2024
70;15;JAMBI;1508;LAKI-LAKI;8;JULI;2024
71;15;JAMBI;1502;LAKI-LAKI;20;JULI;2024
72;15;JAMBI;1503;LAKI-LAKI;11;JULI;2024
73;15;JAMBI;1501;LAKI-LAKI;37;JULI;2024
74;15;JAMBI;1572;LAKI-LAKI;9;JULI;2024
75;15;JAMBI;1505;LAKI-LAKI;34;JULI;2024
76;15;JAMBI;1506;LAKI-LAKI;55;JULI;2024
77;15;JAMBI;1507;LAKI-LAKI;13;JULI;2024
78;15;JAMBI;1571;LAKI-LAKI;63;AGUSTUS;2024
79;15;JAMBI;1504;LAKI-LAKI;53;AGUSTUS;2024
80;15;JAMBI;1509;LAKI-LAKI;19;AGUSTUS;2024
81;15;JAMBI;1508;LAKI-LAKI;16;AGUSTUS;2024
82;15;JAMBI;1502;LAKI-LAKI;9;AGUSTUS;2024
83;15;JAMBI;1503;LAKI-LAKI;4;AGUSTUS;2024
84;15;JAMBI;1501;LAKI-LAKI;8;AGUSTUS;2024
85;15;JAMBI;1572;LAKI-LAKI;6;AGUSTUS;2024
86;15;JAMBI;1505;LAKI-LAKI;55;AGUSTUS;2024
87;15;JAMBI;1506;LAKI-LAKI;46;AGUSTUS;2024
88;15;JAMBI;1507;LAKI-LAKI;5;AGUSTUS;2024
89;15;JAMBI;1571;LAKI-LAKI;54;SEPTEMBER;2024
90;15;JAMBI;1504;LAKI-LAKI;23;SEPTEMBER;2024
91;15;JAMBI;1509;LAKI-LAKI;7;SEPTEMBER;2024
92;15;JAMBI;1508;LAKI-LAKI;6;SEPTEMBER;2024
93;15;JAMBI;1502;LAKI-LAKI;31;SEPTEMBER;2024
94;15;JAMBI;1503;LAKI-LAKI;5;SEPTEMBER;2024
95;15;JAMBI;1501;LAKI-LAKI;2;SEPTEMBER;2024
96;15;JAMBI;1572;LAKI-LAKI;14;SEPTEMBER;2024
97;15;JAMBI;1505;LAKI-LAKI;19;SEPTEMBER;2024
98;15;JAMBI;1506;LAKI-LAKI;27;SEPTEMBER;2024
99;15;JAMBI;1507;LAKI-LAKI;5;SEPTEMBER;2024
100;15;JAMBI;1571;LAKI-LAKI;42;OKTOBER;2024
101;15;JAMBI;1504;LAKI-LAKI;50;OKTOBER;2024
102;15;JAMBI;1509;LAKI-LAKI;165;OKTOBER;2024
103;15;JAMBI;1508;LAKI-LAKI;23;OKTOBER;2024
104;15;JAMBI;1502;LAKI-LAKI;11;OKTOBER;2024
105;15;JAMBI;1503;LAKI-LAKI;8;OKTOBER;2024
106;15;JAMBI;1501;LAKI-LAKI;3;OKTOBER;2024
107;15;JAMBI;1572;LAKI-LAKI;1;OKTOBER;2024
108;15;JAMBI;1505;LAKI-LAKI;36;OKTOBER;2024
109;15;JAMBI;1506;LAKI-LAKI;22;OKTOBER;2024
110;15;JAMBI;1507;LAKI-LAKI;19;OKTOBER;2024
111;15;JAMBI;1571;LAKI-LAKI;25;NOVEMBER;2024
112;15;JAMBI;1504;LAKI-LAKI;22;NOVEMBER;2024
113;15;JAMBI;1509;LAKI-LAKI;0;NOVEMBER;2024
114;15;JAMBI;1508;LAKI-LAKI;4;NOVEMBER;2024
115;15;JAMBI;1502;LAKI-LAKI;1;NOVEMBER;2024
116;15;JAMBI;1503;LAKI-LAKI;11;NOVEMBER;2024
117;15;JAMBI;1501;LAKI-LAKI;1;NOVEMBER;2024
118;15;JAMBI;1572;LAKI-LAKI;0;NOVEMBER;2024
119;15;JAMBI;1505;LAKI-LAKI;9;NOVEMBER;2024
120;15;JAMBI;1506;LAKI-LAKI;9;NOVEMBER;2024
121;15;JAMBI;1507;LAKI-LAKI;4;NOVEMBER;2024
122;15;JAMBI;1571;LAKI-LAKI;32;DESEMBER;2024
123;15;JAMBI;1504;LAKI-LAKI;25;DESEMBER;2024
124;15;JAMBI;1509;LAKI-LAKI;5;DESEMBER;2024
125;15;JAMBI;1508;LAKI-LAKI;12;DESEMBER;2024
126;15;JAMBI;1502;LAKI-LAKI;4;DESEMBER;2024
127;15;JAMBI;1503;LAKI-LAKI;7;DESEMBER;2024
128;15;JAMBI;1501;LAKI-LAKI;5;DESEMBER;2024
129;15;JAMBI;1572;LAKI-LAKI;1;DESEMBER;2024
130;15;JAMBI;1505;LAKI-LAKI;17;DESEMBER;2024
131;15;JAMBI;1506;LAKI-LAKI;121;DESEMBER;2024
132;15;JAMBI;1507;LAKI-LAKI;32;DESEMBER;2024
133;15;JAMBI;1571;PEREMPUAN;29;JANUARI;2024
134;15;JAMBI;1504;PEREMPUAN;70;JANUARI;2024
135;15;JAMBI;1509;PEREMPUAN;2;JANUARI;2024
136;15;JAMBI;1508;PEREMPUAN;3;JANUARI;2024
137;15;JAMBI;1502;PEREMPUAN;4;JANUARI;2024
138;15;JAMBI;1503;PEREMPUAN;60;JANUARI;2024
139;15;JAMBI;1501;PEREMPUAN;8;JANUARI;2024
140;15;JAMBI;1572;PEREMPUAN;1;JANUARI;2024
141;15;JAMBI;1505;PEREMPUAN;37;JANUARI;2024
142;15;JAMBI;1506;PEREMPUAN;40;JANUARI;2024
143;15;JAMBI;1507;PEREMPUAN;108;JANUARI;2024
144;15;JAMBI;1571;PEREMPUAN;24;FEBRUARI;2024
145;15;JAMBI;1504;PEREMPUAN;23;FEBRUARI;2024
146;15;JAMBI;1509;PEREMPUAN;2;FEBRUARI;2024
147;15;JAMBI;1508;PEREMPUAN;0;FEBRUARI;2024
148;15;JAMBI;1502;PEREMPUAN;5;FEBRUARI;2024
149;15;JAMBI;1503;PEREMPUAN;1;FEBRUARI;2024
150;15;JAMBI;1501;PEREMPUAN;1;FEBRUARI;2024
151;15;JAMBI;1572;PEREMPUAN;0;FEBRUARI;2024
152;15;JAMBI;1505;PEREMPUAN;6;FEBRUARI;2024
153;15;JAMBI;1506;PEREMPUAN;16;FEBRUARI;2024
154;15;JAMBI;1507;PEREMPUAN;20;FEBRUARI;2024
155;15;JAMBI;1571;PEREMPUAN;32;MARET;2024
156;15;JAMBI;1504;PEREMPUAN;15;MARET;2024
157;15;JAMBI;1509;PEREMPUAN;3;MARET;2024
158;15;JAMBI;1508;PEREMPUAN;2;MARET;2024
159;15;JAMBI;1502;PEREMPUAN;1;MARET;2024
160;15;JAMBI;1503;PEREMPUAN;9;MARET;2024
161;15;JAMBI;1501;PEREMPUAN;2;MARET;2024
162;15;JAMBI;1572;PEREMPUAN;1;MARET;2024
163;15;JAMBI;1505;PEREMPUAN;6;MARET;2024
164;15;JAMBI;1506;PEREMPUAN;13;MARET;2024
165;15;JAMBI;1507;PEREMPUAN;21;MARET;2024
166;15;JAMBI;1571;PEREMPUAN;26;APRIL;2024
167;15;JAMBI;1504;PEREMPUAN;24;APRIL;2024
168;15;JAMBI;1509;PEREMPUAN;3;APRIL;2024
169;15;JAMBI;1508;PEREMPUAN;2;APRIL;2024
170;15;JAMBI;1502;PEREMPUAN;2;APRIL;2024
171;15;JAMBI;1503;PEREMPUAN;4;APRIL;2024
172;15;JAMBI;1501;PEREMPUAN;0;APRIL;2024
173;15;JAMBI;1572;PEREMPUAN;0;APRIL;2024
174;15;JAMBI;1505;PEREMPUAN;7;APRIL;2024
175;15;JAMBI;1506;PEREMPUAN;27;APRIL;2024
176;15;JAMBI;1507;PEREMPUAN;1;APRIL;2024
177;15;JAMBI;1571;PEREMPUAN;167;MEI;2024
178;15;JAMBI;1504;PEREMPUAN;67;MEI;2024
179;15;JAMBI;1509;PEREMPUAN;4;MEI;2024
180;15;JAMBI;1508;PEREMPUAN;3;MEI;2024
