id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_komoditi;luas_panen;satuan;tahun
;15;JAMBI;1501;KERINCI;JAHE;347523;M²;2022
;15;JAMBI;1501;KERINCI;KENCUR;18143;M²;2022
;15;JAMBI;1501;KERINCI;KUNYIT;110182;M²;2022
;15;JAMBI;1501;KERINCI;LAOS;62620;M²;2022
;15;JAMBI;1502;MERANGIN;JAHE;379165;M²;2022
;15;JAMBI;1502;MERANGIN;KENCUR;38103;M²;2022
;15;JAMBI;1502;MERANGIN;KUNYIT;73353;M²;2022
;15;JAMBI;1502;MERANGIN;LAOS;116975;M²;2022
;15;JAMBI;1503;SAROLANGUN;JAHE;18003;M²;2022
;15;JAMBI;1503;SAROLANGUN;KENCUR;7395;M²;2022
;15;JAMBI;1503;SAROLANGUN;KUNYIT;15500;M²;2022
;15;JAMBI;1503;SAROLANGUN;LAOS;10610;M²;2022
;15;JAMBI;1504;BATANG HARI;JAHE;4300;M²;2022
;15;JAMBI;1504;BATANG HARI;KENCUR;300;M²;2022
;15;JAMBI;1504;BATANG HARI;KUNYIT;15261;M²;2022
;15;JAMBI;1504;BATANG HARI;LAOS;159;M²;2022
;15;JAMBI;1505;MUARO JAMBI;JAHE;7557;M²;2022
;15;JAMBI;1505;MUARO JAMBI;KENCUR;4043;M²;2022
;15;JAMBI;1505;MUARO JAMBI;KUNYIT;41431;M²;2022
;15;JAMBI;1505;MUARO JAMBI;LAOS;15983;M²;2022
;15;JAMBI;1506;TANJUNG JABUNG TIMUR;JAHE;12632;M²;2022
;15;JAMBI;1506;TANJUNG JABUNG TIMUR;KENCUR;35;M²;2022
;15;JAMBI;1506;TANJUNG JABUNG TIMUR;KUNYIT;1483;M²;2022
;15;JAMBI;1506;TANJUNG JABUNG TIMUR;LAOS;1257;M²;2022
;15;JAMBI;1507;TANJUNG JABUNG BARAT;JAHE;42264;M²;2022
;15;JAMBI;1507;TANJUNG JABUNG BARAT;KENCUR;5296;M²;2022
;15;JAMBI;1507;TANJUNG JABUNG BARAT;KUNYIT;10962;M²;2022
;15;JAMBI;1507;TANJUNG JABUNG BARAT;LAOS;47004;M²;2022
;15;JAMBI;1508;TEBO;JAHE;14107;M²;2022
;15;JAMBI;1508;TEBO;KENCUR;15454;M²;2022
;15;JAMBI;1508;TEBO;KUNYIT;7810;M²;2022
;15;JAMBI;1508;TEBO;LAOS;5230;M²;2022
;15;JAMBI;1509;BUNGO;JAHE;1909;M²;2022
;15;JAMBI;1509;BUNGO;KENCUR;1452;M²;2022
;15;JAMBI;1509;BUNGO;KUNYIT;1997;M²;2022
;15;JAMBI;1509;BUNGO;LAOS;2704;M²;2022
;15;JAMBI;1571;JAMBI;JAHE;2027;M²;2022
;15;JAMBI;1571;JAMBI;KENCUR;786;M²;2022
;15;JAMBI;1571;JAMBI;KUNYIT;13042;M²;2022
;15;JAMBI;1571;JAMBI;LAOS;345;M²;2022
;15;JAMBI;1572;SUNGAI PENUH;JAHE;6420;M²;2022
;15;JAMBI;1572;SUNGAI PENUH;KENCUR;2595;M²;2022
;15;JAMBI;1572;SUNGAI PENUH;KUNYIT;3791;M²;2022
;15;JAMBI;1572;SUNGAI PENUH;LAOS;1363;M²;2022
;15;JAMBI;1501;KERINCI;JAHE;31753;M²;2023
;15;JAMBI;1501;KERINCI;KENCUR;1904;M²;2023
;15;JAMBI;1501;KERINCI;KUNYIT;115781;M²;2023
;15;JAMBI;1501;KERINCI;LAOS;61541;M²;2023
;15;JAMBI;1502;MERANGIN;JAHE;451623;M²;2023
;15;JAMBI;1502;MERANGIN;KENCUR;37605;M²;2023
;15;JAMBI;1502;MERANGIN;KUNYIT;76485;M²;2023
;15;JAMBI;1502;MERANGIN;LAOS;1116;M²;2023
;15;JAMBI;1503;SAROLANGUN;JAHE;14912;M²;2023
;15;JAMBI;1503;SAROLANGUN;KENCUR;10705;M²;2023
;15;JAMBI;1503;SAROLANGUN;KUNYIT;13566;M²;2023
;15;JAMBI;1503;SAROLANGUN;LAOS;12113;M²;2023
;15;JAMBI;1504;BATANG HARI;JAHE;245;M²;2023
;15;JAMBI;1504;BATANG HARI;KENCUR;0;M²;2023
;15;JAMBI;1504;BATANG HARI;KUNYIT;52;M²;2023
;15;JAMBI;1504;BATANG HARI;LAOS;3;M²;2023
;15;JAMBI;1505;MUARO JAMBI;JAHE;15845;M²;2023
;15;JAMBI;1505;MUARO JAMBI;KENCUR;1383;M²;2023
;15;JAMBI;1505;MUARO JAMBI;KUNYIT;4425;M²;2023
;15;JAMBI;1505;MUARO JAMBI;LAOS;17355;M²;2023
;15;JAMBI;1506;TANJUNG JABUNG TIMUR;JAHE;3363;M²;2023
;15;JAMBI;1506;TANJUNG JABUNG TIMUR;KENCUR;8;M²;2023
;15;JAMBI;1506;TANJUNG JABUNG TIMUR;KUNYIT;420;M²;2023
;15;JAMBI;1506;TANJUNG JABUNG TIMUR;LAOS;813;M²;2023
;15;JAMBI;1507;TANJUNG JABUNG BARAT;JAHE;104845;M²;2023
;15;JAMBI;1507;TANJUNG JABUNG BARAT;KENCUR;4026;M²;2023
;15;JAMBI;1507;TANJUNG JABUNG BARAT;KUNYIT;10964;M²;2023
