id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;luas_panen;satuan;tahun
;15;JAMBI;1501;JAHE;347523;M²;2022
;15;JAMBI;1501;KENCUR;18143;M²;2022
;15;JAMBI;1501;KUNYIT;110182;M²;2022
;15;JAMBI;1501;LAOS;62620;M²;2022
;15;JAMBI;1502;JAHE;379165;M²;2022
;15;JAMBI;1502;KENCUR;38103;M²;2022
;15;JAMBI;1502;KUNYIT;73353;M²;2022
;15;JAMBI;1502;LAOS;116975;M²;2022
;15;JAMBI;1503;JAHE;18003;M²;2022
;15;JAMBI;1503;KENCUR;7395;M²;2022
;15;JAMBI;1503;KUNYIT;15500;M²;2022
;15;JAMBI;1503;LAOS;10610;M²;2022
;15;JAMBI;1504;JAHE;4300;M²;2022
;15;JAMBI;1504;KENCUR;300;M²;2022
;15;JAMBI;1504;KUNYIT;15261;M²;2022
;15;JAMBI;1504;LAOS;159;M²;2022
;15;JAMBI;1505;JAHE;7557;M²;2022
;15;JAMBI;1505;KENCUR;4043;M²;2022
;15;JAMBI;1505;KUNYIT;41431;M²;2022
;15;JAMBI;1505;LAOS;15983;M²;2022
;15;JAMBI;1506;JAHE;12632;M²;2022
;15;JAMBI;1506;KENCUR;35;M²;2022
;15;JAMBI;1506;KUNYIT;1483;M²;2022
;15;JAMBI;1506;LAOS;1257;M²;2022
;15;JAMBI;1507;JAHE;42264;M²;2022
;15;JAMBI;1507;KENCUR;5296;M²;2022
;15;JAMBI;1507;KUNYIT;10962;M²;2022
;15;JAMBI;1507;LAOS;47004;M²;2022
;15;JAMBI;1508;JAHE;14107;M²;2022
;15;JAMBI;1508;KENCUR;15454;M²;2022
;15;JAMBI;1508;KUNYIT;7810;M²;2022
;15;JAMBI;1508;LAOS;5230;M²;2022
;15;JAMBI;1509;JAHE;1909;M²;2022
;15;JAMBI;1509;KENCUR;1452;M²;2022
;15;JAMBI;1509;KUNYIT;1997;M²;2022
;15;JAMBI;1509;LAOS;2704;M²;2022
;15;JAMBI;1571;JAHE;2027;M²;2022
;15;JAMBI;1571;KENCUR;786;M²;2022
;15;JAMBI;1571;KUNYIT;13042;M²;2022
;15;JAMBI;1571;LAOS;345;M²;2022
;15;JAMBI;1572;JAHE;6420;M²;2022
;15;JAMBI;1572;KENCUR;2595;M²;2022
;15;JAMBI;1572;KUNYIT;3791;M²;2022
;15;JAMBI;1572;LAOS;1363;M²;2022
;15;JAMBI;1501;JAHE;31753;M²;2023
;15;JAMBI;1501;KENCUR;1904;M²;2023
;15;JAMBI;1501;KUNYIT;115781;M²;2023
