id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;jumlah_produksi;satuan;tahun
;15;JAMBI;1501;JAHE;1681912;KG;2022
;15;JAMBI;1501;KENCUR;135351;KG;2022
;15;JAMBI;1501;KUNYIT;389057;KG;2022
;15;JAMBI;1501;LAOS;294288;KG;2022
;15;JAMBI;1502;JAHE;594911;KG;2022
;15;JAMBI;1502;KENCUR;77308;KG;2022
;15;JAMBI;1502;KUNYIT;152343;KG;2022
;15;JAMBI;1502;LAOS;249623;KG;2022
;15;JAMBI;1503;JAHE;37829;KG;2022
;15;JAMBI;1503;KENCUR;9981;KG;2022
;15;JAMBI;1503;KUNYIT;26958;KG;2022
;15;JAMBI;1503;LAOS;17987;KG;2022
;15;JAMBI;1504;JAHE;9720;KG;2022
;15;JAMBI;1504;KENCUR;570;KG;2022
;15;JAMBI;1504;KUNYIT;28640;KG;2022
;15;JAMBI;1504;LAOS;510;KG;2022
;15;JAMBI;1505;JAHE;4543;KG;2022
;15;JAMBI;1505;KENCUR;2910;KG;2022
;15;JAMBI;1505;KUNYIT;35328;KG;2022
;15;JAMBI;1505;LAOS;32548;KG;2022
;15;JAMBI;1506;JAHE;29319;KG;2022
;15;JAMBI;1506;KENCUR;226;KG;2022
;15;JAMBI;1506;KUNYIT;3061;KG;2022
;15;JAMBI;1506;LAOS;4714;KG;2022
;15;JAMBI;1507;JAHE;158619;KG;2022
;15;JAMBI;1507;KENCUR;10357;KG;2022
;15;JAMBI;1507;KUNYIT;26007;KG;2022
;15;JAMBI;1507;LAOS;169451;KG;2022
;15;JAMBI;1508;JAHE;13379;KG;2022
;15;JAMBI;1508;KENCUR;18177;KG;2022
;15;JAMBI;1508;KUNYIT;11568;KG;2022
;15;JAMBI;1508;LAOS;8352;KG;2022
;15;JAMBI;1509;JAHE;2074;KG;2022
;15;JAMBI;1509;KENCUR;1579;KG;2022
;15;JAMBI;1509;KUNYIT;2175;KG;2022
;15;JAMBI;1509;LAOS;2878;KG;2022
;15;JAMBI;1571;JAHE;3671;KG;2022
;15;JAMBI;1571;KENCUR;528;KG;2022
;15;JAMBI;1571;KUNYIT;7200;KG;2022
;15;JAMBI;1571;LAOS;1403;KG;2022
;15;JAMBI;1572;JAHE;17218;KG;2022
;15;JAMBI;1572;KENCUR;7660;KG;2022
;15;JAMBI;1572;KUNYIT;14902;KG;2022
;15;JAMBI;1572;LAOS;5947;KG;2022
;15;JAMBI;1501;JAHE;1412641;KG;2023
;15;JAMBI;1501;KENCUR;6385;KG;2023
;15;JAMBI;1501;KUNYIT;367693;KG;2023
;15;JAMBI;1501;LAOS;225549;KG;2023
;15;JAMBI;1502;JAHE;66164;KG;2023
;15;JAMBI;1502;KENCUR;74206;KG;2023
;15;JAMBI;1502;KUNYIT;128451;KG;2023
;15;JAMBI;1502;LAOS;204349;KG;2023
;15;JAMBI;1503;JAHE;20654;KG;2023
;15;JAMBI;1503;KENCUR;13925;KG;2023
;15;JAMBI;1503;KUNYIT;25266;KG;2023
;15;JAMBI;1503;LAOS;19526;KG;2023
;15;JAMBI;1504;JAHE;646;KG;2023
;15;JAMBI;1504;KENCUR;0;KG;2023
;15;JAMBI;1504;KUNYIT;1494;KG;2023
;15;JAMBI;1504;LAOS;148;KG;2023
;15;JAMBI;1505;JAHE;11376;KG;2023
;15;JAMBI;1505;KENCUR;7638;KG;2023
;15;JAMBI;1505;KUNYIT;34506;KG;2023
;15;JAMBI;1505;LAOS;18629;KG;2023
;15;JAMBI;1506;JAHE;2236;KG;2023
;15;JAMBI;1506;KENCUR;97;KG;2023
;15;JAMBI;1506;KUNYIT;2817;KG;2023
;15;JAMBI;1506;LAOS;1857;KG;2023
;15;JAMBI;1507;JAHE;366541;KG;2023
;15;JAMBI;1507;KENCUR;7462;KG;2023
;15;JAMBI;1507;KUNYIT;2327;KG;2023
;15;JAMBI;1507;LAOS;191342;KG;2023
;15;JAMBI;1508;JAHE;1433;KG;2023
;15;JAMBI;1508;KENCUR;13832;KG;2023
;15;JAMBI;1508;KUNYIT;15918;KG;2023
;15;JAMBI;1508;LAOS;10466;KG;2023
;15;JAMBI;1509;JAHE;2093;KG;2023
;15;JAMBI;1509;KENCUR;1319;KG;2023
;15;JAMBI;1509;KUNYIT;1798;KG;2023
;15;JAMBI;1509;LAOS;2093;KG;2023
;15;JAMBI;1571;JAHE;3269;KG;2023
;15;JAMBI;1571;KENCUR;1266;KG;2023
;15;JAMBI;1571;KUNYIT;2855;KG;2023
;15;JAMBI;1571;LAOS;2083;KG;2023
;15;JAMBI;1572;JAHE;719;KG;2023
;15;JAMBI;1572;KENCUR;1975;KG;2023
;15;JAMBI;1572;KUNYIT;5884;KG;2023
;15;JAMBI;1572;LAOS;371;KG;2023
;15;JAMBI;1501;JAHE;1130084;KG;2024
;15;JAMBI;1501;KENCUR;8681;KG;2024
;15;JAMBI;1501;KUNYIT;251235;KG;2024
;15;JAMBI;1501;LAOS;177750;KG;2024
;15;JAMBI;1502;JAHE;774360;KG;2024
;15;JAMBI;1502;KENCUR;113937;KG;2024
;15;JAMBI;1502;KUNYIT;221950;KG;2024
;15;JAMBI;1502;LAOS;231318;KG;2024
;15;JAMBI;1503;JAHE;19835;KG;2024
;15;JAMBI;1503;KENCUR;16191;KG;2024
;15;JAMBI;1503;KUNYIT;26434;KG;2024
;15;JAMBI;1503;LAOS;20488;KG;2024
;15;JAMBI;1504;JAHE;36600;KG;2024
;15;JAMBI;1504;KENCUR;0;KG;2024
;15;JAMBI;1504;KUNYIT;29261;KG;2024
;15;JAMBI;1504;LAOS;13370;KG;2024
;15;JAMBI;1505;JAHE;17847;KG;2024
;15;JAMBI;1505;KENCUR;11674;KG;2024
;15;JAMBI;1505;KUNYIT;38376;KG;2024
;15;JAMBI;1505;LAOS;19969;KG;2024
;15;JAMBI;1506;JAHE;82;KG;2024
;15;JAMBI;1506;KENCUR;35;KG;2024
;15;JAMBI;1506;KUNYIT;538;KG;2024
;15;JAMBI;1506;LAOS;676;KG;2024
;15;JAMBI;1507;JAHE;193736;KG;2024
;15;JAMBI;1507;KENCUR;8668;KG;2024
;15;JAMBI;1507;KUNYIT;21143;KG;2024
;15;JAMBI;1507;LAOS;357788;KG;2024
;15;JAMBI;1508;JAHE;8127;KG;2024
;15;JAMBI;1508;KENCUR;6924;KG;2024
;15;JAMBI;1508;KUNYIT;10655;KG;2024
;15;JAMBI;1508;LAOS;8082;KG;2024
;15;JAMBI;1509;JAHE;2122;KG;2024
;15;JAMBI;1509;KENCUR;1399;KG;2024
;15;JAMBI;1509;KUNYIT;1821;KG;2024
;15;JAMBI;1509;LAOS;2921;KG;2024
;15;JAMBI;1571;JAHE;569;KG;2024
;15;JAMBI;1571;KENCUR;117;KG;2024
;15;JAMBI;1571;KUNYIT;3620;KG;2024
;15;JAMBI;1571;LAOS;929;KG;2024
;15;JAMBI;1572;JAHE;14128;KG;2024
;15;JAMBI;1572;KENCUR;1951;KG;2024
;15;JAMBI;1572;KUNYIT;8270;KG;2024
;15;JAMBI;1572;LAOS;4683;KG;2024
