id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;luas_panen;satuan;tahun
;15;JAMBI;1501;PADI;16693,24;HEKTAR;2022
;15;JAMBI;1501;JANGUNG;657;HEKTAR;2022
;15;JAMBI;1501;KEDELAI;42,4;HEKTAR;2022
;15;JAMBI;1501;KACANG TANAH;438,2;HEKTAR;2022
;15;JAMBI;1501;KACANG HIJAU;22,5;HEKTAR;2022
;15;JAMBI;1501;UBI KAYU;291,2;HEKTAR;2022
;15;JAMBI;1501;UBI JALAR;622,5;HEKTAR;2022
;15;JAMBI;1502;PADI;5699,84;HEKTAR;2022
;15;JAMBI;1502;JANGUNG;649;HEKTAR;2022
;15;JAMBI;1502;KEDELAI;133;HEKTAR;2022
;15;JAMBI;1502;KACANG TANAH;373;HEKTAR;2022
;15;JAMBI;1502;KACANG HIJAU;19;HEKTAR;2022
;15;JAMBI;1502;UBI KAYU;397;HEKTAR;2022
;15;JAMBI;1502;UBI JALAR;265;HEKTAR;2022
;15;JAMBI;1503;PADI;3486,7;HEKTAR;2022
;15;JAMBI;1503;JANGUNG;101;HEKTAR;2022
;15;JAMBI;1503;KEDELAI;8;HEKTAR;2022
;15;JAMBI;1503;KACANG TANAH;69,1;HEKTAR;2022
;15;JAMBI;1503;KACANG HIJAU;8,7;HEKTAR;2022
;15;JAMBI;1503;UBI KAYU;124,7;HEKTAR;2022
;15;JAMBI;1503;UBI JALAR;26,2;HEKTAR;2022
;15;JAMBI;1504;PADI;5612,13;HEKTAR;2022
;15;JAMBI;1504;JANGUNG;215;HEKTAR;2022
;15;JAMBI;1504;KEDELAI;53;HEKTAR;2022
;15;JAMBI;1504;KACANG TANAH;155;HEKTAR;2022
;15;JAMBI;1504;KACANG HIJAU;3;HEKTAR;2022
;15;JAMBI;1504;UBI KAYU;118;HEKTAR;2022
;15;JAMBI;1504;UBI JALAR;26;HEKTAR;2022
;15;JAMBI;1505;PADI;4761,57;HEKTAR;2022
;15;JAMBI;1505;JANGUNG;308;HEKTAR;2022
;15;JAMBI;1505;KEDELAI;12;HEKTAR;2022
;15;JAMBI;1505;KACANG TANAH;112;HEKTAR;2022
;15;JAMBI;1505;KACANG HIJAU;1;HEKTAR;2022
;15;JAMBI;1505;UBI KAYU;88;HEKTAR;2022
;15;JAMBI;1505;UBI JALAR;34;HEKTAR;2022
;15;JAMBI;1506;PADI;6440,25;HEKTAR;2022
;15;JAMBI;1506;JANGUNG;931,7;HEKTAR;2022
