id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_produksi;satuan;tahun
;15;JAMBI;1501;PADI;87517,43;TON;2022
;15;JAMBI;1501;JANGUNG;4459,33;TON;2022
;15;JAMBI;1501;KEDELAI;66,44;TON;2022
;15;JAMBI;1501;KACANG TANAH;1406,33;TON;2022
;15;JAMBI;1501;KACANG HIJAU;11,9;TON;2022
;15;JAMBI;1501;UBI KAYU;7865,72;TON;2022
;15;JAMBI;1501;UBI JALAR;28200,61;TON;2022
;15;JAMBI;1502;PADI;23019,21;TON;2022
;15;JAMBI;1502;JANGUNG;3758,22;TON;2022
;15;JAMBI;1502;KEDELAI;222,81;TON;2022
;15;JAMBI;1502;KACANG TANAH;460,29;TON;2022
;15;JAMBI;1502;KACANG HIJAU;20,1;TON;2022
;15;JAMBI;1502;UBI KAYU;11375,81;TON;2022
;15;JAMBI;1502;UBI JALAR;6327,64;TON;2022
;15;JAMBI;1503;PADI;13470,68;TON;2022
;15;JAMBI;1503;JANGUNG;644,1;TON;2022
;15;JAMBI;1503;KEDELAI;13,57;TON;2022
;15;JAMBI;1503;KACANG TANAH;103,45;TON;2022
;15;JAMBI;1503;KACANG HIJAU;10,6;TON;2022
;15;JAMBI;1503;UBI KAYU;4143,55;TON;2022
;15;JAMBI;1503;UBI JALAR;397,3;TON;2022
;15;JAMBI;1504;PADI;22383,81;TON;2022
;15;JAMBI;1504;JANGUNG;1231,02;TON;2022
;15;JAMBI;1504;KEDELAI;97,47;TON;2022
;15;JAMBI;1504;KACANG TANAH;256,15;TON;2022
;15;JAMBI;1504;KACANG HIJAU;3;TON;2022
;15;JAMBI;1504;UBI KAYU;3716,98;TON;2022
;15;JAMBI;1504;UBI JALAR;700,79;TON;2022
;15;JAMBI;1505;PADI;18599,51;TON;2022
;15;JAMBI;1505;JANGUNG;2060,76;TON;2022
;15;JAMBI;1505;KEDELAI;21,14;TON;2022
;15;JAMBI;1505;KACANG TANAH;218,76;TON;2022
;15;JAMBI;1505;KACANG HIJAU;1;TON;2022
;15;JAMBI;1505;UBI KAYU;2480,75;TON;2022
;15;JAMBI;1505;UBI JALAR;849,12;TON;2022
;15;JAMBI;1506;PADI;24562,32;TON;2022
;15;JAMBI;1506;JANGUNG;6326,32;TON;2022
;15;JAMBI;1506;KEDELAI;208,27;TON;2022
;15;JAMBI;1506;KACANG TANAH;131,58;TON;2022
;15;JAMBI;1506;KACANG HIJAU;0;TON;2022
;15;JAMBI;1506;UBI KAYU;2042,39;TON;2022
;15;JAMBI;1506;UBI JALAR;896,5;TON;2022
;15;JAMBI;1507;PADI;14339,58;TON;2022
;15;JAMBI;1507;JANGUNG;2046,78;TON;2022
;15;JAMBI;1507;KEDELAI;184,52;TON;2022
;15;JAMBI;1507;KACANG TANAH;156,86;TON;2022
;15;JAMBI;1507;KACANG HIJAU;1;TON;2022
;15;JAMBI;1507;UBI KAYU;5256,49;TON;2022
;15;JAMBI;1507;UBI JALAR;624,92;TON;2022
;15;JAMBI;1508;PADI;19561,77;TON;2022
;15;JAMBI;1508;JANGUNG;5571,22;TON;2022
;15;JAMBI;1508;KEDELAI;3544,5;TON;2022
;15;JAMBI;1508;KACANG TANAH;283,18;TON;2022
;15;JAMBI;1508;KACANG HIJAU;4,9;TON;2022
;15;JAMBI;1508;UBI KAYU;3998,6;TON;2022
;15;JAMBI;1508;UBI JALAR;521,67;TON;2022
;15;JAMBI;1509;PADI;17110,03;TON;2022
;15;JAMBI;1509;JANGUNG;4026,05;TON;2022
