id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_produktivitas;satuan;tahun
;15;JAMBI;1501;PADI;52,43;KUINTAL/HEKTAR;2022
;15;JAMBI;1501;JANGUNG;67,87;KUINTAL/HEKTAR;2022
;15;JAMBI;1501;KEDELAI;15,67;KUINTAL/HEKTAR;2022
;15;JAMBI;1501;KACANG TANAH;32,09;KUINTAL/HEKTAR;2022
;15;JAMBI;1501;KACANG HIJAU;5,29;KUINTAL/HEKTAR;2022
;15;JAMBI;1501;UBI KAYU;270,11;KUINTAL/HEKTAR;2022
;15;JAMBI;1501;UBI JALAR;453,02;KUINTAL/HEKTAR;2022
;15;JAMBI;1502;PADI;40,39;KUINTAL/HEKTAR;2022
;15;JAMBI;1502;JANGUNG;57,91;KUINTAL/HEKTAR;2022
;15;JAMBI;1502;KEDELAI;16,75;KUINTAL/HEKTAR;2022
;15;JAMBI;1502;KACANG TANAH;12,34;KUINTAL/HEKTAR;2022
;15;JAMBI;1502;KACANG HIJAU;10,58;KUINTAL/HEKTAR;2022
;15;JAMBI;1502;UBI KAYU;286,54;KUINTAL/HEKTAR;2022
;15;JAMBI;1502;UBI JALAR;238,78;KUINTAL/HEKTAR;2022
;15;JAMBI;1503;PADI;38,63;KUINTAL/HEKTAR;2022
;15;JAMBI;1503;JANGUNG;63,77;KUINTAL/HEKTAR;2022
;15;JAMBI;1503;KEDELAI;16,97;KUINTAL/HEKTAR;2022
;15;JAMBI;1503;KACANG TANAH;14,97;KUINTAL/HEKTAR;2022
;15;JAMBI;1503;KACANG HIJAU;12,18;KUINTAL/HEKTAR;2022
;15;JAMBI;1503;UBI KAYU;332,28;KUINTAL/HEKTAR;2022
;15;JAMBI;1503;UBI JALAR;151,64;KUINTAL/HEKTAR;2022
;15;JAMBI;1504;PADI;39,88;KUINTAL/HEKTAR;2022
;15;JAMBI;1504;JANGUNG;57,26;KUINTAL/HEKTAR;2022
;15;JAMBI;1504;KEDELAI;18,39;KUINTAL/HEKTAR;2022
;15;JAMBI;1504;KACANG TANAH;16,53;KUINTAL/HEKTAR;2022
;15;JAMBI;1504;KACANG HIJAU;10;KUINTAL/HEKTAR;2022
;15;JAMBI;1504;UBI KAYU;315;KUINTAL/HEKTAR;2022
;15;JAMBI;1504;UBI JALAR;269,53;KUINTAL/HEKTAR;2022
;15;JAMBI;1505;PADI;39,06;KUINTAL/HEKTAR;2022
;15;JAMBI;1505;JANGUNG;66,91;KUINTAL/HEKTAR;2022
;15;JAMBI;1505;KEDELAI;17,61;KUINTAL/HEKTAR;2022
;15;JAMBI;1505;KACANG TANAH;19,53;KUINTAL/HEKTAR;2022
;15;JAMBI;1505;KACANG HIJAU;10;KUINTAL/HEKTAR;2022
;15;JAMBI;1505;UBI KAYU;281,9;KUINTAL/HEKTAR;2022
;15;JAMBI;1505;UBI JALAR;249,74;KUINTAL/HEKTAR;2022
;15;JAMBI;1506;PADI;38,14;KUINTAL/HEKTAR;2022
;15;JAMBI;1506;JANGUNG;67,9;KUINTAL/HEKTAR;2022
;15;JAMBI;1506;KEDELAI;15,92;KUINTAL/HEKTAR;2022
;15;JAMBI;1506;KACANG TANAH;19,41;KUINTAL/HEKTAR;2022
;15;JAMBI;1506;KACANG HIJAU;0;KUINTAL/HEKTAR;2022
;15;JAMBI;1506;UBI KAYU;229,48;KUINTAL/HEKTAR;2022
;15;JAMBI;1506;UBI JALAR;272,49;KUINTAL/HEKTAR;2022
;15;JAMBI;1507;PADI;41,02;KUINTAL/HEKTAR;2022
;15;JAMBI;1507;JANGUNG;43,65;KUINTAL/HEKTAR;2022
;15;JAMBI;1507;KEDELAI;18,64;KUINTAL/HEKTAR;2022
;15;JAMBI;1507;KACANG TANAH;18,3;KUINTAL/HEKTAR;2022
;15;JAMBI;1507;KACANG HIJAU;10;KUINTAL/HEKTAR;2022
;15;JAMBI;1507;UBI KAYU;346,51;KUINTAL/HEKTAR;2022
;15;JAMBI;1507;UBI JALAR;278,98;KUINTAL/HEKTAR;2022
;15;JAMBI;1508;PADI;48,08;KUINTAL/HEKTAR;2022
;15;JAMBI;1508;JANGUNG;69,04;KUINTAL/HEKTAR;2022
;15;JAMBI;1508;KEDELAI;16,39;KUINTAL/HEKTAR;2022
;15;JAMBI;1508;KACANG TANAH;16,27;KUINTAL/HEKTAR;2022
;15;JAMBI;1508;KACANG HIJAU;9,8;KUINTAL/HEKTAR;2022
;15;JAMBI;1508;UBI KAYU;337,43;KUINTAL/HEKTAR;2022
;15;JAMBI;1508;UBI JALAR;274,56;KUINTAL/HEKTAR;2022
;15;JAMBI;1509;PADI;41,55;KUINTAL/HEKTAR;2022
;15;JAMBI;1509;JANGUNG;62,42;KUINTAL/HEKTAR;2022
;15;JAMBI;1509;KEDELAI;19,47;KUINTAL/HEKTAR;2022
;15;JAMBI;1509;KACANG TANAH;11,43;KUINTAL/HEKTAR;2022
;15;JAMBI;1509;KACANG HIJAU;10;KUINTAL/HEKTAR;2022
;15;JAMBI;1509;UBI KAYU;226,14;KUINTAL/HEKTAR;2022
;15;JAMBI;1509;UBI JALAR;287,69;KUINTAL/HEKTAR;2022
;15;JAMBI;1571;PADI;42,09;KUINTAL/HEKTAR;2022
