id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kategori_terdampak_bencana;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
1;15;JAMBI ;1502;150224;05/01/2025;KORBAN;MENINGGAL;JIWA;0;Rp0;2025
2;15;JAMBI ;1502;150224;05/01/2025;KORBAN;HILANG;JIWA;1;Rp0;2025
3;15;JAMBI ;1502;150224;05/01/2025;KORBAN;LUKA;JIWA;0;Rp0;2025
4;15;JAMBI ;1502;150224;05/01/2025;KORBAN;MENDERITA;JIWA;0;Rp0;2025
5;15;JAMBI ;1502;150224;05/01/2025;KORBAN;MENGUNGSI;JIWA;0;Rp0;2025
6;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;RUMAH;RB;0;Rp0;2025
7;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;RUMAH;RS;0;Rp0;2025
8;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;RUMAH;RR;0;Rp0;2025
9;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;RUMAH;TERENDAM;0;Rp0;2025
10;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;SARANA;PENDIDIKAN;0;Rp0;2025
11;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;SARANA;IBADAH;0;Rp0;2025
12;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;SARANA;KESEHATAN;0;Rp0;2025
13;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;PERKANTORAN;UNIT;0;Rp0;2025
14;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;BANGUNAN;LAIN;0;Rp0;2025
15;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;JEMBATAN;UNIT;0;Rp0;2025
16;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;JALAN;KM;0;Rp0;2025
17;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;SAWAH;HA;0;Rp0;2025
18;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;KEBUN/HUTAN;HA;0;Rp0;2025
19;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;KOLAM;HA;0;Rp0;2025
20;15;JAMBI ;1502;150224;05/01/2025;KERUSAKAN;IRIGASI;HA;0;Rp0;2025
21;15;JAMBI ;1502;150209;27/02/2025;LONGSOR;MENINGGAL ;JIWA;0;Rp0;2025
22;15;JAMBI ;1502;150209;27/02/2025;LONGSOR;HILANG;JIWA;0;Rp0;2025
23;15;JAMBI ;1502;150209;27/02/2025;LONGSOR;LUKA;JIWA;0;Rp0;2025
24;15;JAMBI ;1502;150209;27/02/2025;LONGSOR;MENDERITA;JIWA;0;Rp0;2025
25;15;JAMBI ;1502;150209;27/02/2025;LONGSOR;MENGUNGSI;JIWA;0;Rp0;2025
26;15;JAMBI ;1502;150209;27/02/2025;LONGSOR;RUMAH RB;UNIT;0;Rp0;2025
27;15;JAMBI ;1502;150209;27/02/2025;LONGSOR;RUMAH RS;UNIT;0;Rp0;2025
