nama_provinsi;mandiri;maju;berkembang;tertinggal;sangat_tertinggal;jumlah_kabupaten;tahun
ACEH;1;7;15;0;0;23;2024
BALI;9;0;0;0;0;9;2024
BANTEN;0;1;3;0;0;4;2024
BENGKULU;0;6;3;0;0;9;2024
DAERAH  ISTIMEWA YOGYAKARTA;4;0;0;0;0;4;2024
GORONTALO;0;5;0;0;0;5;2024
JAMBI;2;6;2;0;0;10;2024
JAWA BARAT;7;12;0;0;0;19;2024
JAWA TENGAH;0;25;4;0;0;29;2024
JAWA TIMUR;11;18;1;0;0;30;2024
KALIMANTAN  BARAT;5;7;0;0;0;12;2024
KALIMANTAN  SELATAN;2;9;0;0;0;11;2024
KALIMANTAN  TENGAH;1;8;4;0;0;13;2024
KALIMANTAN  TIMUR;1;6;0;0;0;7;2024
KALIMANTAN  UTARA;0;2;2;0;0;4;2024
KEPULAUAN  BANGKA BELITUNG;4;2;0;0;0;6;2024
KEPULAUAN  RIAU;0;4;1;0;0;5;2024
LAMPUNG;0;12;1;0;0;13;2024
MALUKU;1;2;8;0;0;11;2024
MALUKU  UTARA;0;0;5;4;0;9;2024
NUSA TENGGARA BARAT;1;7;0;0;0;8;2024
NUSA TENGGARA TIMUR;0;1;17;3;0;21;2024
PAPUA;0;1;2;6;0;9;2024
PAPUA BARAT;0;0;0;7;0;7;2024
PAPUA BARAT  DAYA;0;0;0;4;1;5;2024
PAPUA PEGUNUNGAN;0;0;0;0;8;8;2024
PAPUA SELATAN;0;0;0;2;2;4;2024
PAPUA TENGAH;0;0;0;2;6;8;2024
RIAU;5;5;0;0;0;10;2024
SULAWESI  BARAT;0;1;5;0;0;6;2024
SULAWESI  SELATAN;2;15;4;0;0;21;2024
SULAWESI  TENGAH;0;9;3;0;0;12;2024
SULAWESI  TENGGARA;0;5;10;0;0;15;2024
SULAWESI  UTARA;3;8;1;0;0;12;2024
SUMATERA BARAT;2;11;1;0;0;14;2024
SUMATERA SELATAN;0;7;7;0;0;14;2024
SUMATERA UTARA;0;3;20;4;0;27;2024
TOTAL;61;205;119;32;17;434;2024
