kode_provinsi;nama_provinsi;mandiri;maju;berkembang;tertinggal;sangat_tertinggal;jumlah_kabupaten;tahun
11;ACEH;1;7;15;0;0;23;2024
51;BALI;9;0;0;0;0;9;2024
36;BANTEN;0;1;3;0;0;4;2024
17;BENGKULU;0;6;3;0;0;9;2024
34;DAERAH  ISTIMEWA YOGYAKARTA;4;0;0;0;0;4;2024
75;GORONTALO;0;5;0;0;0;5;2024
15;JAMBI;2;6;2;0;0;10;2024
32;JAWA BARAT;7;12;0;0;0;19;2024
33;JAWA TENGAH;0;25;4;0;0;29;2024
35;JAWA TIMUR;11;18;1;0;0;30;2024
61;KALIMANTAN  BARAT;5;7;0;0;0;12;2024
63;KALIMANTAN  SELATAN;2;9;0;0;0;11;2024
62;KALIMANTAN  TENGAH;1;8;4;0;0;13;2024
64;KALIMANTAN  TIMUR;1;6;0;0;0;7;2024
65;KALIMANTAN  UTARA;0;2;2;0;0;4;2024
19;KEPULAUAN  BANGKA BELITUNG;4;2;0;0;0;6;2024
21;KEPULAUAN  RIAU;0;4;1;0;0;5;2024
18;LAMPUNG;0;12;1;0;0;13;2024
81;MALUKU;1;2;8;0;0;11;2024
82;MALUKU  UTARA;0;0;5;4;0;9;2024
52;NUSA TENGGARA BARAT;1;7;0;0;0;8;2024
53;NUSA TENGGARA TIMUR;0;1;17;3;0;21;2024
91;PAPUA;0;1;2;6;0;9;2024
92;PAPUA BARAT;0;0;0;7;0;7;2024
92;PAPUA BARAT  DAYA;0;0;0;4;1;5;2024
95;PAPUA PEGUNUNGAN;0;0;0;0;8;8;2024
93;PAPUA SELATAN;0;0;0;2;2;4;2024
94;PAPUA TENGAH;0;0;0;2;6;8;2024
14;RIAU;5;5;0;0;0;10;2024
76;SULAWESI  BARAT;0;1;5;0;0;6;2024
73;SULAWESI  SELATAN;2;15;4;0;0;21;2024
72;SULAWESI  TENGAH;0;9;3;0;0;12;2024
74;SULAWESI  TENGGARA;0;5;10;0;0;15;2024
71;SULAWESI  UTARA;3;8;1;0;0;12;2024
13;SUMATERA BARAT;2;11;1;0;0;14;2024
16;SUMATERA SELATAN;0;7;7;0;0;14;2024
12;SUMATERA UTARA;0;3;20;4;0;27;2024
;TOTAL;61;205;119;32;17;434;2024
