kode_provinsi;nama_provinsi;rank;nilai_idm_provinsi;status_idm_provinsi;tahun
51;BALI;1;0,8692;MANDIRI;2024
34;DAERAH ISTIMEWA YOGYAKARTA;2;0,8567;MANDIRI;2024
14;RIAU;3;0,8102;MAJU;2024
19;KEPULAUAN BANGKA BELITUNG;4;0,8093;MAJU;2024
35;JAWA TIMUR;5;0,8014;MAJU;2024
32;JAWA BARAT;6;0,8012;MAJU;2024
61;KALIMANTAN BARAT;7;0,7910;MAJU;2024
63;KALIMANTAN SELATAN;8;0,7903;MAJU;2024
12;SULAWESI UTARA;9;0,7813;MAJU;2024
52;NUSA TENGGARA BARAT;10;0,7797;MAJU;2024
13;SUMATERA BARAT;11;0,7733;MAJU;2024
64;KALIMANTAN TIMUR;12;0,7686;MAJU;2024
75;GORONTALO;13;0,7541;MAJU;2024
73;SULAWESI SELATAN;14;0,7513;MAJU;2024
33;JAWA TENGAH;15;0,7485;MAJU;2024
15;JAMBI;16;0,7450;MAJU;2024
18;LAMPUNG;17;0,7380;MAJU;2024
21;KEPULAUAN RIAU;18;0,7360;MAJU;2024
72;SULAWESI TENGAH;19;0,7281;MAJU;2024
62;KALIMANTAN TENGAH;20;0,7181;MAJU;2024
17;BENGKULU;21;0,7129;MAJU;2024
16;SUMATERA SELATAN;22;0,7033;BERKEMBANG;2024
36;BANTEN;23;0,6930;BERKEMBANG;2024
74;SULAWESI TENGGARA;24;0,6884;BERKEMBANG;2024
65;KALIMANTAN UTARA;25;0,6876;BERKEMBANG;2024
11;ACEH;26;0,6848;BERKEMBANG;2024
81;MALUKU;27;0,6800;BERKEMBANG;2024
13;SULAWESI BARAT;28;0,6670;BERKEMBANG;2024
71;SUMATERA UTARA;29;0,6436;BERKEMBANG;2024
53;NUSA TENGGARA TIMUR;30;0,6324;BERKEMBANG;2024
82;MALUKU UTARA;31;0,6159;BERKEMBANG;2024
91;PAPUA;32;0,5795;TERTINGGAL;2024
92;PAPUA BARAT;33;0,5541;TERTINGGAL;2024
92;PAPUA BARAT DAYA;34;0,5228;TERTINGGAL;2024
93;PAPUA SELATAN;35;0,5158;TERTINGGAL;2024
94;PAPUA TENGAH;36;0,4628;SANGAT TERTINGGAL;2024
95;PAPUA PEGUNUNGAN;37;0,4321;SANGAT TERTINGGAL;2024
