NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1501;KERINCI;KELAPA SAWIT;737;KG/HA;2024
2;15;JAMBI;1502;MERANGIN;KELAPA SAWIT;3944;KG/HA;2024
3;15;JAMBI;1503;SAROLANGUN;KELAPA SAWIT;2824;KG/HA;2024
4;15;JAMBI;1504;BATANGHARI;KELAPA SAWIT;3535;KG/HA;2024
5;15;JAMBI;1505;MUARO JAMBI;KELAPA SAWIT;2594;KG/HA;2024
6;15;JAMBI;1506;TANJAB BARAT;KELAPA SAWIT;2607;KG/HA;2024
7;15;JAMBI;1507;TANJAB TIMUR;KELAPA SAWIT;2561;KG/HA;2024
8;15;JAMBI;1508;BUNGO;KELAPA SAWIT;3450;KG/HA;2024
9;15;JAMBI;1509;TEBO;KELAPA SAWIT;2799;KG/HA;2024
10;15;JAMBI;1501;KERINCI;KELAPA SAWIT;727;KG/HA;2023
11;15;JAMBI;1502;MERANGIN;KELAPA SAWIT;3925;KG/HA;2023
12;15;JAMBI;1503;SAROLANGUN;KELAPA SAWIT;2685;KG/HA;2023
13;15;JAMBI;1504;BATANGHARI;KELAPA SAWIT;3537;KG/HA;2023
14;15;JAMBI;1505;MUARO JAMBI;KELAPA SAWIT;2894;KG/HA;2023
15;15;JAMBI;1506;TANJAB BARAT;KELAPA SAWIT;2601;KG/HA;2023
16;15;JAMBI;1507;TANJAB TIMUR;KELAPA SAWIT;2480;KG/HA;2023
17;15;JAMBI;1508;BUNGO;KELAPA SAWIT;3541;KG/HA;2023
18;15;JAMBI;1509;TEBO;KELAPA SAWIT;2805;KG/HA;2023
19;15;JAMBI;1501;KERINCI;KELAPA SAWIT;727;KG/HA;2022
20;15;JAMBI;1502;MERANGIN;KELAPA SAWIT;4176;KG/HA;2022
21;15;JAMBI;1503;SAROLANGUN;KELAPA SAWIT;2598;KG/HA;2022
22;15;JAMBI;1504;BATANGHARI;KELAPA SAWIT;3422;KG/HA;2022
23;15;JAMBI;1505;MUARO JAMBI;KELAPA SAWIT;2594;KG/HA;2022
24;15;JAMBI;1506;TANJAB BARAT;KELAPA SAWIT;2497;KG/HA;2022
25;15;JAMBI;1507;TANJAB TIMUR;KELAPA SAWIT;2422;KG/HA;2022
26;15;JAMBI;1508;BUNGO;KELAPA SAWIT;3541;KG/HA;2022
27;15;JAMBI;1509;TEBO;KELAPA SAWIT;2814;KG/HA;2022
