NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1501;KARET;1244;KEPALA KELUARGA;2024
2;15;JAMBI;1502;KARET;51891;KEPALA KELUARGA;2024
3;15;JAMBI;1503;KARET;33009;KEPALA KELUARGA;2024
4;15;JAMBI;1504;KARET;20402;KEPALA KELUARGA;2024
5;15;JAMBI;1505;KARET;8365;KEPALA KELUARGA;2024
6;15;JAMBI;1506;KARET;3369;KEPALA KELUARGA;2024
7;15;JAMBI;1507;KARET;4259;KEPALA KELUARGA;2024
8;15;JAMBI;1508;KARET;47123;KEPALA KELUARGA;2024
9;15;JAMBI;1509;KARET;52858;KEPALA KELUARGA;2024
10;15;JAMBI;1501;KARET;1244;KEPALA KELUARGA;2023
11;15;JAMBI;1502;KARET;51978;KEPALA KELUARGA;2023
12;15;JAMBI;1503;KARET;33810;KEPALA KELUARGA;2023
13;15;JAMBI;1504;KARET;20452;KEPALA KELUARGA;2023
14;15;JAMBI;1505;KARET;8610;KEPALA KELUARGA;2023
15;15;JAMBI;1506;KARET;3512;KEPALA KELUARGA;2023
16;15;JAMBI;1507;KARET;4259;KEPALA KELUARGA;2023
17;15;JAMBI;1508;KARET;47295;KEPALA KELUARGA;2023
18;15;JAMBI;1509;KARET;53391;KEPALA KELUARGA;2023
19;15;JAMBI;1501;KARET;1368;KEPALA KELUARGA;2022
20;15;JAMBI;1502;KARET;52123;KEPALA KELUARGA;2022
21;15;JAMBI;1503;KARET;34488;KEPALA KELUARGA;2022
22;15;JAMBI;1504;KARET;20672;KEPALA KELUARGA;2022
23;15;JAMBI;1505;KARET;15211;KEPALA KELUARGA;2022
24;15;JAMBI;1506;KARET;3704;KEPALA KELUARGA;2022
25;15;JAMBI;1507;KARET;5271;KEPALA KELUARGA;2022
26;15;JAMBI;1508;KARET;47480;KEPALA KELUARGA;2022
27;15;JAMBI;1509;KARET;53738;KEPALA KELUARGA;2022
