NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1501;KELAPA DALAM;173;KEPALA KELUARGA;2024
2;15;JAMBI;1502;KELAPA DALAM;9100;KEPALA KELUARGA;2024
3;15;JAMBI;1503;KELAPA DALAM;8922;KEPALA KELUARGA;2024
4;15;JAMBI;1504;KELAPA DALAM;1921;KEPALA KELUARGA;2024
5;15;JAMBI;1505;KELAPA DALAM;5795;KEPALA KELUARGA;2024
6;15;JAMBI;1506;KELAPA DALAM;19894;KEPALA KELUARGA;2024
7;15;JAMBI;1507;KELAPA DALAM;22862;KEPALA KELUARGA;2024
8;15;JAMBI;1508;KELAPA DALAM;13519;KEPALA KELUARGA;2024
9;15;JAMBI;1509;KELAPA DALAM;1470;KEPALA KELUARGA;2024
10;15;JAMBI;1572;KELAPA DALAM;22;KEPALA KELUARGA;2024
11;15;JAMBI;1501;KELAPA DALAM;173;KEPALA KELUARGA;2023
12;15;JAMBI;1502;KELAPA DALAM;9201;KEPALA KELUARGA;2023
13;15;JAMBI;1503;KELAPA DALAM;8922;KEPALA KELUARGA;2023
14;15;JAMBI;1504;KELAPA DALAM;1921;KEPALA KELUARGA;2023
15;15;JAMBI;1505;KELAPA DALAM;5829;KEPALA KELUARGA;2023
16;15;JAMBI;1506;KELAPA DALAM;19903;KEPALA KELUARGA;2023
17;15;JAMBI;1507;KELAPA DALAM;22862;KEPALA KELUARGA;2023
18;15;JAMBI;1508;KELAPA DALAM;13519;KEPALA KELUARGA;2023
19;15;JAMBI;1509;KELAPA DALAM;1470;KEPALA KELUARGA;2023
20;15;JAMBI;1572;KELAPA DALAM;22;KEPALA KELUARGA;2023
21;15;JAMBI;1501;KELAPA DALAM;342;KEPALA KELUARGA;2022
22;15;JAMBI;1502;KELAPA DALAM;9201;KEPALA KELUARGA;2022
23;15;JAMBI;1503;KELAPA DALAM;8922;KEPALA KELUARGA;2022
24;15;JAMBI;1504;KELAPA DALAM;1841;KEPALA KELUARGA;2022
25;15;JAMBI;1505;KELAPA DALAM;5829;KEPALA KELUARGA;2022
26;15;JAMBI;1506;KELAPA DALAM;19915;KEPALA KELUARGA;2022
27;15;JAMBI;1507;KELAPA DALAM;22862;KEPALA KELUARGA;2022
28;15;JAMBI;1508;KELAPA DALAM;13515;KEPALA KELUARGA;2022
29;15;JAMBI;1509;KELAPA DALAM;1505;KEPALA KELUARGA;2022
30;15;JAMBI;1572;KELAPA DALAM;22;KEPALA KELUARGA;2022
