NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1501;KOPI ROBUSTA;937;KG/HA;2024
2;15;JAMBI;1502;KOPI ROBUSTA;1262;KG/HA;2024
3;15;JAMBI;1503;KOPI ROBUSTA;1187;KG/HA;2024
4;15;JAMBI;1504;KOPI ROBUSTA;0;KG/HA;2024
5;15;JAMBI;1505;KOPI ROBUSTA;551;KG/HA;2024
6;15;JAMBI;1508;KOPI ROBUSTA;964;KG/HA;2024
7;15;JAMBI;1509;KOPI ROBUSTA;493;KG/HA;2024
8;15;JAMBI;1572;KOPI ROBUSTA;545;KG/HA;2024
9;15;JAMBI;1501;KOPI ROBUSTA;940;KG/HA;2023
10;15;JAMBI;1502;KOPI ROBUSTA;1250;KG/HA;2023
11;15;JAMBI;1503;KOPI ROBUSTA;1183;KG/HA;2023
12;15;JAMBI;1504;KOPI ROBUSTA;0;KG/HA;2023
13;15;JAMBI;1505;KOPI ROBUSTA;551;KG/HA;2023
14;15;JAMBI;1508;KOPI ROBUSTA;968;KG/HA;2023
15;15;JAMBI;1509;KOPI ROBUSTA;516;KG/HA;2023
16;15;JAMBI;1572;KOPI ROBUSTA;507;KG/HA;2023
17;15;JAMBI;1501;KOPI ROBUSTA;864;KG/HA;2022
18;15;JAMBI;1502;KOPI ROBUSTA;1249;KG/HA;2022
19;15;JAMBI;1503;KOPI ROBUSTA;1150;KG/HA;2022
20;15;JAMBI;1504;KOPI ROBUSTA;1000;KG/HA;2022
21;15;JAMBI;1505;KOPI ROBUSTA;551;KG/HA;2022
22;15;JAMBI;1508;KOPI ROBUSTA;1501;KG/HA;2022
23;15;JAMBI;1509;KOPI ROBUSTA;532;KG/HA;2022
24;15;JAMBI;1572;KOPI ROBUSTA;507;KG/HA;2022
