NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produksi;satuan;tahun
1;15;JAMBI;1501;KERINCI;KOPI ROBUSTA;3986;TON;2022
2;15;JAMBI;1502;MERANGIN;KOPI ROBUSTA;10113;TON;2022
3;15;JAMBI;1503;SAROLANGUN;KOPI ROBUSTA;505;TON;2022
4;15;JAMBI;1504;BATANGHARI;KOPI ROBUSTA;5;TON;2022
5;15;JAMBI;1505;MUARO JAMBI;KOPI ROBUSTA;27;TON;2022
6;15;JAMBI;1508;BUNGO;KOPI ROBUSTA;776;TON;2022
7;15;JAMBI;1509;TEBO;KOPI ROBUSTA;46;TON;2022
8;15;JAMBI;1572;SUNGAI PENUH;KOPI ROBUSTA;113;TON;2022
9;15;JAMBI;1501;KERINCI;KOPI ROBUSTA;4447;TON;2023
10;15;JAMBI;1502;MERANGIN;KOPI ROBUSTA;10126;TON;2023
11;15;JAMBI;1503;SAROLANGUN;KOPI ROBUSTA;628;TON;2023
12;15;JAMBI;1504;BATANGHARI;KOPI ROBUSTA;0;TON;2023
13;15;JAMBI;1505;MUARO JAMBI;KOPI ROBUSTA;27;TON;2023
14;15;JAMBI;1508;BUNGO;KOPI ROBUSTA;487;TON;2023
15;15;JAMBI;1509;TEBO;KOPI ROBUSTA;47;TON;2023
16;15;JAMBI;1572;SUNGAI PENUH;KOPI ROBUSTA;113;TON;2023
17;15;JAMBI;1501;KERINCI;KOPI ROBUSTA;4537;TON;2024
18;15;JAMBI;1502;MERANGIN;KOPI ROBUSTA;13335;TON;2024
19;15;JAMBI;1503;SAROLANGUN;KOPI ROBUSTA;642;TON;2024
20;15;JAMBI;1504;BATANGHARI;KOPI ROBUSTA;0;TON;2024
21;15;JAMBI;1505;MUARO JAMBI;KOPI ROBUSTA;27;TON;2024
22;15;JAMBI;1508;BUNGO;KOPI ROBUSTA;489;TON;2024
23;15;JAMBI;1509;TEBO;KOPI ROBUSTA;41;TON;2024
24;15;JAMBI;1572;SUNGAI PENUH;KOPI ROBUSTA;330;TON;2024
