kode_provinsi;nama_provinsi;mandiri;maju;berkembang;tertinggal;sangat_tertinggal;jumlah_kecamatan;tahun
11;ACEH;19;83;168;20;0;290;2024
51;BALI;51;5;0;0;0;56;2024
36;BANTEN;9;36;69;4;0;118;2024
17;BENGKULU;2;60;54;2;0;118;2024
34;DAERAH  ISTIMEWA YOGYAKARTA;60;4;0;0;0;64;2024
75;GORONTALO;7;47;13;0;0;67;2024
15;JAMBI;27;62;42;0;0;131;2024
32;JAWA BARAT;204;308;27;0;0;539;2024
33;JAWA TENGAH;56;370;104;0;0;530;2024
35;JAWA TIMUR;261;307;35;0;0;603;2024
61;KALIMANTAN  BARAT;72;78;13;0;0;163;2024
63;KALIMANTAN  SELATAN;47;87;12;0;0;146;2024
62;KALIMANTAN  TENGAH;13;59;56;3;0;131;2024
64;KALIMANTAN  TIMUR;18;53;12;0;0;83;2024
65;KALIMANTAN  UTARA;9;18;19;4;0;50;2024
19;KEPULAUAN  BANGKA BELITUNG;20;19;1;0;0;40;2024
21;KEPULAUAN  RIAU;11;30;20;0;0;61;2024
18;LAMPUNG;9;136;59;0;0;204;2024
81;MALUKU;9;42;47;19;0;117;2024
82;MALUKU  UTARA;0;7;50;50;1;108;2024
52;NUSA TENGGARA BARAT;29;65;11;0;0;105;2024
53;NUSA TENGGARA TIMUR;1;35;175;89;1;301;2024
91;PAPUA;0;3;49;42;11;105;2024
92;PAPUA BARAT;0;0;18;50;18;86;2024
92;PAPUA BARAT  DAYA;0;0;18;70;33;121;2024
95;PAPUA PEGUNUNGAN;0;0;1;31;220;252;2024
93;PAPUA SELATAN;0;1;11;37;33;82;2024
94;PAPUA TENGAH;0;0;8;41;82;131;2024
14;RIAU;78;58;13;0;0;149;2024
76;SULAWESI  BARAT;2;12;46;8;0;68;2024
73;SULAWESI  SELATAN;65;123;66;16;0;270;2024
72;SULAWESI  TENGAH;12;93;56;2;0;163;2024
74;SULAWESI  TENGGARA;0;52;144;2;0;198;2024
71;SULAWESI  UTARA;51;64;25;0;0;140;2024
13;SUMATERA BARAT;41;83;30;2;0;156;2024
16;SUMATERA SELATAN;4;87;116;1;0;208;2024
12;SUMATERA UTARA;3;77;235;61;24;400;2024
